sampling_week,year,week,collection_date,baselinesurv_total_sequenced,baselinesurv_n_501Y.V1,baselinesurv_n_501Y.V2,baselinesurv_n_501Y.V3,activesurv_total_sequenced,activesurv_n_501Y.V1,activesurv_n_501Y.V2,activesurv_n_501Y.V3
30/11-6/12 (w 49),2020,49,2020-12-03,33,0,0,0,74,3,0,0
7/12-13/12 (w 50),2020,50,2020-12-10,1,0,0,0,109,0,0,0
14/12–20/12 (w 51),2020,51,2020-12-17,92,0,0,0,126,1,1,0
21/12-27/12 (w 52),2020,52,2020-12-24,22,3,0,0,48,11,1,0
28/12–3/01 (w 53),2020,53,2020-12-31,80,0,0,0,68,26,7,0
4/01–10/01 (w 1),2021,1,2021-01-07,98,7,0,0,141,38,8,0
11/01–17/01 (w 2),2021,2,2021-01-14,104,8,1,0,502,243,38,0
18/01-24/01 (w 3),2021,3,2021-01-21,477,64,11,0,527,366,13,0
25/01 – 31/01 (w 4),2021,4,2021-01-28,536,125,26,2,364,246,9,0
01/02 – 07/02 (w 5),2021,5,2021-02-04,898,354,39,8,189,53,25,0
08/02 – 14/02 (w 6),2021,6,2021-02-11,783,338,65,15,261,96,44,9
15/02 – 21/02 (w 7),2021,7,2021-02-18,1006,518,45,23,401,116,55,19
22/02 – 28/02 (w 8),2021,8,2021-02-25,1010,582,54,17,164,84,39,14
01/03-07/03 (w 9),2021,9,2021-03-04,663,441,40,19,166,93,40,4
08/03-14/03 (w 10),2021,10,2021-03-11,169,134,6,3,18,11,5,0
