data,year,week,week_startdate,delta,gamma,beta,alpha,other,total
WGS,2020,49,2020-11-30,0,0,0,0,33,33
WGS,2020,50,2020-12-07,0,0,0,0,1,1
WGS,2020,51,2020-12-14,0,0,0,0,92,92
WGS,2020,52,2020-12-21,0,0,0,3,6,9
WGS,2020,53,2020-12-28,0,0,0,0,80,80
WGS,2021,1,2021-01-04,0,0,0,7,91,98
WGS,2021,2,2021-01-11,0,0,1,8,95,104
WGS,2021,3,2021-01-18,0,0,13,64,402,479
WGS,2021,4,2021-01-25,0,2,28,156,394,580
WGS,2021,5,2021-02-01,0,8,43,390,515,956
WGS,2021,6,2021-02-08,0,15,74,348,398,835
WGS,2021,7,2021-02-15,0,26,64,540,442,1072
WGS,2021,8,2021-02-22,0,27,97,709,422,1255
WGS,2021,9,2021-03-01,0,31,95,640,253,1019
WGS,2021,10,2021-03-08,0,34,79,1032,221,1366
WGS,2021,11,2021-03-15,0,67,72,1132,144,1415
WGS,2021,12,2021-03-22,0,74,78,1495,159,1806
WGS,2021,13,2021-03-29,0,79,51,1326,116,1572
WGS,2021,14,2021-04-05,2,135,36,1276,89,1538
WGS,2021,15,2021-04-12,1,133,25,1322,130,1611
WGS,2021,16,2021-04-19,5,115,34,1259,102,1515
WGS,2021,17,2021-04-26,10,89,20,1398,92,1609
WGS,2021,18,2021-05-03,6,115,20,1275,70,1486
WGS,2021,19,2021-05-10,12,98,15,1067,51,1243
WGS,2021,20,2021-05-17,17,149,6,1117,48,1337
WGS,2021,21,2021-05-24,42,94,10,746,43,935
WGS,2021,22,2021-05-31,36,67,11,557,14,685
WGS,2021,23,2021-06-07,11,9,0,61,2,83
VOC_PCR,2021,23,2021-06-07,9,2,1,98,1,111
VOC_PCR,2021,24,2021-06-14,8,3,0,18,1,30
