data,year,week,week_startdate,alpha,beta,gamma,delta,other
WGS,2020,49,2020-11-30,0,0,0,0,33
WGS,2020,50,2020-12-07,0,0,0,0,1
WGS,2020,51,2020-12-14,0,0,0,0,92
WGS,2020,52,2020-12-21,3,0,0,0,6
WGS,2020,53,2020-12-28,0,0,0,0,80
WGS,2021,1,2021-01-04,7,0,0,0,91
WGS,2021,2,2021-01-11,8,1,0,0,95
WGS,2021,3,2021-01-18,64,13,0,0,402
WGS,2021,4,2021-01-25,157,28,2,0,394
WGS,2021,5,2021-02-01,390,43,8,0,515
WGS,2021,6,2021-02-08,348,74,15,0,398
WGS,2021,7,2021-02-15,540,64,26,0,442
WGS,2021,8,2021-02-22,709,97,27,0,422
WGS,2021,9,2021-03-01,641,95,31,0,253
WGS,2021,10,2021-03-08,1032,79,34,0,221
WGS,2021,11,2021-03-15,1132,72,67,0,144
WGS,2021,12,2021-03-22,1495,78,74,0,159
WGS,2021,13,2021-03-29,1402,51,79,0,120
WGS,2021,14,2021-04-05,1323,36,137,2,89
WGS,2021,15,2021-04-12,1354,25,133,1,130
WGS,2021,16,2021-04-19,1326,34,115,5,102
WGS,2021,17,2021-04-26,1440,20,89,10,92
WGS,2021,18,2021-05-03,1324,20,115,6,70
WGS,2021,19,2021-05-10,1100,15,99,12,51
WGS,2021,20,2021-05-17,1212,6,146,20,49
WGS,2021,21,2021-05-24,848,10,103,44,45
WGS,2021,22,2021-05-31,799,13,91,70,23
WGS,2021,23,2021-06-07,520,8,65,110,20
WGS,2021,24,2021-06-14,318,4,43,153,11
WGS,2021,25,2021-06-21,213,5,28,227,8
WGS,2021,26,2021-06-28,143,2,17,253,14
WGS,2021,27,2021-07-05,66,2,30,213,4
VOC_PCR,2021,23,2021-06-07,99,1,3,10,1
VOC_PCR,2021,24,2021-06-14,29,0,9,18,4
VOC_PCR,2021,25,2021-06-21,18,0,0,33,3
VOC_PCR,2021,26,2021-06-28,15,1,0,100,4
VOC_PCR,2021,27,2021-07-05,7,0,3,197,5
VOC_PCR,2021,28,2021-07-12,1,0,0,39,0
