"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Omicron (BA.5)","Asia",-0.241185655097559,0.00612751602433912,NA,-0.253195365819956,-0.229175944375162,0
"Alpha - Omicron (BA.5)","Asia",-0.306295576142441,0.00141966048704057,NA,-0.309078059567315,-0.303513092717567,0
"Other - Omicron (BA.5)","Asia",-0.132684232948801,0.000873819366625697,NA,-0.134396887436381,-0.130971578461221,0
"Delta - Omicron (BA.5)","Asia",-0.218182786847351,0.000946886048576637,NA,-0.220038649400025,-0.216326924294678,0
"Omicron (BA.1) - Omicron (BA.5)","Asia",-0.200504224418367,0.000868234931318727,NA,-0.202205933613872,-0.198802515222863,0
"Omicron (BA.2) - Omicron (BA.5)","Asia",-0.111887382891653,0.000742492021791047,NA,-0.113342640513172,-0.110432125270134,0
"Omicron (BA.3) - Omicron (BA.5)","Asia",-0.0748922733881121,0.0014968576092755,NA,-0.0778260603922768,-0.0719584863839474,0
"Omicron (BA.4) - Omicron (BA.5)","Asia",-0.0274629998834799,0.000919564311371222,NA,-0.0292653128152359,-0.025660686951724,0
"Omicron (BA.2.74) - Omicron (BA.5)","Asia",-0.0570516694777932,0.00252067152563924,NA,-0.0619920948849017,-0.0521112440706846,0
"Omicron (BA.2.76) - Omicron (BA.5)","Asia",-0.0435671441143241,0.00181327335037775,NA,-0.0471210945751908,-0.0400131936534575,0
"Omicron (BA.2.75) - Omicron (BA.5)","Asia",0.0044506885393607,0.00456413733760698,NA,-0.0044948562628435,0.0133962333415649,0.891752828085535
"Beta - Omicron (BA.5)","Europe",-0.232351916310836,0.00279822965882098,NA,-0.237836345662597,-0.226867486959075,0
"Alpha - Omicron (BA.5)","Europe",-0.212661175395964,0.000770613314068614,NA,-0.214171549737546,-0.211150801054383,0
"Other - Omicron (BA.5)","Europe",-0.0617152818515376,0.000454854456387449,NA,-0.0626067802042646,-0.0608237834988107,0
"Delta - Omicron (BA.5)","Europe",-0.168236731382088,0.000624206885730263,NA,-0.169460154397021,-0.167013308367155,0
"Omicron (BA.1) - Omicron (BA.5)","Europe",-0.215543029436541,0.000608594076855881,NA,-0.216735851908382,-0.214350206964699,0
"Omicron (BA.2) - Omicron (BA.5)","Europe",-0.120522435238579,0.00030068508510583,NA,-0.121111767176075,-0.119933103301084,0
"Omicron (BA.3) - Omicron (BA.5)","Europe",-0.125998248046741,0.00241490518680513,NA,-0.130731375238958,-0.121265120854524,0
"Omicron (BA.4) - Omicron (BA.5)","Europe",-0.0276343353869526,0.000410302507133921,NA,-0.0284385135237016,-0.0268301572502037,0
"Omicron (BA.2.74) - Omicron (BA.5)","Europe",0.0320798021848788,0.00698453337598789,NA,0.0183903683191246,0.045769236050633,6.38274269437744e-05
"Omicron (BA.2.76) - Omicron (BA.5)","Europe",-0.00104859946709471,0.00484489786113922,NA,-0.0105444247837027,0.0084472258495133,0.99971239245432
"Omicron (BA.2.75) - Omicron (BA.5)","Europe",0.151491616274063,0.0188244537854953,NA,0.114596364825853,0.188386867722272,1.06581410364015e-14
"Beta - Omicron (BA.5)","North America",-0.241403947963486,0.00578681582434435,NA,-0.252745898564367,-0.230061997362604,0
"Alpha - Omicron (BA.5)","North America",-0.253115678678818,0.00101908551837082,NA,-0.255113049591991,-0.251118307765645,0
"Other - Omicron (BA.5)","North America",-0.0817363755187414,0.000641856923458463,NA,-0.0829943919719477,-0.0804783590655352,0
"Delta - Omicron (BA.5)","North America",-0.187024113523764,0.000798694757618485,NA,-0.188589526483338,-0.185458700564191,0
"Omicron (BA.1) - Omicron (BA.5)","North America",-0.223442362344017,0.00070439192390226,NA,-0.224822945145866,-0.222061779542168,0
"Omicron (BA.2) - Omicron (BA.5)","North America",-0.115801306217878,0.000344521381059143,NA,-0.116476555716658,-0.115126056719098,0
"Omicron (BA.3) - Omicron (BA.5)","North America",-0.0981325934075267,0.00234960625354424,NA,-0.102737737042324,-0.0935274497727299,0
"Omicron (BA.4) - Omicron (BA.5)","North America",-0.030568207658666,0.000417984572494486,NA,-0.0313874423668486,-0.0297489729504834,0
"Omicron (BA.2.74) - Omicron (BA.5)","North America",-0.0166247925197096,0.00764902033590204,NA,-0.031616596895092,-0.0016329881443271,0.212647981521227
"Omicron (BA.2.76) - Omicron (BA.5)","North America",-0.033324762659009,0.00327546021582925,NA,-0.0397445467148282,-0.0269049786031899,0
"Omicron (BA.2.75) - Omicron (BA.5)","North America",0.14554123785494,0.0186129359684786,NA,0.109060553710172,0.182021921999708,5.15143483426073e-14
"Beta - Omicron (BA.5)","Oceania",-0.319891850051818,0.00630714476874326,NA,-0.332253626643835,-0.307530073459801,0
"Alpha - Omicron (BA.5)","Oceania",-0.16422719639208,0.00754769760667624,NA,-0.179020411867365,-0.149433980916795,0
"Other - Omicron (BA.5)","Oceania",-0.0585542813149302,0.00165782109595143,NA,-0.0618035509558057,-0.0553050116740547,0
"Delta - Omicron (BA.5)","Oceania",-0.151976036107135,0.00240434952861218,NA,-0.156688474589461,-0.14726359762481,0
"Omicron (BA.1) - Omicron (BA.5)","Oceania",-0.214042305235544,0.00142251993060524,NA,-0.21683039306682,-0.211254217404267,0
"Omicron (BA.2) - Omicron (BA.5)","Oceania",-0.10411773363628,0.00117175685008068,NA,-0.106414334861076,-0.101821132411483,0
"Omicron (BA.3) - Omicron (BA.5)","Oceania",-0.0648482851989678,0.0108011411078438,NA,-0.0860181327622767,-0.0436784376356589,4.89195001174281e-08
"Omicron (BA.4) - Omicron (BA.5)","Oceania",-0.0344590819809994,0.00152301180835507,NA,-0.0374441302734045,-0.0314740336885942,0
"Omicron (BA.2.74) - Omicron (BA.5)","Oceania",-0.0115814187786771,0.0092765740386732,NA,-0.0297631697943959,0.00660033223704162,0.761722172192137
"Omicron (BA.2.76) - Omicron (BA.5)","Oceania",-0.00381239879779358,0.00751994652546049,NA,-0.0185512231533632,0.0109264255577761,0.990593497490322
"Omicron (BA.2.75) - Omicron (BA.5)","Oceania",0.14584667025746,0.00467366416876174,NA,0.136686456810852,0.155006883704069,0
"Beta - Omicron (BA.5)","South America",-0.308786305790336,0.0061276197687822,NA,-0.320796219848105,-0.296776391732568,0
"Alpha - Omicron (BA.5)","South America",-0.91924456205818,0.00156518006862963,NA,-0.922312258622014,-0.916176865494346,0
"Other - Omicron (BA.5)","South America",-0.0842360377168271,0.0049294722251284,NA,-0.0938976257408693,-0.074574449692785,0
"Delta - Omicron (BA.5)","South America",-0.145604598286762,0.00545143882315646,NA,-0.156289222044072,-0.134919974529451,0
"Omicron (BA.1) - Omicron (BA.5)","South America",-0.24149260191395,0.00524180252778543,NA,-0.25176634608248,-0.231218857745419,0
"Omicron (BA.2) - Omicron (BA.5)","South America",-0.121944335273424,0.0047064665272073,NA,-0.131168840161194,-0.112719830385655,0
"Omicron (BA.3) - Omicron (BA.5)","South America",-2.71986448594131,0.0014968576092755,NA,-2.72279827294547,-2.71693069893714,0
"Omicron (BA.4) - Omicron (BA.5)","South America",-0.0386994955584917,0.00604236041703101,NA,-0.0505423043574829,-0.0268566867595005,4.81792350459642e-09
"Omicron (BA.2.74) - Omicron (BA.5)","South America",0.336124839864323,0.00252236608859356,NA,0.331181093174855,0.341068586553792,0
"Omicron (BA.2.76) - Omicron (BA.5)","South America",0.149861992649373,0.00181327335037793,NA,0.146308042188506,0.15341594311024,0
"Omicron (BA.2.75) - Omicron (BA.5)","South America",-0.174622980514444,0.00480183413407709,NA,-0.184034402476971,-0.165211558551918,0
