"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Omicron (BA.5)","Asia",-0.237804501425659,0.00691026709545167,NA,-0.251348376056297,-0.224260626795022,0
"Alpha - Omicron (BA.5)","Asia",-0.30033719039478,0.00147918302090367,NA,-0.303236335842295,-0.297438044947266,0
"Alpha - Beta","Asia",-0.0625326889691213,0.00686617978070144,NA,-0.0759901540506733,-0.0490752238875694,0
"Other - Omicron (BA.5)","Asia",-0.127362918111461,0.000974865073979071,NA,-0.129273618546246,-0.125452217676676,0
"Other - Beta","Asia",0.110441583314198,0.00684439249878126,NA,0.0970268205205308,0.123856346107866,0
"Other - Alpha","Asia",0.17297427228332,0.00110867392166806,NA,0.170801311326251,0.175147233240388,0
"Delta - Omicron (BA.5)","Asia",-0.210718984595253,0.00103914318048043,NA,-0.212755667803775,-0.208682301386731,0
"Delta - Beta","Asia",0.0270855168304064,0.00686527986349406,NA,0.01362981555417,0.0405412181066428,0.00537917400352861
"Delta - Alpha","Asia",0.0896182057995277,0.00121629483463367,NA,0.0872343117290636,0.0920020998699918,0
"Delta - Other","Asia",-0.0833560664837918,0.000355198486892985,NA,-0.0840522427254652,-0.0826598902421184,0
"Omicron (BA.1) - Omicron (BA.5)","Asia",-0.193282347792899,0.000968059780154022,NA,-0.195179710096883,-0.191384985488916,0
"Omicron (BA.1) - Beta","Asia",0.0445221536327595,0.00685551262149249,NA,0.0310855957990745,0.0579587114664446,1.87041164778634e-08
"Omicron (BA.1) - Alpha","Asia",0.107054842601881,0.00118448892340096,NA,0.104733286971928,0.109376398231833,0
"Omicron (BA.1) - Other","Asia",-0.0659194296814386,0.0004030224340343,NA,-0.0667093391371075,-0.0651295202257697,0
"Omicron (BA.1) - Delta","Asia",0.0174366368023532,0.000540195085531212,NA,0.0163778738900865,0.0184953997146199,0
"Omicron (BA.2) - Omicron (BA.5)","Asia",-0.101487833340511,0.000854709050093336,NA,-0.103163032295954,-0.0998126343850673,0
"Omicron (BA.2) - Beta","Asia",0.136316668085148,0.006858341801471,NA,0.1228745651606,0.149758771009697,0
"Omicron (BA.2) - Alpha","Asia",0.19884935705427,0.00121627521244748,NA,0.196465501442584,0.201233212665956,0
"Omicron (BA.2) - Other","Asia",0.0258750847709501,0.000492405353609476,NA,0.0249099880120808,0.0268401815298194,0
"Omicron (BA.2) - Delta","Asia",0.109231151254742,0.000610588667237701,NA,0.108034419457588,0.110427883051896,0
"Omicron (BA.2) - Omicron (BA.1)","Asia",0.0917945144523888,0.000479662762289885,NA,0.0908543927135756,0.0927346361912019,0
"Omicron (BA.3) - Omicron (BA.5)","Asia",-0.0818122056169948,0.00174036964368686,NA,-0.0852232674384078,-0.0784011437955817,0
"Omicron (BA.3) - Beta","Asia",0.155992295808664,0.00702278772955184,NA,0.142227884787673,0.169756706829656,0
"Omicron (BA.3) - Alpha","Asia",0.218524984777786,0.00192989416283194,NA,0.214742461724661,0.22230750783091,0
"Omicron (BA.3) - Other","Asia",0.0455507124944661,0.00157610907558039,NA,0.0424615954706218,0.0486398295183104,0
"Omicron (BA.3) - Delta","Asia",0.128906778978258,0.00161620424402712,NA,0.125739076868304,0.132074481088212,0
"Omicron (BA.3) - Omicron (BA.1)","Asia",0.111470142175905,0.00156726550566662,NA,0.108398358230586,0.114541926121223,0
"Omicron (BA.3) - Omicron (BA.2)","Asia",0.0196756277235159,0.00152579198941801,NA,0.0166851303763569,0.022666125070675,0
"Omicron (BA.4) - Omicron (BA.5)","Asia",-0.013808601292619,0.00104936940987211,NA,-0.0158653275424464,-0.0117518750427916,0
"Omicron (BA.4) - Beta","Asia",0.22399590013304,0.00693516016166163,NA,0.210403235989166,0.237588564276914,0
"Omicron (BA.4) - Alpha","Asia",0.286528589102161,0.00159106913177654,NA,0.283410150906966,0.289647027297357,0
"Omicron (BA.4) - Other","Asia",0.113554316818842,0.00113724816726733,NA,0.111325351369514,0.11578328226817,0
"Omicron (BA.4) - Delta","Asia",0.196910383302634,0.00119325315382749,NA,0.194571650096693,0.199249116508574,0
"Omicron (BA.4) - Omicron (BA.1)","Asia",0.179473746500281,0.0011292517397959,NA,0.177260453760801,0.18168703923976,0
"Omicron (BA.4) - Omicron (BA.2)","Asia",0.0876792320478917,0.0010350499793607,NA,0.0856505713661458,0.0897078927296376,0
"Omicron (BA.4) - Omicron (BA.3)","Asia",0.0680036043243758,0.00183599282287957,NA,0.0644051245156578,0.0716020841330938,0
"Omicron (BA.2.74) - Omicron (BA.5)","Asia",-0.0552281148491885,0.00319393295387646,NA,-0.061488108407822,-0.048968121290555,0
"Omicron (BA.2.74) - Beta","Asia",0.182576386576471,0.00752800145392151,NA,0.167821774851219,0.197330998301722,0
"Omicron (BA.2.74) - Alpha","Asia",0.245109075545592,0.00333227641461463,NA,0.238577933786415,0.251640217304769,0
"Omicron (BA.2.74) - Other","Asia",0.0721348032622723,0.00314105220044514,NA,0.0659784540758396,0.0782911524487051,0
"Omicron (BA.2.74) - Delta","Asia",0.155490869746064,0.00316163013940666,NA,0.149294188540391,0.161687550951738,0
"Omicron (BA.2.74) - Omicron (BA.1)","Asia",0.138054232943711,0.00313859879910869,NA,0.131902692335537,0.144205773551885,0
"Omicron (BA.2.74) - Omicron (BA.2)","Asia",0.0462597184913222,0.00310555761048317,NA,0.0401729374228609,0.0523464995597835,0
"Omicron (BA.2.74) - Omicron (BA.3)","Asia",0.0265840907678063,0.00344709484410508,NA,0.0198279090220666,0.0333402725135459,6.01196870064769e-12
"Omicron (BA.2.74) - Omicron (BA.4)","Asia",-0.0414195135565695,0.00325689974071437,NA,-0.0478029197496275,-0.0350361073635115,0
"Omicron (BA.2.76) - Omicron (BA.5)","Asia",-0.031484244510658,0.00221922899969355,NA,-0.0358338534235042,-0.0271346355978118,0
"Omicron (BA.2.76) - Beta","Asia",0.206320256915001,0.00717610869815238,NA,0.192255342317478,0.220385171512524,0
"Omicron (BA.2.76) - Alpha","Asia",0.268852945884122,0.00243538718576419,NA,0.264079674711614,0.273626217056631,0
"Omicron (BA.2.76) - Other","Asia",0.0958786736008029,0.00216641137704087,NA,0.0916325853261049,0.100124761875501,0
"Omicron (BA.2.76) - Delta","Asia",0.179234740084595,0.00219614969442603,NA,0.174930365778861,0.183539114390328,0
"Omicron (BA.2.76) - Omicron (BA.1)","Asia",0.161798103282241,0.00216298694041833,NA,0.157558726779991,0.166037479784492,0
"Omicron (BA.2.76) - Omicron (BA.2)","Asia",0.0700035888298527,0.00211409143590926,NA,0.065860045755446,0.0741471319042595,0
"Omicron (BA.2.76) - Omicron (BA.3)","Asia",0.0503279611063368,0.00258996958557855,NA,0.0452517139975487,0.0554042082151249,0
"Omicron (BA.2.76) - Omicron (BA.4)","Asia",-0.017675643218039,0.00231700410537848,NA,-0.0222168878166123,-0.0131343986194657,1.23114851646733e-11
"Omicron (BA.2.76) - Omicron (BA.2.74)","Asia",0.0237438703385305,0.00360621651213965,NA,0.0166758158542832,0.0308119248227779,1.0956057394651e-08
"Omicron (BA.2.75) - Omicron (BA.5)","Asia",0.0554111839798056,0.00556319524862969,NA,0.0445075216535271,0.0663148463060841,0
"Omicron (BA.2.75) - Beta","Asia",0.293215685405465,0.00882616879002897,NA,0.275916712455536,0.310514658355393,0
"Omicron (BA.2.75) - Alpha","Asia",0.355748374374586,0.00568577727149504,NA,0.344604455698339,0.366892293050833,0
"Omicron (BA.2.75) - Other","Asia",0.182774102091266,0.00557584421108249,NA,0.171845648254139,0.193702555928394,0
"Omicron (BA.2.75) - Delta","Asia",0.266130168575058,0.00558746141442846,NA,0.255178945437771,0.277081391712345,0
"Omicron (BA.2.75) - Omicron (BA.1)","Asia",0.248693531772705,0.00557464144853346,NA,0.237767435306855,0.259619628238555,0
"Omicron (BA.2.75) - Omicron (BA.2)","Asia",0.156899017320316,0.00555562141269623,NA,0.146010199439692,0.16778783520094,0
"Omicron (BA.2.75) - Omicron (BA.3)","Asia",0.1372233895968,0.00575411639759718,NA,0.125945528694659,0.148501250498942,0
"Omicron (BA.2.75) - Omicron (BA.4)","Asia",0.0692197852724246,0.00561805006028102,NA,0.0582086094909307,0.0802309610539184,0
"Omicron (BA.2.75) - Omicron (BA.2.74)","Asia",0.110639298828994,0.00624094184593846,NA,0.0984072775813458,0.122871320076642,0
"Omicron (BA.2.75) - Omicron (BA.2.76)","Asia",0.0868954284904636,0.00572412392660264,NA,0.0756763517512784,0.0981145052296487,0
"Beta - Omicron (BA.5)","North America",-0.227821697347175,0.00566751518105569,NA,-0.238929822983878,-0.216713571710472,0
"Alpha - Omicron (BA.5)","North America",-0.241232475797606,0.00102750413743927,NA,-0.243246346900953,-0.23921860469426,0
"Alpha - Beta","North America",-0.0134107784504312,0.00565996677020268,NA,-0.0245041094737219,-0.00231744742714046,0.429768108390611
"Other - Omicron (BA.5)","North America",-0.0728121484952221,0.000670641746892183,NA,-0.0741265821656598,-0.0714977148247843,0
"Other - Beta","North America",0.155009548851953,0.00563105070376777,NA,0.143972892277449,0.166046205426457,0
"Other - Alpha","North America",0.168420327302384,0.000810746875850805,NA,0.166831292625138,0.17000936197963,0
"Delta - Omicron (BA.5)","North America",-0.17544789029412,0.000818584999447656,NA,-0.177052287411322,-0.173843493176918,0
"Delta - Beta","North America",0.0523738070530553,0.00564989550715588,NA,0.0413002153426151,0.0634473987634955,0
"Delta - Alpha","North America",0.0657845855034865,0.000956125047458916,NA,0.0639106148457504,0.0676585561612226,0
"Delta - Other","North America",-0.102635741798898,0.000341562341319294,NA,-0.103305191686359,-0.101966291911437,0
"Omicron (BA.1) - Omicron (BA.5)","North America",-0.206629320393925,0.00070647129317843,NA,-0.208013978684666,-0.205244662103183,0
"Omicron (BA.1) - Beta","North America",0.0211923769532506,0.00565726562492156,NA,0.0101043400774279,0.0322804138290734,0.0111761244206319
"Omicron (BA.1) - Alpha","North America",0.0346031554036818,0.000966364966973768,NA,0.032709114872492,0.0364971959348716,0
"Omicron (BA.1) - Other","North America",-0.133817171898703,0.000583778343654343,NA,-0.134961356427219,-0.132672987370186,0
"Omicron (BA.1) - Delta","North America",-0.0311814300998047,0.000766563026269894,NA,-0.0326838660231737,-0.0296789941764356,0
"Omicron (BA.2) - Omicron (BA.5)","North America",-0.102959456223909,0.000370548383592456,NA,-0.10368571771028,-0.102233194737538,0
"Omicron (BA.2) - Beta","North America",0.124862241123266,0.00565979520970869,NA,0.113769246352365,0.135955235894168,0
"Omicron (BA.2) - Alpha","North America",0.138273019573697,0.000984772089224138,NA,0.136342901745838,0.140203137401557,0
"Omicron (BA.2) - Other","North America",-0.0301473077286869,0.000605998205803168,NA,-0.031335042386757,-0.0289595730706168,0
"Omicron (BA.2) - Delta","North America",0.0724884340702109,0.000770220575632118,NA,0.0709788294818203,0.0739980386586016,0
"Omicron (BA.2) - Omicron (BA.1)","North America",0.103669864170016,0.000646176215517909,NA,0.102403382059934,0.104936346280097,0
"Omicron (BA.3) - Omicron (BA.5)","North America",-0.0991681063677956,0.00258392975602623,NA,-0.104232515628188,-0.0941036971074029,0
"Omicron (BA.3) - Beta","North America",0.12865359097938,0.0061903434160947,NA,0.116520740831899,0.14078644112686,0
"Omicron (BA.3) - Alpha","North America",0.142064369429811,0.0026920075852976,NA,0.136788131516519,0.147340607343103,0
"Omicron (BA.3) - Other","North America",-0.0263559578725736,0.00257319244669075,NA,-0.0313993223933779,-0.0213125933517692,0
