continent.country.region,Freq,continent,country,region,iso2c,iso3c,latitude_country,longitude_country,latitude_region,longitude_region,locality_revgeo,administrative_area_level_1_revgeo,administrative_area_level_2_revgeo,country_revgeo,state_revgeo_natearth,country_revgeo_natearth,,
Africa / Algeria / Adrar,1,Africa,Algeria,Adrar,DZ,DZA,28.15893844,2.61732102,28.0174403,-0.2642497,Adrar,Adrar Province,Adrar,Algeria,Adrar,Algeria,TRUE,
Africa / Algeria / Alger,2,Africa,Algeria,Alger,DZ,DZA,28.15893844,2.61732102,36.753768,3.0587561,Sidi M'Hamed,Algiers Province,Sidi M'hamed,Algeria,Algiers,Algeria,TRUE,
Africa / Algeria / Algiers,16,Africa,Algeria,Algiers,DZ,DZA,28.15893844,2.61732102,36.753768,3.0587561,Sidi M'Hamed,Algiers Province,Sidi M'hamed,Algeria,Algiers,Algeria,TRUE,
Africa / Algeria / Batna,1,Africa,Algeria,Batna,DZ,DZA,28.15893844,2.61732102,35.5634192,6.1889996,Batna,Wilaya de Batna,Batna,Algeria,Batna,Algeria,TRUE,
Africa / Algeria / Bejaia,2,Africa,Algeria,Bejaia,DZ,DZA,28.15893844,2.61732102,36.7515258,5.0556837,Béjaïa,Béjaïa Province,Bejaia,Algeria,Béjaïa,Algeria,TRUE,
Africa / Algeria / Biskra,1,Africa,Algeria,Biskra,DZ,DZA,28.15893844,2.61732102,34.8449437,5.7248567,Biskra,Biskra Province,Biskra,Algeria,Biskra,Algeria,TRUE,
Africa / Algeria / Blida,7,Africa,Algeria,Blida,DZ,DZA,28.15893844,2.61732102,36.4735715,2.8323153,Blida,Blida Province,Blida,Algeria,Blida,Algeria,TRUE,
Africa / Algeria / Bordj-Bou-Arreridj,1,Africa,Algeria,Bordj-Bou-Arreridj,DZ,DZA,28.15893844,2.61732102,36.0739925,4.7630271,Bordj Bou Arreridj,Bordj Bou Arréridj Province,Bordj Bou Arreridj,Algeria,Bordj Bou Arréridj,Algeria,TRUE,
Africa / Algeria / Boufarik,2,Africa,Algeria,Boufarik,DZ,DZA,28.15893844,2.61732102,36.5832413,2.9121256,Boufarik,Blida Province,Boufarik,Algeria,Blida,Algeria,TRUE,
Africa / Algeria / Bouira,10,Africa,Algeria,Bouira,DZ,DZA,28.15893844,2.61732102,36.3691846,3.9006194,Bouira,Bouïra Province,Bouira,Algeria,Bouïra,Algeria,TRUE,
Africa / Algeria / Djelfa,1,Africa,Algeria,Djelfa,DZ,DZA,28.15893844,2.61732102,34.6703956,3.2503761,Djelfa,Djelfa Province,Djelfa,Algeria,Djelfa,Algeria,TRUE,
Africa / Algeria / Eddis,1,Africa,Algeria,Eddis,DZ,DZA,28.15893844,2.61732102,35.3051544,4.1692941,Ouled Sidi Brahim,M'Sila Province,Ouled Sidi Brahim,Algeria,M'Sila,Algeria,TRUE,
