"week_midpoint","country","non_sgtf","sgtf","Other","Alpha","Beta","Gamma","Delta","Omicron (B.1.1.529)","Omicron (BA.1)","Omicron (BA.2)","Omicron (BA.3)","Omicron","Total","longitude","latitude","continent","date_num"
2019-12-26,"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,66.00473115,33.83523216,"Asia",18256
2019-12-26,"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,20.04983034,41.14245128,"Europe",18256
2019-12-26,"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,2.61732102,28.15893844,"Africa",18256
2019-12-26,"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,1.56053368,42.54229174,"Europe",18256
2019-12-26,"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,17.53736149,-12.29336112,"Africa",18256
2019-12-26,"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,-63.06498464,18.22396692,"North America",18256
2019-12-26,"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.7946956,17.27754256,"North America",18256
2019-12-26,"Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,-65.17980881,-35.38135347,"South America",18256
2019-12-26,"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,44.9299343,40.28952206,"Asia",18256
2019-12-26,"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,-69.98267466,12.52088881,"South America",18256
2019-12-26,"Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,134.4909988,-25.73288736,"Oceania",18256
2019-12-26,"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,14.12647809,47.58549847,"Europe",18256
2019-12-26,"Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,47.54599646,40.28827674,"Europe",18256
2019-12-26,"Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,50.54197759,26.04200845,"Asia",18256
2019-12-26,"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,90.23812793,23.86730412,"Asia",18256
2019-12-26,"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,-59.55980198,13.18145371,"North America",18256
2019-12-26,"Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,28.03208711,53.53131155,"Europe",18256
2019-12-26,"Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,4.64064572,50.63981435,"Europe",18256
2019-12-26,"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,-88.71010228,17.20027475,"North America",18256
2019-12-26,"Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,2.32784527,9.6417533,"Africa",18256
2019-12-26,"Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,-64.75454185,32.31368594,"North America",18256
2019-12-26,"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,-64.6853892,-16.70814536,"South America",18256
2019-12-26,"Bonaire",0,0,0,0,0,0,0,0,0,0,0,0,0,-68.262383,12.20189,"South America",18256
2019-12-26,"Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,0,17.76876588,44.17449912,"Europe",18256
2019-12-26,"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,23.7985373,-22.18402031,"Africa",18256
2019-12-26,"Brazil",0,0,0,0,0,0,0,0,0,0,0,0,0,-53.09783199,-10.78777567,"South America",18256
2019-12-26,"British Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,-64.47140241,18.52593375,"North America",18256
2019-12-26,"Brunei",0,0,0,0,0,0,0,0,0,0,0,0,0,114.7220255,4.51968241,"Asia",18256
2019-12-26,"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,25.21552327,42.76889988,"Europe",18256
2019-12-26,"Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7545684,12.26953681,"Africa",18256
2019-12-26,"Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,29.8751201,-3.35939257,"Africa",18256
2019-12-26,"Cabo Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,-23.95990969,15.95518822,"Africa",18256
2019-12-26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,104.9069431,12.72004932,"Asia",18256
2019-12-26,"Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,12.73964266,5.69110296,"Africa",18256
