"row","locality_revgeo","administrative_area_level_1_revgeo","administrative_area_level_2_revgeo","country_revgeo"
1,"Adrar","Adrar Province","Adrar","Algeria"
2,"Sidi M'Hamed","Algiers Province","Sidi M'hamed","Algeria"
3,"Sidi M'Hamed","Algiers Province","Sidi M'hamed","Algeria"
4,"Batna","Wilaya de Batna","Batna","Algeria"
5,"Béjaïa","Béjaïa Province","Bejaia","Algeria"
6,"Biskra","Biskra Province","Biskra","Algeria"
7,"Blida","Blida Province","Blida","Algeria"
8,"Bordj Bou Arreridj","Bordj Bou Arréridj Province","Bordj Bou Arreridj","Algeria"
9,"Boufarik","Blida Province","Boufarik","Algeria"
10,"Bouira","Bouïra Province","Bouira","Algeria"
11,"Djelfa","Djelfa Province","Djelfa","Algeria"
12,"Ouled Sidi Brahim","M'Sila Province","Ouled Sidi Brahim","Algeria"
13,"El Oued","El Oued Province","El Oued","Algeria"
14,"Laghouat","Laghouat Province","Laghouat","Algeria"
15,"Médéa","Médéa Province","Medea","Algeria"
16,"Oran","Oran Province","Oran","Algeria"
17,"Ouargla","Ouargla Province","Ouargla","Algeria"
18,"Setif","Sétif Province","Setif","Algeria"
19,"Sidi Bel Abbès","Sidi Bel Abbès Province","Sidi Bel Abbes","Algeria"
20,"Tindouf","Tindouf Province","Tindouf","Algeria"
21,"Tipaza","Tipaza Province","Tipaza","Algeria"
22,"Tissemsilt","Tissemsilt Province","Tissemsilt","Algeria"
23,"Tizi Ouzou","Tizi Ouzou Province","Tizi Ouzou","Algeria"
24,"Touggourt","Ouargla Province","Touggourt","Algeria"
25,NA,"Bengo Province","Icolo e Bengo","Angola"
26,NA,"Bié Province","Camacupa","Angola"
27,"Kunji","Bié Province","Kuito","Angola"
28,NA,"Malanje Province","Cambundi-Catembo","Angola"
29,"Cabinda","Cabinda Province","Cabinda","Angola"
30,NA,"Cuanza Norte Province","Cazengo","Angola"
31,NA,"Cunene Province","Cuanhama","Angola"
32,"Huambo","Huambo Province","Huambo","Angola"
33,"Huambo","Huambo Province","Huambo","Angola"
34,NA,"Huila Province","Quipungo","Angola"
35,"Luanda","Luanda","Luanda","Angola"
36,"Luanda","Luanda","Luanda","Angola"
37,NA,"Bié Province","Camacupa","Angola"
38,"Uige","Uíge Province","Uige","Angola"
39,"Uige","Uíge Province","Uige","Angola"
40,NA,"Zaire Province","Tomboco","Angola"
41,"Aplahoue","Kouffo Department","Aplahoué","Benin"
42,"Athieme","Mono Department","Athieme","Benin"
43,NA,"Atlantique Department","Allada","Benin"
44,"Bohicon","Zou Department","Bohicon","Benin"
45,"Come","Mono Department","Comè","Benin"
46,"Cotonou","Littoral Department","Cotonou","Benin"
47,NA,"Kouffo Department","Klouékanmè","Benin"
48,"Cove","Zou Department","Cové","Benin"
49,NA,"Kouffo Department","Djakotomey","Benin"
50,"Grand Popo","Mono Department","Grand-Popo","Benin"
51,NA,"Kouffo Department","Klouékanmè","Benin"
52,NA,"Kouffo Department","Lalo","Benin"
53,"Cotonou","Littoral Department","Cotonou","Benin"
54,"Lokossa","Mono Department","Athieme","Benin"
55,NA,"Mono Department","Athieme","Benin"
56,NA,"Ouémé Department","Dangbo","Benin"
57,"Porto-Novo","Ouémé Department","Porto Novo","Benin"
58,NA,"Zou Department","Djidja","Benin"
59,NA,"Ghanzi District","CKGR","Botswana"
60,"Boatle","South-East District","Gaborone","Botswana"
61,"Bobonong","Central District","Bobonong","Botswana"
62,NA,"Central District","Bobonong","Botswana"
63,"Serowe","Central District","Serowe","Botswana"
64,"Bokaa","Kgatleng District","Kgatleng","Botswana"
65,NA,"Central District","Boteti","Botswana"
66,NA,"Central District","Tutume","Botswana"
67,NA,"Central District","Tutume","Botswana"
68,"Charles Hill","Ghanzi District","Ghanzi","Botswana"
69,NA,"North-West District","Chobe","Botswana"
70,"Gaborone","South-East District","Gaborone","Botswana"
71,NA,"Central District","Serowe","Botswana"
72,"Phuduhudu","Kgalagadi District","Kgalagadi North District","Botswana"
73,"Francistown","North-East District","Francistown","Botswana"
74,"Gaborone","South-East District","Gaborone","Botswana"
75,"Ghanzi","Ghanzi District","Ghanzi","Botswana"
76,NA,"Central District","Bobonong","Botswana"
77,"Goodhope","Southern District","Barolong","Botswana"
78,"Goodhope","Southern District","Barolong","Botswana"
79,"Goodhope","Southern District","Barolong","Botswana"
80,"Gaborone","South-East District","Gaborone","Botswana"
81,"Palapye","Central District","Serowe","Botswana"
82,NA,"Central District","Serowe","Botswana"
83,NA,"Southern District","Barolong","Botswana"
84,"Hukuntsi","Kgalagadi District","Kgalagadi North District","Botswana"
85,"Jwaneng","Southern District","Jwaneng District","Botswana"
86,"Kanye","Southern District","Ngwaketse","Botswana"
87,"Kasane","North-West District","Chobe","Botswana"
88,NA,"Central District","Boteti","Botswana"
89,"Kgagodi","Central District","Serowe","Botswana"
90,NA,"Kgalagadi District","Kgalagadi North District","Botswana"
91,NA,"Kgalagadi District","Kgalagadi North District","Botswana"
92,NA,"Kgatleng District",NA,"Botswana"
93,"Kopong","South-East District","Gaborone","Botswana"
94,NA,"Kweneng District","Kweneng West","Botswana"
95,NA,"Kweneng District","Kweneng East","Botswana"
96,NA,"Central District","Serowe","Botswana"
97,"Lentsweletau","Kweneng District","Kweneng East","Botswana"
98,"Letlhakeng","Kweneng District","Kweneng East","Botswana"
99,"Lobatse","South-East District","Lobatse","Botswana"
100,NA,"Central District","Serowe","Botswana"
101,NA,"Central District","Serowe","Botswana"
102,NA,"Ghanzi District","CKGR","Botswana"
103,NA,"Central District","Mahalapye","Botswana"
104,"Mahalapye","Central District","Mahalapye","Botswana"
105,NA,"Central District","Serowe","Botswana"
106,"Malatswae","Central District","Serowe","Botswana"
107,"Malatswae","Central District","Serowe","Botswana"
108,NA,"Ghanzi District",NA,"Botswana"
109,NA,"North-East District","North East District","Botswana"
110,"Mathangwane","North-East District","North East District","Botswana"
111,"Mmathethe","Southern District","Barolong","Botswana"
112,NA,"Central District","Serowe","Botswana"
113,"Maun","North-West District","Ngamiland East","Botswana"
114,"Maunatlala","Central District","Serowe","Botswana"
115,"Mbalambi","North-East District","North East District","Botswana"
116,"Metlojane","Southern District","Barolong","Botswana"
117,NA,"Central District","Selebi-Phikwe","Botswana"
118,"Mmashoro","Central District","Serowe","Botswana"
119,"Mochudi","Kgatleng District","Kgatleng","Botswana"
120,"Mochudi","Kgatleng District","Kgatleng","Botswana"
121,NA,"South-East District",NA,"Botswana"
122,"Mogorosi","Central District","Serowe","Botswana"
123,"Moiyabana","Central District","Mahalapye","Botswana"
124,"Molepolole","Kweneng District","Kweneng East","Botswana"
125,NA,"Southern District","Jwaneng District","Botswana"
126,"Motopi","Central District","Boteti","Botswana"
127,NA,"Ghanzi District","CKGR","Botswana"
128,NA,"North-West District","Ngamiland East","Botswana"
129,NA,"North-East District","North East District","Botswana"
130,NA,"South-East District","Gaborone","Botswana"
131,"Orapa","Central District","Orapa","Botswana"
132,"Otse","South-East District","South East","Botswana"
133,"Paje","Central District","Serowe","Botswana"
134,"Palapye","Central District","Serowe","Botswana"
135,"Mochudi","Kgatleng District","Kgatleng","Botswana"
136,"Pitsane","Southern District","Barolong","Botswana"
137,"Rakhuna","Southern District","Barolong","Botswana"
138,"Rakops","Central District","Boteti","Botswana"
139,"Ramatlabama","Southern District","Barolong","Botswana"
140,"Ramokgwebana","North-East District","North East District","Botswana"
141,"Ramotswa","South-East District","Gaborone","Botswana"
142,"Rasesa","Kgatleng District","Kgatleng","Botswana"
143,NA,"Ghanzi District","CKGR","Botswana"
144,"Selebi Phikwe","Central District","Selebi-Phikwe","Botswana"
145,"Selebi Phikwe","Central District","Selebi-Phikwe","Botswana"
146,"Selebi Phikwe","Central District","Selebi-Phikwe","Botswana"
147,"Selebi Phikwe","Central District","Selebi-Phikwe","Botswana"
148,"Seolwane","Limpopo","Southern","South Africa"
149,"Serowe","Central District","Serowe","Botswana"
150,NA,"Kweneng District","Kweneng East","Botswana"
151,"Sikwane","Kgatleng District","Kgatleng","Botswana"
152,"Sojwe","Kweneng District","Kweneng East","Botswana"
153,NA,"South-East District","South East","Botswana"
154,NA,"Southern District","Jwaneng District","Botswana"
155,NA,"South-East District","South East","Botswana"
156,"Sowa","Central District","Sowa","Botswana"
157,"Tati Siding","North-East District","Francistown","Botswana"
158,"Thabala","Central District","Mahalapye","Botswana"
159,NA,"Southern District","Barolong","Botswana"
160,"Gaborone","South-East District","Gaborone","Botswana"
161,"Tshesebe","North-East District","North East District","Botswana"
162,"Tshidilamolomo","North West","Ngaka Modiri Molema","South Africa"
163,"Werda","Kgalagadi District","Kgalagadi South","Botswana"
164,"Banfora","Cascades Region","Comoe","Burkina Faso"
165,"Batie","Sud-Ouest Region","Noumbiel","Burkina Faso"
166,"Batie","Sud-Ouest Region","Noumbiel","Burkina Faso"
167,"Bobo-Dioulasso","Hauts-Bassins Region","Houet","Burkina Faso"
168,"Boromo","Boucle du Mouhoun Region","Bale","Burkina Faso"
169,NA,"Hauts-Bassins Region","Houet","Burkina Faso"
170,"Dano","Sud-Ouest Region","Loba","Burkina Faso"
171,"Diebougou","Sud-Ouest Region","Bougouriba","Burkina Faso"
172,"Gaoua","Sud-Ouest Region","Poni","Burkina Faso"
