"","Var1","Freq"
"1","'[Run20210508template bulk upload 20210508.xlsx]intermediaire'!R97",1
"2","#VALUE!",3
"3","Algemeen Klinisch Labo Lier",1
"4","Algemeen Medisch Labo",171
"5","ALGEMEEN MEDISCH LABO",6
"6","Algemeen Medisch Laboratorium",14
"7","Algemeen Medisch Laboratorium (AML)",52
"8","Antwerp University Hospital",6
"9","arlon",12
"10","Arlon",179
"11","AZ Delta",9
"12","AZ Delta Medical Laboratories in Roeselare, Belgium",1
"13","AZ Jan Portaels",4
"14","AZ Klina",230
"15","AZ Rivierenland, Campus Rumst",2
"16","AZ Sint-Jan",16
"17","AZ Sint-Jan Brugge-Oostende AV",13
"18","AZ Sint-Lucas Gent",7
"19","AZ Sint-Maarten",3
"20","AZ Sint Blasius",1
"21","AZ Sint Maarten",21
"22","AZ St.Jan",1
"23","AZ St.jan Brugge",10
"24","AZ St.Jan Brugge",11
"25","AZ St.Jan Brugge-Oostende",44
"26","AZ St.Jan Brugge-Oostende AV",11
"27","AZ St.Jan, campus Oostende",1
"28","AZ Vesale (Tongres)",4
"29","AZ Zeno",37
"30","AZ Zeno Knokke-Blankenberge",5
"31","AZDelta",1157
"32","AZT",6
"33","AZV",3
"34","Brussels Academic Hospital Lab (LHUB-ULB)",96
"35","C.H Peltzer - la Tourelle",1
"36","C.H.Bois de l'Abbaye",1
"37","C.H.C MontLégia",9
"38","Cabinet Priv<U+00E9>",8
"39","Cabinet Privé",6
"40","Centre Hospitalier de l'Ardenne",13
"41","Centre Hospitalier de Wallonie picarde (CHwapi)",3
"42","Centre Hospitalier de Wallonie Picarde (CHWaPi)",12
"43","Centrum voor Medische Analyse",8
"44","CHC",12
"45","CHC Liège",2
"46","CHR Citadelle",18
"47","CHR de la Citadelle",52
"48","CHR de La Citadelle",101
"49","CHR de Namur",1
"50","CHR Namur",1
"51","CHR Verviers",1
"52","Chu Tivoli",5
"53","CHWAPI - SITE NOTRE DAME",280
"54","Clinique André Renard Herstal",2
"55","CLINIQUE N-D DE GRACE",24
"56","Clinique N.D de Grâce Gosselies",24
"57","Clinique St Joseph Saint Vith",1
"58","Cliniques Cud-Luxembourg",15
"59","Cliniques Saint-Pierre Ottignies",15
"60","Cliniques Sud-Luxembourg",10
"61","Cliniques universitaires Saint-Luc",104
