"","Var1","Freq"
"1","Augustijnslei 100 2930 Brasschaat",1
"2","AZ Delta",9
"3","AZ Delta Medical Laboratories in Roeselare, Belgium",1054
"4","AZ Klina",324
"5","AZ KLina",1
"6","AZ SINT-JAN BRUGGE",149
"7","AZ Sint-Lucas Gent",24
"8","AZ Sint Jan",57
"9","AZDelta",713
"10","CUB Hopital Erasme Laboratoire d'Anatomie Pathologique",9
"11","Erasmus Medical Center",7
"12","GIGA Medical Genomics",6887
"13","HCRC",12
"14","Imeda Hospital",78
"15","Imelda",4
"16","Imelda Hospital",92
"17","Imelda hospital Bonheiden",25
"18","Imelda Ziekenhuis",62
"19","Institut de Pathologie et Genetique (IPG)",371
"20","Institut de Pathologie et Génétique (IPG)",39
"21","Institute information KU Leuven, Clinical and Epidemiological Virology",1
"22","Institute of Tropical Medicine",51
"23","Jessa",1833
"24","Klinisch Laboratorium ZNA",323
"25","KU Leuven, Clincal and Epidemiological Virology",1
"26","KU Leuven, Clinical and Epidemiological Virology",183
"27","KU Leuven, Rega Institute, Clinical and Epidemiological Virology",10283
"28","Lab voor klinische biologie",3679
"29","Labo Klinische Biologie, UZA",3142
"30","Laboratoire de biologie moléculaire - Plateforme Clinique",1
"31","Laboratory of Medical Microbiology, University of Antwerp, Campus Drie Eiken, S6.26, Universiteitsplein 1, 2610, Wilrijk, Antwerp, Belgium",7
"32","LHUB-ULB",37
"33","Microbiology Department - University Hospital Brussel",6
"34","National Plateform bis UMONS/Jolimont",1
"35","National Platform bis UMONS/Jolimont",709
"36","OLVZ Aalst",187
"37","Onderzoeksgroep Virologie",298
"38","PathoSense BV",1
"39","Plateforme Clinique de testing Namuroise",27
"40","Plateforme de testing namuroise",1
"41","Plateforme de testing Namuroise",1344
"42","Plateforme Fédérale COVID ULB-IBC",5
"43","UAntwerp, Laboratory of Medical Microbiology",762
"44","UAntwerp, Laboratory of Medical Microbiology,",2
"45","UAntwerp, Laboratory of Medical Microbiology, Campus Drie Eiken S6.26, Universiteitsplein 1, 2610, Wilrijk, Antwerp, Belgium",29
"46","UAntwerp, Laboratory of Medical Microbiology, Campus Drie Eiken S6.26, Universiteitsplein 1, 2610, Wilrijk, Belgium",13
"47","UCLouvain/IREC/MBLG",755
"48","University Hospital Basel, Clinical Bacteriology",1
"49","US Air Force School of Aerospace Medicine",18
"50","UZA, Clinical Biology",71
