"LINEAGE2","count","total","collection_date","collection_date_num","prop"
"B.1.1.7",0,13,2020-11-05,18571,0
"B.1.1.7",0,23,2020-11-12,18578,0
"B.1.1.7",0,31,2020-11-19,18585,0
"B.1.1.7",0,8,2020-11-26,18592,0
"B.1.1.7",0,14,2020-12-03,18599,0
"B.1.1.7",0,87,2020-12-10,18606,0
"B.1.1.7",0,137,2020-12-17,18613,0
"B.1.1.7",11,46,2020-12-24,18620,0.239130434782609
"B.1.1.7",32,85,2020-12-31,18627,0.376470588235294
"B.1.1.7",47,162,2021-01-07,18634,0.290123456790123
"B.1.1.7",133,305,2021-01-14,18641,0.436065573770492
"B.1.1.7",255,490,2021-01-21,18648,0.520408163265306
"B.1.1.7",273,633,2021-01-28,18655,0.431279620853081
"B.1.1.7",336,761,2021-02-04,18662,0.441524310118265
"B.1.1.7",270,599,2021-02-11,18669,0.450751252086811
"B.1.1.7",439,814,2021-02-18,18676,0.539312039312039
"B.1.1.7",568,935,2021-02-25,18683,0.607486631016043
"B.1.1.7",480,772,2021-03-04,18690,0.621761658031088
"B.1.1.7",761,1022,2021-03-11,18697,0.744618395303327
"B.1.1.7",762,962,2021-03-18,18704,0.792099792099792
"B.1.1.7",935,1106,2021-03-25,18711,0.845388788426763
"B.1.1.7",776,915,2021-04-01,18718,0.848087431693989
"B.1.1.7",624,757,2021-04-08,18725,0.824306472919419
"B.1.1.7",725,861,2021-04-15,18732,0.842044134727062
"B.1.1.7",724,888,2021-04-22,18739,0.815315315315315
"B.1.1.7",816,941,2021-04-29,18746,0.867162592986185
"B.1.1.7",247,291,2021-05-06,18753,0.848797250859107
"B.1",0,13,2020-11-05,18571,0
"B.1",0,23,2020-11-12,18578,0
"B.1",0,31,2020-11-19,18585,0
"B.1",0,8,2020-11-26,18592,0
"B.1",0,14,2020-12-03,18599,0
"B.1",2,87,2020-12-10,18606,0.0229885057471264
"B.1",6,137,2020-12-17,18613,0.0437956204379562
"B.1",1,46,2020-12-24,18620,0.0217391304347826
"B.1",3,85,2020-12-31,18627,0.0352941176470588
"B.1",3,162,2021-01-07,18634,0.0185185185185185
"B.1",6,305,2021-01-14,18641,0.019672131147541
"B.1",7,490,2021-01-21,18648,0.0142857142857143
"B.1",11,633,2021-01-28,18655,0.0173775671406003
"B.1",12,761,2021-02-04,18662,0.0157687253613666
"B.1",6,599,2021-02-11,18669,0.010016694490818
"B.1",4,814,2021-02-18,18676,0.00491400491400491
"B.1",2,935,2021-02-25,18683,0.00213903743315508
"B.1",5,772,2021-03-04,18690,0.00647668393782383
"B.1",9,1022,2021-03-11,18697,0.00880626223091976
"B.1",2,962,2021-03-18,18704,0.00207900207900208
"B.1",2,1106,2021-03-25,18711,0.00180831826401447
"B.1",2,915,2021-04-01,18718,0.00218579234972678
"B.1",0,757,2021-04-08,18725,0
