"LINEAGE2","count","total","collection_date","collection_date_num","prop"
"B.1.1.7",394,945,2021-02-04,18662,0.416931216931217
"B.1.1.7",344,761,2021-02-11,18669,0.45203679369251
"B.1.1.7",531,1046,2021-02-18,18676,0.507648183556405
"B.1.1.7",693,1170,2021-02-25,18683,0.592307692307692
"B.1.1.7",653,1058,2021-03-04,18690,0.617202268431002
"B.1.1.7",1042,1423,2021-03-11,18697,0.732255797610682
"B.1.1.7",1171,1517,2021-03-18,18704,0.771918259723138
"B.1.1.7",1430,1754,2021-03-25,18711,0.815279361459521
"B.1.1.7",1385,1683,2021-04-01,18718,0.822935234699941
"B.1.1.7",1098,1349,2021-04-08,18725,0.813936249073388
"B.1.1.7",1293,1561,2021-04-15,18732,0.828315182575272
"B.1.1.7",1288,1646,2021-04-22,18739,0.782503037667072
"B.1.1.7",1414,1708,2021-04-29,18746,0.827868852459016
"B.1.1.7",1299,1583,2021-05-06,18753,0.820593809222994
"B.1.1.7",1206,1526,2021-05-13,18760,0.790301441677588
"B.1.1.7",1357,1688,2021-05-20,18767,0.803909952606635
"B.1.1.7",996,1264,2021-05-27,18774,0.787974683544304
"B.1.1.7",861,1140,2021-06-03,18781,0.755263157894737
"B.1.1.7",611,862,2021-06-10,18788,0.708816705336427
"B.1.1.7",380,641,2021-06-17,18795,0.592823712948518
"B.1.1.7",229,520,2021-06-24,18802,0.440384615384615
"B.1.1.7",183,842,2021-07-01,18809,0.217339667458432
"B.1.1.7",251,1701,2021-07-08,18816,0.14756025867137
"B.1.1.7",114,1822,2021-07-15,18823,0.0625686059275521
"B.1.1.7",40,1717,2021-07-22,18830,0.023296447291788
"B.1.1.7",16,1184,2021-07-29,18837,0.0135135135135135
"B.1.1.7",14,2025,2021-08-05,18844,0.00691358024691358
"B.1.1.7",4,2028,2021-08-12,18851,0.0019723865877712
"B.1.1.7",6,1948,2021-08-19,18858,0.00308008213552361
"B.1.1.7",5,2011,2021-08-26,18865,0.00248632521133764
"B.1.1.7",0,2149,2021-09-02,18872,0
"B.1.1.7",0,1496,2021-09-09,18879,0
"B.1.1.7",1,1330,2021-09-16,18886,0.00075187969924812
"B.1.1.7",0,1301,2021-09-23,18893,0
"B.1.1.7",3,1467,2021-09-30,18900,0.00204498977505112
"B.1.1.7",0,1282,2021-10-07,18907,0
"B.1.1.7",0,679,2021-10-14,18914,0
"B.1.1.7",0,204,2021-10-21,18921,0
"B.1.351",55,945,2021-02-04,18662,0.0582010582010582
"B.1.351",70,761,2021-02-11,18669,0.0919842312746386
"B.1.351",67,1046,2021-02-18,18676,0.0640535372848948
