region_nuts_code,region_nis_code,region_label_nl,province_nuts_code,province_nis_code,province_label_nl,arrondissement_nuts_code,arrondissement_nis_code,arrondissement_label_nl,municipality_nis_code,municipality_nis_label_nl,municipality_label_nl,postcode
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21004,Brussel,Brussel,1000
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21004,Brussel,Laken (Bru.),1020
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21015,Schaarbeek,Schaarbeek,1030
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21005,Etterbeek,Etterbeek,1040
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21009,Elsene,Elsene,1050
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21013,Sint-Gillis,Sint-Gillis,1060
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21001,Anderlecht,Anderlecht,1070
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21012,Sint-Jans-Molenbeek,Sint-Jans-Molenbeek,1080
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21011,Koekelberg,Koekelberg,1081
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21003,Sint-Agatha-Berchem,Sint-Agatha-Berchem,1082
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21008,Ganshoren,Ganshoren,1083
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21010,Jette,Jette,1090
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21004,Brussel,Neder-over-Heembeek (Bru.),1120
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21004,Brussel,Haren (Bru.),1130
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21006,Evere,Evere,1140
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21019,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe,1150
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21002,Oudergem,Oudergem,1160
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21017,Watermaal-Bosvoorde,Watermaal-Bosvoorde,1170
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21016,Ukkel,Ukkel,1180
BE1,4000,Brussels Hoofdstedelijk Gewest,BE10,4000,Brussels Hoofdstedelijk Gewest,BE100,21000,Brussel Hoofdstad,21007,Vorst,Vorst,1190
