"LINEAGE_AT1PERCENT","DATE_NUM_AT1PERCENT","DATE_AT1PERCENT","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Other",-0.0163680012477938,0.00283983596527566,NA,-0.0219339774617356,-0.0108020250338519,3.05017882362701e-06
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Alpha",-0.106043912243734,0.00317078175421599,NA,-0.112258530284834,-0.0998292942026339,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Beta",-0.107335355332158,0.00553043660400098,NA,-0.118174811894782,-0.0964958987695342,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Gamma",-0.141698401170419,0.00488815341218845,NA,-0.151279005809215,-0.132117796531623,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Delta",-0.129537680267533,0.00357572807034099,NA,-0.13654597850391,-0.122529382031156,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Omicron (BA.2)",-0.235789952765497,0.00723996515721971,NA,-0.249980023722972,-0.221599881808021,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Omicron (BA.3)",0.0122947480570854,0.00210140897502553,NA,0.00817606214924618,0.0164134339649247,2.02412680305741e-06
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Omicron (BA.1.1, with S:R346K)",-0.0871948204211369,0.0338973122539238,NA,-0.153632331611536,-0.0207573092307381,0.274248404912133
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Omicron (BA.4)",0.0688201067704368,0.00356235479341944,NA,0.0618380196751811,0.0758021938656925,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Omicron (BA.1) - Omicron (BA.5)",0.081692058695344,0.0107903613639432,NA,0.0605433390418429,0.102840778348845,3.32775695888188e-10
"Alpha",18602,2020-12-06,"Other - Alpha",-0.0896759109959402,0.00138076610634696,NA,-0.0923821628354538,-0.0869696591564266,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Other - Beta",-0.0909673540843643,0.00473979389988072,NA,-0.100257179422273,-0.0816775287464555,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Other - Gamma",-0.125330399922625,0.00396645321102117,NA,-0.13310450536259,-0.117556294482661,3.5527136788005e-15
"Alpha",18602,2020-12-06,"Other - Delta",-0.113169679019739,0.00229923366864629,NA,-0.117676094202328,-0.108663263837151,3.5527136788005e-15
