"","x"
"1","KU Leuven, Clinical and Epidemiological Virology"
"2","Heilig hart Lier"
"3","Imeda Hospital"
"4","Imelda Hospital"
"5","Somedi"
"6","Plateforme de testing Namuroise"
"7","CUB Hopital Erasme Laboratoire d'Anatomie Pathologique"
"8","AZ Sint Maarten"
"9","University Hospital Basel, Clinical Virology"
"10","Jessa"
"11","Platform BIS UZA/UAntwerpen, University Hospital Antwerp, Edegem, Belgium"
"12","KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"13","AZDelta"
"14","AZ Delta Medical Laboratories in Roeselare, Belgium"
"15","AZ Delta"
"16","AZ Klina"
"17","OLVZ Aalst"
"18","AZ Sint Blasius"
"19","KU Leuven, Clincal and Epidemiological Virology"
"20","AZ Jan Portaels"
"21","Imelda hospital"
"22","Imelda hospital Bonheiden"
"23","Heilig Hart Hospital"
"24","Heilig Hart Hospital Lier"
"25","AZ Sint-Maarten"
"26","Labo Somedi"
"27","Somedi laboratories"
"28","Imelda Ziekenhuis"
"29","Plateforme Clinique de testing Namuroise"
"30","Plateforme de testing namuroise"
"31","Laboratoire de biologie moléculaire - Plateforme Clinique"
"32","Saint-Luc Bouge"
"33","Laboratoire Vivalia - Cliniques St-Joseph"
"34","Laboratoire Vivalia -Cliniques St-Joseph"
"35","Arlon"
"36","arlon"
"37","Marche en Famenne"
"38","Libramont"
"39","Centre Hospitalier de Wallonie picarde (CHwapi)"
"40","CHWAPI - SITE NOTRE DAME"
"41","Cabinet Priv<U+00E9>"
"42","Centre Hospitalier de Wallonie Picarde (CHWaPi)"
"43","CLINIQUE N-D DE GRACE"
"44","GHDC - SITE ST JOSEPH"
"45","Cabinet Privé"
"46","Institut de Pathologie et Genetique (IPG)"
"47","Antwerp University Hospital"
"48","Hospital AZ Rivierenland"
"49","Queen Astrid Military Hospital"
"50","Institute information KU Leuven, Clinical and Epidemiological Virology"
"51","STZ"
"52","AZT"
"53","SFZ"
"54","AZV"
"55","jessa"
"56","LKO"
"57","Trudo"
"58","LKOLMC"
"59","LHUB-ULB"
"60","Cliniques universitaires Saint-Luc"
"61","CUSL/UCLouvain COVID testing federal platform"
"62","Cliniques Saint-Pierre Ottignies"
"63","SCIENSANO National Influenza Centre"
"64","AZ St.Jan Brugge-Oostende"
"65","AZ St.Jan Brugge"
"66","AZ Zeno"
"67","AZ St.Jan, campus Oostende"
"68","AZ St.Jan"
"69","AZ St.jan Brugge"
"70","AZ Sint-Jan Brugge-Oostende AV"
"71","AZ Sint-Jan"
"72","Lab voor klinische biologie"
"73","HCRC"
"74","Department of Clinical Microbiology"
"75","University of Liège COVID-19 testing center"
"76","CHR Namur"
"77","CHC Liège"
"78","Chu Tivoli"
"79","AZ Vesale (Tongres)"
"80","CHR Citadelle"
"81","CHC"
"82","Synlab"
"83","St. Nikolaus-Hospital Eupen"
"84","Labo Luc Olivier"
"85","CHR de la Citadelle"
"86","Vivalia - Clinique Saint-Joseph"
"87","Clinique N.D de Grâce Gosselies"
"88","Plateforme BIS Namur"
"89","SYNLAB - Laboratoire J. Collard"
"90","Clinique St Joseph Saint Vith"
"91","CHR de La Citadelle"
"92","C.H.C MontLégia"
"93","Hopital Sainte Therese Bastogne"
"94","I.F.A.C. Hopital Princesse Paola"
"95","C.H.Bois de l'Abbaye"
"96","Cliniques Sud-Luxembourg"
"97","Centre Hospitalier de l'Ardenne"
"98","SYNLAB"
"99","Cliniques Cud-Luxembourg"
"100","C.H Peltzer - la Tourelle"
"101","CHR de Namur"
"102","Labo Medicom"
"103","Clinique André Renard Herstal"
"104","CHR Verviers"
"105","National Platform bis UMONS/Jolimont"
"106","National Plateform bis UMONS/Jolimont"
"107","Landstuhl Regional Medical Center"
"108","Platform BIS UZA/UAntwerpen"
"109","The Institute of Tropical Medicine in Antwerp, Belgium"
"110","GZA Sint-Augustinus"
"111","Laboratoire Hospitalier Universitaire de Bruxelles (LHUB-ULB)"
"112","Centrum voor Medische Analyse"
"113","Univeritair Ziekenhuis Antwerpen (UZA)"
"114","Algemeen Medisch Laboratorium (AML)"
"115","Heilig Hart Mol"
"116","GZA Sint-Augustinus Hospital"
"117","ZNA Middelheim"
"118","GZA Hospital Sint-Augustinus"
"119","UZA/UAntwerpen (BIS lab), University Hospital Antwerp, Edegem, Belgium"
"120","Brussels Academic Hospital Lab (LHUB-ULB)"
"121","Algemeen Medisch Labo"
"122","Heilig Hart Lier"
"123","AZ Rivierenland, Campus Rumst"
"124","Labo Klinische Biologie, UZA"
"125","Instituut Tropische Geneeskunde"
"126","Algemeen Medisch Laboratorium"
"127","Universitair Ziekemhuis Antwerpen (UZA)"
"128","ALGEMEEN MEDISCH LABO"
"129","Platform BIS UZA/UAntwerpen (PLBIS)"
"130","ST. JOZEFKLINIEK-Campus Willebroek"
"131","University Hospital Antwerp (UZA), Drie Eikenstraat 655, 2650 Edegem, Belgium"
"132","#VALUE!"
"133","'[Run20210508template bulk upload 20210508.xlsx]intermediaire'!R97"
"134","University Hospital Laboratory of Brussels Universitair Laboratorium van Brussel (LHUB-ULB)"
"135","Klinisch Laboratorium ZNA"
"136","Klinisch Laboratorium GZA"
"137","UZ Leuven, National Reference Laboratory for Coronaviruses, Laboratory Medicine, Leuven, Belgium"
"138","Algemeen Klinisch Labo Lier"
"139","Dutch COVID-19 response team"
