"","x"
"1",NA
"2","Vlaams-Brabant.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"3","Antwerpen.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"4","Brussels Hoofdstedelijk Gewest.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"5","Limburg.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"6","Waals-Brabant.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"7","Henegouwen.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"8","Oost-Vlaanderen.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"9","Luik.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"10","Namen.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"11","Antwerpen.Imelda Hospital"
"12","Waals-Brabant.GIGA Medical Genomics"
"13","Antwerpen.AZ Klina"
"14","Henegouwen.GIGA Medical Genomics"
"15","Luik.GIGA Medical Genomics"
"16","Luxemburg.GIGA Medical Genomics"
"17","Namen.GIGA Medical Genomics"
"18","Vlaams-Brabant.GIGA Medical Genomics"
"19","Brussels Hoofdstedelijk Gewest.GIGA Medical Genomics"
"20","Antwerpen.UAntwerp, Laboratory of Medical Microbiology"
"21","Limburg.UAntwerp, Laboratory of Medical Microbiology"
"22","West-Vlaanderen.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"23","Henegouwen.Institut de Pathologie et Génétique (IPG)"
"24","Luxemburg.KU Leuven, Rega Institute, Clinical and Epidemiological Virology"
"25","Antwerpen.UAntwerp, Laboratory of Medical Microbiology, Campus Drie Eiken S6.26, Universiteitsplein 1, 2610, Wilrijk, Antwerp, Belgium"
"26","Vlaams-Brabant.UAntwerp, Laboratory of Medical Microbiology, Campus Drie Eiken S6.26, Universiteitsplein 1, 2610, Wilrijk, Belgium"
"27","Brussels Hoofdstedelijk Gewest.UAntwerp, Laboratory of Medical Microbiology, Campus Drie Eiken S6.26, Universiteitsplein 1, 2610, Wilrijk, Belgium"
"28","Antwerpen.UAntwerp, Laboratory of Medical Microbiology, Campus Drie Eiken S6.26, Universiteitsplein 1, 2610, Wilrijk, Belgium"
"29","Brussels Hoofdstedelijk Gewest.UAntwerp, Laboratory of Medical Microbiology"
"30","Brussels Hoofdstedelijk Gewest.UCLouvain/IREC/MBLG"
"31","Namen.UCLouvain/IREC/MBLG"
"32","Vlaams-Brabant.UCLouvain/IREC/MBLG"
"33","Oost-Vlaanderen.UCLouvain/IREC/MBLG"
"34","Waals-Brabant.UCLouvain/IREC/MBLG"
"35","Henegouwen.UCLouvain/IREC/MBLG"
"36","Vlaams-Brabant.UAntwerp, Laboratory of Medical Microbiology"
"37","Henegouwen.UAntwerp, Laboratory of Medical Microbiology"
"38","West-Vlaanderen.AZDelta"
"39","Henegouwen.AZDelta"
"40","Antwerpen.GIGA Medical Genomics"
"41","Limburg.GIGA Medical Genomics"
"42","Oost-Vlaanderen.GIGA Medical Genomics"
"43","Oost-Vlaanderen.AZDelta"
"44","Namen.UAntwerp, Laboratory of Medical Microbiology"
"45","West-Vlaanderen.GIGA Medical Genomics"
"46","Oost-Vlaanderen.UAntwerp, Laboratory of Medical Microbiology"
"47","West-Vlaanderen.UAntwerp, Laboratory of Medical Microbiology"
"48","Limburg.AZDelta"
"49","West-Vlaanderen.Lab voor klinische biologie"
"50","Oost-Vlaanderen.Lab voor klinische biologie"
"51","Namen.Plateforme de testing Namuroise"
"52","Brussels Hoofdstedelijk Gewest.Plateforme de testing Namuroise"
"53","Luik.Plateforme de testing Namuroise"
"54","Henegouwen.National Plateform bis UMONS/Jolimont"
"55","Henegouwen.National Platform bis UMONS/Jolimont"
"56","West-Vlaanderen.AZ SINT-JAN BRUGGE"
"57","Oost-Vlaanderen.AZ SINT-JAN BRUGGE"
"58","Luxemburg.Plateforme de testing Namuroise"
"59","Henegouwen.Plateforme de testing Namuroise"
"60","Vlaams-Brabant.Institut de Pathologie et Genetique (IPG)"
"61","Henegouwen.Institut de Pathologie et Genetique (IPG)"
"62","Vlaams-Brabant.Imelda Hospital"
"63","Oost-Vlaanderen.Imelda Hospital"
"64","Brussels Hoofdstedelijk Gewest.Labo Klinische Biologie, UZA"
"65","Vlaams-Brabant.Labo Klinische Biologie, UZA"
"66","Henegouwen.Labo Klinische Biologie, UZA"
"67","Waals-Brabant.Labo Klinische Biologie, UZA"
"68","Antwerpen.Labo Klinische Biologie, UZA"
"69","Henegouwen.Lab voor klinische biologie"
"70","Antwerpen.Lab voor klinische biologie"
"71","Vlaams-Brabant.Lab voor klinische biologie"
"72","Waals-Brabant.Plateforme de testing Namuroise"
"73","Oost-Vlaanderen.Labo Klinische Biologie, UZA"
"74","Luik.Labo Klinische Biologie, UZA"
"75","Antwerpen.Klinisch Laboratorium ZNA"
"76","Luik.UAntwerp, Laboratory of Medical Microbiology"
"77","West-Vlaanderen.Institut de Pathologie et Genetique (IPG)"
"78","Waals-Brabant.UAntwerp, Laboratory of Medical Microbiology"
"79","Oost-Vlaanderen.OLVZ Aalst"
"80","Antwerpen.Imelda hospital Bonheiden"
"81","Brussels Hoofdstedelijk Gewest.Lab voor klinische biologie"
"82","Antwerpen.Imeda Hospital"
"83","Vlaams-Brabant.Imeda Hospital"
"84","Luxemburg.UAntwerp, Laboratory of Medical Microbiology"
"85","Oost-Vlaanderen.Institut de Pathologie et Genetique (IPG)"
"86","Vlaams-Brabant.OLVZ Aalst"
"87","Namen.Institut de Pathologie et Genetique (IPG)"
"88","Vlaams-Brabant.Imelda hospital Bonheiden"
"89","Waals-Brabant.Lab voor klinische biologie"
"90","Limburg.Labo Klinische Biologie, UZA"
"91","Limburg.AZ Klina"
"92","Henegouwen.Klinisch Laboratorium ZNA"
"93","Antwerpen.AZ KLina"
"94","Namen.Plateforme Clinique de testing Namuroise"
"95","Henegouwen.Plateforme Clinique de testing Namuroise"
"96","West-Vlaanderen.Plateforme de testing Namuroise"
"97","Antwerpen.UAntwerp, Laboratory of Medical Microbiology,"
"98","Namen.AZDelta"
"99","Antwerpen.UZA, Clinical Biology"
"100","Limburg.UZA, Clinical Biology"
"101","Brussels Hoofdstedelijk Gewest.UZA, Clinical Biology"
"102","Henegouwen.UZA, Clinical Biology"
"103","Brussels Hoofdstedelijk Gewest.AZDelta"
"104","Luxemburg.Plateforme Clinique de testing Namuroise"
"105","Waals-Brabant.Institut de Pathologie et Genetique (IPG)"
"106","Namen.Labo Klinische Biologie, UZA"
"107","Brussels Hoofdstedelijk Gewest.OLVZ Aalst"
"108","Luik.UCLouvain/IREC/MBLG"
"109","Vlaams-Brabant.Plateforme de testing Namuroise"
"110","Henegouwen.Plateforme de testing namuroise"
"111","West-Vlaanderen.AZ Delta Medical Laboratories in Roeselare, Belgium"
"112","Oost-Vlaanderen.AZ Delta Medical Laboratories in Roeselare, Belgium"
"113","Oost-Vlaanderen.Klinisch Laboratorium ZNA"
"114","Brussels Hoofdstedelijk Gewest.Institut de Pathologie et Genetique (IPG)"
"115","Limburg.Jessa"
"116","Luik.Jessa"
