iso3c,country,country_rworldmap,country_GISAID,continent,longitude,latitude
ABW,Aruba,Aruba,Aruba,South America,-69.98267466,12.52088881
AFG,Afghanistan,Afghanistan,Afghanistan,Asia,66.00473115,33.83523216
AGO,Angola,Angola,Angola,Africa,17.53736149,-12.29336112
AIA,Anguilla,Anguilla,Anguilla,North America,-63.06498464,18.22396692
ALB,Albania,Albania,Albania,Europe,20.04983034,41.14245128
ALA,Åland Islands,Aland,NA,Europe,19.95324636,60.21490035
AND,Andorra,Andorra,Andorra,Europe,1.56053368,42.54229174
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,Asia,54.30015737,23.90527175
ARG,Argentina,Argentina,Argentina,South America,-65.17980881,-35.38135347
ARM,Armenia,Armenia,Armenia,Asia,44.9299343,40.28952206
ASM,American Samoa,American Samoa,American Samoa,Oceania,-170.7180186,-14.30448922
ATA,Antarctica,Antarctica,NA,Antarctica,19.92113271,-80.50856414
ATF,French Southern Territories,French Southern and Antarctic Lands,NA,Antarctica,69.22673416,-49.24895992
ATG,Antigua & Barbuda,Antigua and Barbuda,Antigua and Barbuda,North America,-61.7946956,17.27754256
AUS,Australia,Australia,Australia,Oceania,134.4909988,-25.73288736
AUT,Austria,Austria,Austria,Europe,14.12647809,47.58549847
AZE,Azerbaijan,Azerbaijan,Azerbaijan,Europe,47.54599646,40.28827674
BDI,Burundi,Burundi,Burundi,Africa,29.8751201,-3.35939257
BEL,Belgium,Belgium,Belgium,Europe,4.64064572,50.63981435
BEN,Benin,Benin,Benin,Africa,2.32784527,9.6417533
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Africa,-1.7545684,12.26953681
BGD,Bangladesh,Bangladesh,Bangladesh,Asia,90.23812793,23.86730412
BGR,Bulgaria,Bulgaria,Bulgaria,Europe,25.21552327,42.76889988
BHR,Bahrain,Bahrain,Bahrain,Asia,50.54197759,26.04200845
BHS,Bahamas,The Bahamas,The Bahamas,North America,-76.62835738,24.29031222
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,17.76876588,44.17449912
BLM,St. Barthélemy,Saint Barthelemy,Saint Barthelemy,North America,-62.84068712,17.89881045
BLR,Belarus,Belarus,Belarus,Europe,28.03208711,53.53131155
BLZ,Belize,Belize,Belize,North America,-88.71010228,17.20027475
BMU,Bermuda,Bermuda,Bermuda,North America,-64.75454185,32.31368594
BOL,Bolivia,Bolivia,Bolivia,South America,-64.6853892,-16.70814536
BRA,Brazil,Brazil,Brazil,South America,-53.09783199,-10.78777567
BRB,Barbados,Barbados,Barbados,North America,-59.55980198,13.18145371
BRN,Brunei,Brunei,Brunei,Asia,114.7220255,4.51968241
BTN,Bhutan,Bhutan,NA,Asia,90.401895,27.4110619
BWA,Botswana,Botswana,Botswana,Africa,23.7985373,-22.18402031
CAF,Central African Republic,Central African Republic,Central African Republic,Africa,20.46826364,6.56823003
CAN,Canada,Canada,Canada,North America,-98.30775723,61.36206827
CHE,Switzerland,Switzerland,Switzerland,Europe,8.20866006,46.79785296
CHL,Chile,Chile,Chile,South America,-71.38255879,-37.73069754
CHN,China,China,China,Asia,103.8190739,36.56176801
CIV,Côte d’Ivoire,Ivory Coast,Cote d'Ivoire,Africa,-5.56921598,7.62842868
CMR,Cameroon,Cameroon,Cameroon,Africa,12.73964266,5.69110296
COD,Congo - Kinshasa,Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,23.64395637,-2.87746013
COG,Congo - Brazzaville,Republic of the Congo,Republic of the Congo,Africa,15.21965722,-0.83788172
COK,Cook Islands,Cook Islands,NA,Oceania,-159.7872415,-21.21926813
COL,Colombia,Colombia,Colombia,South America,-73.08114936,3.91383156
