"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Omicron (BA.5)","Asia",-0.224051335915575,0.00636045679154947,NA,-0.236517602152235,-0.211585069678915,0
"Alpha - Omicron (BA.5)","Asia",-0.306666027841351,0.00272745094682353,NA,-0.312011733466725,-0.301320322215977,0
"Other - Omicron (BA.5)","Asia",-0.0943651291885919,0.00237336591390266,NA,-0.0990168409019761,-0.0897134174752077,0
"Delta - Omicron (BA.5)","Asia",-0.174333106263991,0.00240932335004941,NA,-0.179055293257199,-0.169610919270783,0
"Omicron (BA.1) - Omicron (BA.5)","Asia",-0.15563910002395,0.00238685584965329,NA,-0.160317251525559,-0.150960948522341,0
"Omicron (BA.2) - Omicron (BA.5)","Asia",-0.0885921244749621,0.00234434001347808,NA,-0.0931869464688953,-0.0839973024810289,0
"Omicron (BA.3) - Omicron (BA.5)","Asia",-0.0680411396850176,0.00282088045352155,NA,-0.0735699637786128,-0.0625123155914223,0
"Omicron (BA.4) - Omicron (BA.5)","Asia",-0.0510951615156534,0.00506813442342102,NA,-0.0610285224543663,-0.0411618005769405,3.45279360658424e-14
"Omicron (BA.2.74) - Omicron (BA.5)","Asia",-0.048231869591491,0.0043856629146714,NA,-0.0568276109525799,-0.0396361282304021,1.75415237890775e-14
"Omicron (BA.2.76) - Omicron (BA.5)","Asia",-0.0241944855170697,0.00358738571690018,NA,-0.0312256323208475,-0.017163338713292,3.87143617164298e-09
"Omicron (BA.2.75) - Omicron (BA.5)","Asia",0.0609547026639184,0.00789099649091592,NA,0.0454886337395913,0.0764207715882456,1.97338811958048e-11
"Beta - Omicron (BA.5)","North America",-0.22389020135163,0.00705152098318131,NA,-0.237710928514893,-0.210069474188366,0
"Alpha - Omicron (BA.5)","North America",-0.202959207699594,0.00098103495611958,NA,-0.204882000881164,-0.201036414518025,0
"Other - Omicron (BA.5)","North America",-0.03505170766016,0.000549946201219086,NA,-0.036129582407984,-0.0339738329123359,0
"Delta - Omicron (BA.5)","North America",-0.138232043304247,0.000681084587814222,NA,-0.139566944566788,-0.136897142041706,0
