"contrast","DATE_NUM","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Omicron (BA.5)",19189,-0.309218286754854,0.0474490904486906,NA,-0.402216795133471,-0.216219778376237,6.33941723560127e-08
"Alpha - Omicron (BA.5)",19189,-0.355417341536296,0.015102356209573,NA,-0.385017415788754,-0.325817267283838,0
"Alpha - Beta",19189,-0.0461990547814426,0.0493155682187327,NA,-0.142855792367287,0.0504576828044016,0.998618011901214
"Other - Omicron (BA.5)",19189,-0.039053524208126,0.0031967674932969,NA,-0.0453190733619363,-0.0327879750543157,0
"Other - Beta",19189,0.270164762546728,0.0473430269015018,NA,0.177374134900673,0.362955390192782,3.70880805999896e-06
"Other - Alpha",19189,0.31636381732817,0.0147835174158321,NA,0.287388655628319,0.345338979028022,0
"Delta - Omicron (BA.5)",19189,-0.121426623347448,0.00336772129986759,NA,-0.128027235805157,-0.114826010889739,0
"Delta - Beta",19189,0.187791663407406,0.0473939125188474,NA,0.0949013017840227,0.280682025030789,0.00616345230077797
"Delta - Alpha",19189,0.233990718188848,0.0149379286296941,NA,0.204712916071018,0.263268520306678,0
"Delta - Other",19189,-0.082373099139322,0.000886432398494251,NA,-0.0841104747151002,-0.0806357235635438,0
"Omicron (BA.1) - Omicron (BA.5)",19189,-0.167611130251372,0.00670884892294196,NA,-0.180760232518059,-0.154462027984686,0
"Omicron (BA.1) - Beta",19189,0.141607156503481,0.0476647522482467,NA,0.0481859587648933,0.235028354242069,0.127553148917879
"Omicron (BA.1) - Alpha",19189,0.187806211284924,0.0157959172361811,NA,0.156846782399233,0.218765640170615,0
"Omicron (BA.1) - Other",19189,-0.128557606043246,0.00572500351824367,NA,-0.139778406750369,-0.117336805336124,0
"Omicron (BA.1) - Delta",19189,-0.0461845069039243,0.00586931559470839,NA,-0.0576881540834521,-0.0346808597243966,3.89721588334169e-11
"Omicron (BA.2) - Omicron (BA.5)",19189,-0.0851872135989617,0.00301978163338921,NA,-0.0911058768415801,-0.0792685503563434,0
"Omicron (BA.2) - Beta",19189,0.224031073155892,0.0473527432557911,NA,0.13122140180537,0.316840744506415,0.000306425741981586
"Omicron (BA.2) - Alpha",19189,0.270230127937335,0.0148145480174846,NA,0.241194147375825,0.299266108498844,0
"Omicron (BA.2) - Other",19189,-0.0461336893908357,0.00134888448227576,NA,-0.0487774543954012,-0.0434899243862703,0
"Omicron (BA.2) - Delta",19189,0.0362394097484863,0.00172763053380299,NA,0.0328533161236407,0.0396255033733319,0
"Omicron (BA.2) - Omicron (BA.1)",19189,0.0824239166524106,0.00614015363411883,NA,0.070389436669995,0.0944583966348262,0
