"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Omicron (BA.5)","Asia",-0.224051335915575,0.00636045679154947,NA,-0.236517602152235,-0.211585069678915,0
"Alpha - Omicron (BA.5)","Asia",-0.306666027841351,0.00272745094682353,NA,-0.312011733466725,-0.301320322215977,0
"Alpha - Beta","Asia",-0.0826146919257759,0.00691559445237442,NA,-0.0961690079841147,-0.069060375867437,5.55111512312578e-15
"Other - Omicron (BA.5)","Asia",-0.0943651291885919,0.00237336591390266,NA,-0.0990168409019761,-0.0897134174752077,0
"Other - Beta","Asia",0.129686206726983,0.00676585669611577,NA,0.116425371278037,0.142947042175929,0
"Other - Alpha","Asia",0.212300898652759,0.00135660980181618,NA,0.209641992300126,0.214959805005393,0
"Delta - Omicron (BA.5)","Asia",-0.174333106263991,0.00240932335004941,NA,-0.179055293257199,-0.169610919270783,0
"Delta - Beta","Asia",0.049718229651584,0.00678246519418512,NA,0.0364248421445847,0.0630116171585833,1.02303787663516e-09
"Delta - Alpha","Asia",0.13233292157736,0.00143770817477329,NA,0.129515065334525,0.135150777820194,0
"Delta - Other","Asia",-0.0799679770753994,0.000384336790039767,NA,-0.0807212633418111,-0.0792146908089877,0
"Omicron (BA.1) - Omicron (BA.5)","Asia",-0.15563910002395,0.00238685584965329,NA,-0.160317251525559,-0.150960948522341,0
"Omicron (BA.1) - Beta","Asia",0.0684122358916253,0.00677552459729332,NA,0.0551324517045651,0.0816920200786854,9.9031893796564e-14
"Omicron (BA.1) - Alpha","Asia",0.151026927817401,0.00140834593835765,NA,0.148266620500447,0.153787235134355,0
"Omicron (BA.1) - Other","Asia",-0.0612739708353581,0.000396449146897694,NA,-0.0620509968849792,-0.060496944785737,0
"Omicron (BA.1) - Delta","Asia",0.0186940062400412,0.000570456645289687,NA,0.0175759317605319,0.0198120807195506,0
"Omicron (BA.2) - Omicron (BA.5)","Asia",-0.0885921244749621,0.00234434001347808,NA,-0.0931869464688953,-0.0839973024810289,0
"Omicron (BA.2) - Beta","Asia",0.135459211440613,0.00676212818792512,NA,0.122205683733437,0.148712739147789,0
