date,sgtf_perc,tests,sgtf,non_sgtf
2020-06-05,0.08,17.4,0,17.4
2020-06-06,0.08,24.4,0,24.4
2020-06-07,0.08,24.4,0,24.4
2020-06-08,0.08,38.3,0,38.3
2020-06-09,0.08,38.3,0,38.3
2020-06-12,0.08,52.3,0,52.2
2020-06-13,0.08,52.3,0,52.2
2020-06-14,0.08,31.4,0,31.3
2020-06-16,0.08,80.1,0.1,80.1
2020-06-17,0.08,87.1,0.1,87
2020-06-21,0.72,17.4,0.1,17.3
2020-06-22,0.72,17.4,0.1,17.3
2020-06-23,0.88,17.4,0.2,17.3
2020-06-24,1.04,24.4,0.3,24.1
2020-06-25,1.04,73.2,0.8,72.4
2020-06-26,1.04,101,1.1,100
2020-06-27,0.72,108,0.8,107.2
2020-06-28,0.56,3.5,0,3.5
2020-06-29,0.4,3.5,0,3.5
2020-06-30,0.4,233.4,0.9,232.5
2020-07-01,0.24,254.4,0.6,253.7
2020-07-02,0.24,135.9,0.3,135.6
2020-07-03,0.4,212.5,0.9,211.7
2020-07-04,0.56,219.5,1.2,218.3
2020-07-05,0.56,10.5,0.1,10.4
2020-07-06,0.88,184.7,1.6,183
2020-07-07,1.04,191.6,2,189.6
2020-07-08,1.36,268.3,3.6,264.6
2020-07-09,1.52,282.2,4.3,277.9
2020-07-10,1.68,449.5,7.6,441.9
2020-07-11,1.68,505.2,8.5,496.7
2020-07-12,2,616.7,12.3,604.4
2020-07-13,2.32,484.3,11.2,473.1
2020-07-14,3.28,491.3,16.1,475.2
2020-07-15,4.4,505.2,22.2,483
2020-07-16,4.56,609.8,27.8,582
2020-07-17,5.36,693.4,37.2,656.2
2020-07-18,6.96,700.3,48.7,651.6
2020-07-19,7.12,588.9,41.9,546.9
2020-07-20,6.96,526.1,36.6,489.5
2020-07-21,6.8,554,37.7,516.3
2020-07-22,6.32,679.4,42.9,636.5
2020-07-23,4.72,777,36.7,740.3
2020-07-24,4.56,790.9,36.1,754.9
2020-07-25,4.08,784,32,752
2020-07-26,2.32,602.8,14,588.8
2020-07-27,1.84,609.8,11.2,598.5
2020-07-28,1.84,519.2,9.6,509.6
2020-07-29,1.68,665.5,11.2,654.3
2020-07-30,1.52,686.4,10.4,676
2020-07-31,1.36,790.9,10.8,780.2
2020-08-01,1.36,790.9,10.8,780.2
2020-08-02,1.36,414.6,5.6,409
2020-08-03,1.36,407.7,5.5,402.1
2020-08-04,1.36,512.2,7,505.2
2020-08-05,1.36,714.3,9.7,704.6
2020-08-06,1.2,818.8,9.8,809
2020-08-07,1.2,916.4,11,905.4
2020-08-08,1.04,923.3,9.6,913.7
2020-08-09,0.88,456.4,4,452.4
2020-08-10,0.88,470.4,4.1,466.2
2020-08-11,0.72,198.6,1.4,197.2
2020-08-12,0.56,400.7,2.2,398.5
2020-08-13,0.56,491.3,2.8,488.5
2020-08-14,0.56,491.3,2.8,488.5
2020-08-15,0.56,386.8,2.2,384.6
2020-08-16,0.56,289.2,1.6,287.6
2020-08-17,0.72,233.4,1.7,231.8
2020-08-18,0.72,254.4,1.8,252.5
2020-08-19,0.72,358.9,2.6,356.3
2020-08-20,0.88,358.9,3.2,355.7
2020-08-21,0.88,351.9,3.1,348.8
2020-08-22,0.88,351.9,3.1,348.8
2020-08-23,1.04,289.2,3,286.2
2020-08-24,1.04,275.3,2.9,272.4
2020-08-25,0.88,268.3,2.4,265.9
2020-08-26,0.88,268.3,2.4,265.9
