date,SGTF,B.1.1.529,Alpha,Beta,Delta,Other
2020-06-06,0.02,,,,,
2020-06-07,0,,,,,
2020-06-08,0,,,,,
2020-06-09,0.07,,,,,
2020-06-10,0.07,,,,,
2020-06-11,0.04,,,,,
2020-06-13,0.04,,,,,
2020-06-14,0,,,,,
2020-06-15,0.07,,,,,
2020-06-17,0.04,,,,,
2020-06-18,0.37,,,,,
2020-06-19,0.51,,,,,
2020-06-20,0.64,,,,,
2020-06-22,0.93,,,,,
2020-06-23,1.03,,,,,
2020-06-25,1.05,,,,,
2020-06-26,0.78,,,,,
2020-06-27,0.67,,,,,
2020-06-30,0.24,,,,,
2020-07-01,0.37,,,,,
2020-07-02,0.44,,,,,
2020-07-03,0.39,,,,,
2020-07-04,0.57,,,,,
2020-07-06,1.05,,,,,
2020-07-07,1.28,,,,,
2020-07-08,1.58,,,,,
2020-07-09,1.57,,,,,
2020-07-10,1.58,,,,,
2020-07-11,1.99,,,,,
2020-07-12,2.46,,,,,
2020-07-13,3.43,,,,,
2020-07-14,4.11,,,,,
2020-07-15,4.66,,,,,
2020-07-16,6.13,,,,,
2020-07-17,7,,,,,
2020-07-18,7.2,,,,,
2020-07-19,7.24,,,,,
2020-07-20,6.97,,,,,
2020-07-21,6.6,,,,,
2020-07-22,5.66,,,,,
2020-07-23,4.75,,,,,
2020-07-24,4.38,,,,,
2020-07-25,2.9,,,,,
2020-07-26,2.05,,,,,
2020-07-27,1.72,,,,,
2020-07-28,1.58,,,,,
2020-07-30,1.42,,,,,
2020-07-31,1.31,,,,,
2020-08-01,1.31,,,,,
2020-08-02,1.45,,,,,
2020-08-03,1.45,,,,,
2020-08-04,1.26,,,,,
2020-08-05,1.25,,,,,
2020-08-06,1.18,,,,,
2020-08-07,1.01,,,,,
2020-08-08,0.98,,,,,
2020-08-09,0.89,,,,,
2020-08-10,0.78,,,,,
2020-08-11,0.64,,,,,
2020-08-14,0.44,,,,,
2020-08-16,0.51,,,,,
2020-08-17,0.78,,,,,
2020-08-18,0.67,,,,,
2020-08-19,0.78,,,,,
2020-08-20,0.78,,,,,
2020-08-22,0.91,,,,,
2020-08-23,0.91,,,,,
2020-08-24,1.05,,,,,
2020-08-25,0.78,,,,,
2020-08-26,0.73,,,,,
2020-08-27,0.71,,,,,
2020-08-28,0.73,,,,,
2020-08-29,0.78,,,,,
2020-08-30,0.84,,,,,
2020-08-31,0.78,,,,,
2020-09-01,0.78,,,,,
2020-09-02,0.88,,,,,
2020-09-03,0.91,,,,,
2020-09-04,0.73,,,,,
2020-09-05,0.56,,,,,
2020-09-06,0.64,,,,,
2020-09-07,0.29,,,,,
2020-09-08,0.27,,,,,
2020-09-09,0.3,,,,,
2020-09-10,0.17,,,,,
2020-09-14,0.41,,,,,
2020-09-15,0.37,,,,,
2020-09-17,0.69,,,,,
2020-09-18,0.91,,,,,
2020-09-19,0.98,,,,,
2020-09-20,1.18,,,,,
2020-09-21,1.21,,,,,
2020-09-22,1.28,,,,,
2020-09-23,1.58,,,,,
2020-09-24,1.45,,,,,
2020-09-25,1.58,,,,,
2020-09-26,1.85,,,,,
2020-09-27,1.7,,,,,
2020-09-29,1.99,,,,,
2020-09-30,1.92,,,,,
2020-10-01,1.99,,,,,
2020-10-02,1.75,,,,,
2020-10-03,1.72,,,,,
2020-10-04,1.62,,,,,
2020-10-05,1.58,,,,,
2020-10-06,1.42,,,,,
2020-10-08,1.3,,,,,
2020-10-09,1.33,,,,,
2020-10-10,1.21,,,,,
2020-10-11,1.25,,,,,
2020-10-12,1.45,,,,,
2020-10-13,1.31,,,,,
2020-10-15,1.31,,,,,
2020-10-16,1.3,,,,,
2020-10-17,1.42,,,,,
2020-10-18,1.58,,,,,
2020-10-19,1.58,,,,,
2020-10-20,1.48,,,,,
2020-10-21,1.05,,,,,
2020-10-22,1.18,,,,,
2020-10-23,1.31,,,,,
2020-10-24,1.58,,,,,
2020-10-25,1.85,,,,,
2020-10-26,2.16,,,,,
2020-10-27,2.49,,,,,
2020-10-28,2.76,,,,,
2020-10-29,3.2,,,,,
2020-10-30,3.06,,,,,
2020-10-31,3.2,,,,,
2020-11-01,3.1,,,,,
2020-11-02,2.41,,,,,
2020-11-03,2.39,,,,,
2020-11-04,2.26,,,,,
2020-11-05,1.72,,,,,
2020-11-06,1.8,,,,,
2020-11-07,2.26,,,,,
2020-11-08,2.53,,,,,
2020-11-09,3.23,,,,,
2020-11-10,3.5,,,,,
2020-11-11,3.37,,,,,
2020-11-12,3.54,,,,,
2020-11-13,3.6,,,,,
2020-11-14,4.44,,,,,
2020-11-15,4.23,,,,,
2020-11-16,4.53,,,,,
2020-11-17,4.48,,,,,
2020-11-18,4.38,,,,,
2020-11-19,4.58,,,,,
2020-11-20,4.38,,,,,
2020-11-21,5.02,,,,,
2020-11-22,4.38,,,,,
2020-11-23,3.7,,,,,
2020-11-24,3.65,,,,,
2020-11-25,3.55,,,,,
2020-11-26,3.43,,,,,
2020-11-27,3.05,,,,,
2020-11-28,2.76,,,,,
2020-11-29,1.94,,,,,
2020-11-30,1.85,,,,,
2020-12-01,1.35,,,,,
2020-12-02,1.33,,,,,
2020-12-04,1.05,,,,,
2020-12-06,0.91,,,,,
2020-12-07,1.11,,,,,
2020-12-08,1.16,,,,,
2020-12-09,1.25,,,,,
2020-12-10,1.3,,,,,
2020-12-11,1.45,,,,,
2020-12-12,1.31,,,,,
2020-12-13,1.38,,,,,
2020-12-14,1.38,,,,,
2020-12-15,1.45,,,,,
2020-12-16,1.13,,,,,
2020-12-17,1.05,,,,,
2020-12-18,0.98,,,,,
2020-12-19,0.88,,,,,
2020-12-20,0.74,,,,,
2020-12-22,0.57,,,,,
2020-12-23,0.57,,,,,
2020-12-24,0.64,,,,,
2020-12-27,0.64,,,,,
2020-12-28,0.71,,,,,
2020-12-29,0.74,,,,,
2020-12-30,0.78,,,,,
2020-12-31,0.71,,,,,
2021-01-01,0.61,,,,,
2021-01-02,0.51,,,,,
2021-01-06,0.42,,,,,
2021-01-08,0.51,,,,,
2021-01-09,0.44,,,,,
2021-01-10,0.39,,,,,
2021-01-12,0.51,,,,,
2021-01-13,0.51,,,,,
2021-01-14,0.61,,,,,
2021-01-15,0.64,,,,,
2021-01-16,0.64,,,,,
2021-01-17,0.64,,,,,
2021-01-18,0.57,,,,,
2021-01-19,0.57,,,,,
2021-01-20,0.54,,,,,
2021-01-21,0.52,,,,,
2021-01-22,0.51,,,,,
2021-01-23,0.56,,,,,
2021-01-24,0.56,,,,,
2021-01-25,0.52,,,,,
2021-01-26,0.51,,,,,
2021-01-27,0.44,,,,,
2021-01-29,0.41,,,,,
2021-01-31,0.57,,,,,
2021-02-02,0.64,,,,,
2021-02-03,0.64,,,,,
2021-02-04,0.84,,,,,
2021-02-05,0.74,,,,,
2021-02-06,0.64,,,,,
2021-02-08,0.57,,,,,
2021-02-09,0.64,,,,,
2021-02-10,0.84,,,,,
2021-02-11,0.91,,,,,
2021-02-12,0.91,,,,,
2021-02-13,0.88,,,,,
2021-02-14,0.78,,,,,
2021-02-15,0.67,,,,,
2021-02-16,0.69,,,,,
2021-02-17,0.51,,,,,
2021-02-18,0.69,,,,,
2021-02-19,0.71,,,,,
2021-02-20,0.88,,,,,
2021-02-21,0.91,,,,,
2021-02-23,1.01,,,,,
2021-02-24,0.98,,,,,
2021-02-25,0.78,,,,,
2021-02-26,0.57,,,,,
2021-02-27,0.61,,,,,
2021-02-28,0.64,,,,,
2021-03-01,0.51,,,,,
2021-03-05,0.42,,,,,
2021-03-06,0.64,,,,,
2021-03-10,0.81,,,,,
2021-03-11,0.94,,,,,
2021-03-12,1.05,,,,,
2021-03-13,1.13,,,,,
2021-03-14,1.18,,,,,
2021-03-15,0.84,,,,,
2021-03-18,0.78,,,,,
2021-03-19,0.91,,,,,
2021-03-20,0.67,,,,,
2021-03-21,0.67,,,,,
2021-03-22,1.08,,,,,
2021-03-23,1.57,,,,,
2021-03-24,1.85,,,,,
2021-03-25,1.99,,,,,
2021-03-26,1.99,,,,,
2021-03-27,2.39,,,,,
2021-03-28,2.22,,,,,
2021-03-29,2.39,,,,,
2021-03-30,1.92,,,,,
2021-03-31,1.2,,,,,
2021-04-01,0.98,,,,,
2021-04-02,1.05,,,,,
2021-04-03,1.05,,,,,
2021-04-04,1.01,,,,,
2021-04-05,1.05,,,,,
2021-04-06,1.31,,,,,
2021-04-07,1.25,,,,,
2021-04-08,1.62,,,,,
2021-04-09,1.72,,,,,
2021-04-10,1.72,,,,,
2021-04-11,1.48,,,,,
2021-04-12,1.33,,,,,
2021-04-13,1.18,,,,,
2021-04-14,1.31,,,,,
2021-04-15,1.18,,,,,
2021-04-16,1.45,,,,,
2021-04-17,1.85,,,,,
2021-04-18,2.22,,,,,
