"LINEAGE_AT1PERCENT","DATE_NUM_AT1PERCENT","DATE_AT1PERCENT","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta",18469,2020-07-26,"Other - Beta",-0.0528987257985074,0.00103405073768579,NA,-0.0549254280025586,-0.0508720235944562,2.23267515586656e-10
"Beta",18469,2020-07-26,"Other - Alpha",-0.141630629201295,0.012070667785405,NA,-0.165288703330036,-0.117972555072553,2.23289275957939e-10
"Beta",18469,2020-07-26,"Other - Delta",-0.221373170981477,0.00636448975382251,NA,-0.233847341678943,-0.20889900028401,2.23267515586656e-10
"Beta",18469,2020-07-26,"Other - Omicron (BA.1)",-2.07120184454882,0.0640739832064211,NA,-2.19678454397943,-1.94561914511821,2.23267515586656e-10
"Beta",18469,2020-07-26,"Other - Omicron (BA.2)",-2.36105069513563,0.0865424287532992,NA,-2.53067073862672,-2.19143065164454,2.23267515586656e-10
"Beta",18469,2020-07-26,"Other - Omicron (BA.3)",-1.37621267568941,0.0237211704432548,NA,-1.42270531542932,-1.32972003594949,2.23267515586656e-10
"Beta",18469,2020-07-26,"Other - Omicron (BA.1.1, with S:R346K)",-2.512639066756,0.137456910312052,NA,-2.78204966039377,-2.24322847311822,2.23267515586656e-10
"Beta",18469,2020-07-26,"Other - Omicron (BA.4)",-0.335628063925853,0.00595229439913457,NA,-0.347294346573536,-0.32396178127817,2.23267515586656e-10
"Beta",18469,2020-07-26,"Other - Omicron (BA.5)",-0.0176362336823423,0.00284102995463225,NA,-0.023204550072421,-0.0120679172922637,5.58614535517421e-07
"Beta",18469,2020-07-26,"Beta - Alpha",-0.0887319034027872,0.0120843156692572,NA,-0.112416726892344,-0.0650470799132301,2.89114543416957e-09
"Beta",18469,2020-07-26,"Beta - Delta",-0.168474445182969,0.00669226334467627,NA,-0.181591040313592,-0.155357850052346,2.23267515586656e-10
"Beta",18469,2020-07-26,"Beta - Omicron (BA.1)",-2.01830311875032,0.0640502385819186,NA,-2.14383927957208,-1.89276695792856,2.23267515586656e-10
