"longitude","latitude","country"
-69.98267466,12.52088881,"Aruba"
66.00473115,33.83523216,"Afghanistan"
17.53736149,-12.29336112,"Angola"
-63.06498464,18.22396692,"Anguilla"
20.04983034,41.14245128,"Albania"
19.95324636,60.21490035,"Aland"
1.56053368,42.54229174,"Andorra"
54.30015737,23.90527175,"United Arab Emirates"
-65.17980881,-35.38135347,"Argentina"
44.9299343,40.28952206,"Armenia"
-170.7180186,-14.30448922,"American Samoa"
19.92113271,-80.50856414,"Antarctica"
123.58383039,-12.42994255,"Ashmore and Cartier Islands"
69.22673416,-49.24895992,"French Southern and Antarctic Lands"
-61.7946956,17.27754256,"Antigua and Barbuda"
134.49099877,-25.73288736,"Australia"
14.12647809,47.58549847,"Austria"
47.54599646,40.28827674,"Azerbaijan"
29.8751201,-3.35939257,"Burundi"
4.64064572,50.63981435,"Belgium"
2.32784527,9.6417533,"Benin"
-1.7545684,12.26953681,"Burkina Faso"
90.23812793,23.86730412,"Bangladesh"
25.21552327,42.76889988,"Bulgaria"
50.54197759,26.04200845,"Bahrain"
-76.62835738,24.29031222,"The Bahamas"
17.76876588,44.17449912,"Bosnia and Herzegovina"
-62.84068712,17.89881045,"Saint Barthelemy"
28.03208711,53.53131155,"Belarus"
-88.71010228,17.20027475,"Belize"
-64.75454185,32.31368594,"Bermuda"
-64.6853892,-16.70814536,"Bolivia"
-53.09783199,-10.78777567,"Brazil"
-59.55980198,13.18145371,"Barbados"
114.72202554,4.51968241,"Brunei"
90.401895,27.4110619,"Bhutan"
23.7985373,-22.18402031,"Botswana"
20.46826364,6.56823003,"Central African Republic"
-98.30775723,61.36206827,"Canada"
8.20866006,46.79785296,"Switzerland"
-71.38255879,-37.73069754,"Chile"
103.81907385,36.56176801,"China"
-5.56921598,7.62842868,"Ivory Coast"
12.73964266,5.69110296,"Cameroon"
23.64395637,-2.87746013,"Democratic Republic of the Congo"
15.21965722,-0.83788172,"Republic of the Congo"
-159.7872415,-21.21926813,"Cook Islands"
-73.08114936,3.91383156,"Colombia"
43.68238096,-11.87777573,"Comoros"
-23.95990969,15.95518822,"Cape Verde"
-84.19208786,9.9763424,"Costa Rica"
-79.01606913,21.62290023,"Cuba"
-68.9712225,12.19552443,"Curacao"
-80.91213058,19.42896455,"Cayman Islands"
33.5684401,35.2627605,"Northern Cyprus"
33.00600358,34.91666932,"Cyprus"
15.31240065,49.73341073,"Czech Republic"
10.38577693,51.10697903,"Germany"
42.56067681,11.74872052,"Djibouti"
-61.35773122,15.43947211,"Dominica"
10.02799418,55.98126391,"Denmark"
-70.50569086,18.8943308,"Dominican Republic"
2.61732102,28.15893844,"Algeria"
-78.75203573,-1.42381949,"Ecuador"
29.8618993,26.49593108,"Egypt"
38.84615444,15.36186881,"Eritrea"
-3.64754874,40.24448626,"Spain"
25.54248555,58.67192416,"Estonia"
39.6008014,8.62278417,"Ethiopia"
26.27467024,64.49884844,"Finland"
165.45055475,-17.4285609,"Fiji"
-59.35240055,-51.7448299,"Falkland Islands"
2.53618475,46.18700581,"France"
-6.88096322,62.05386227,"Faroe Islands"
153.23706115,7.4528106,"Federated States of Micronesia"
11.78863005,-0.58660329,"Gabon"
34.34757119,31.39150353,"Gaza"
-2.86563362,54.12387156,"United Kingdom"
43.50778995,42.16855944,"Georgia"
-2.57240158,49.46809855,"Guernsey"
-1.21676901,7.95345124,"Ghana"
-10.94066379,10.43621595,"Guinea"
-15.39601809,13.44965377,"Gambia"
-14.94972941,12.04744454,"Guinea Bissau"
10.34138898,1.70554042,"Equatorial Guinea"
22.95556207,39.07466973,"Greece"
-61.68219415,12.1172555,"Grenada"
-41.34191035,74.71051369,"Greenland"
-90.36482288,15.69404158,"Guatemala"
144.76792243,13.4416655,"Guam"
-58.98202596,4.79378052,"Guyana"
114.11379862,22.39828782,"Hong Kong S.A.R."
73.52052712,-53.08725301,"Heard Island and McDonald Islands"
-86.61516846,14.82688225,"Honduras"
16.40413079,45.08047284,"Croatia"
-72.68527364,18.93500961,"Haiti"
19.39559381,47.16277712,"Hungary"
117.24009764,-2.21505018,"Indonesia"
-4.53873822,54.2241965,"Isle of Man"
79.61197355,22.88578035,"India"
104.84946519,-10.64829627,"Indian Ocean Territories"
72.44540239,-7.33058251,"British Indian Ocean Territory"
-8.13793167,53.1754426,"Ireland"
54.27407071,32.57503287,"Iran"
43.74353204,33.03970511,"Iraq"
-18.57397086,64.99575263,"Iceland"
35.00444995,31.4611019,"Israel"
12.07000946,42.79663568,"Italy"
-77.31482556,18.15695476,"Jamaica"
-2.12687655,49.21837488,"Jersey"
36.77137251,31.24579389,"Jordan"
138.03089212,37.59230065,"Japan"
77.18011287,35.39236619,"Siachen Glacier"
67.29149657,48.15687954,"Kazakhstan"
37.79594437,0.5998746,"Kenya"
74.54165548,41.46221785,"Kyrgyzstan"
104.90694312,12.72004932,"Cambodia"
-45.6220913,0.86052252,"Kiribati"
-62.68754242,17.26458594,"Saint Kitts and Nevis"
127.83916926,36.3852463,"South Korea"
20.87249613,42.57078418,"Kosovo"
47.58699362,29.33431677,"Kuwait"
103.73772128,18.50217971,"Laos"
35.88016327,33.92306993,"Lebanon"
-9.32207781,6.45278273,"Liberia"
18.00865782,27.03094247,"Libya"
-60.96969329,13.8947837,"Saint Lucia"
9.53573593,47.13665447,"Liechtenstein"
80.70107795,7.61266309,"Sri Lanka"
28.22722773,-29.5800467,"Lesotho"
23.88720035,55.32611078,"Lithuania"
6.07182681,49.76724687,"Luxembourg"
24.9123704,56.85085306,"Latvia"
113.50933102,22.22310807,"Macau S.A.R"
-63.05971623,18.08889331,"Saint Martin"
-8.45616045,29.83762793,"Morocco"
7.40628055,43.75276115,"Monaco"
28.45673742,47.19499323,"Moldova"
46.70473751,-19.37189599,"Madagascar"
73.45711081,3.72854733,"Maldives"
-102.52345042,23.94753932,"Mexico"
170.33963635,7.00352799,"Marshall Islands"
21.68211343,41.59531059,"Macedonia"
-3.54268794,17.34581461,"Mali"
14.40522042,35.92151315,"Malta"
96.48843207,21.18566514,"Myanmar"
19.2388382,42.7889115,"Montenegro"
103.05299651,46.82681435,"Mongolia"
145.61961878,15.82873009,"Northern Mariana Islands"
35.53367351,-17.27381898,"Mozambique"
-10.3477974,20.25736926,"Mauritania"
-62.18519807,16.73941361,"Montserrat"
57.57120758,-20.2777156,"Mauritius"
34.2893585,-13.2180697,"Malawi"
109.69761552,3.78987255,"Malaysia"
17.20962769,-22.13030791,"Namibia"
165.68492075,-21.29990206,"New Caledonia"
9.38546454,17.41912605,"Niger"
167.94920199,-29.05143845,"Norfolk Island"
8.08944243,9.59411807,"Nigeria"
-85.03052894,12.84709633,"Nicaragua"
-169.8699537,-19.0494623,"Niue"
5.2814735,52.10080804,"Netherlands"
15.34832968,68.75014407,"Norway"
83.9158367,28.24891362,"Nepal"
166.93258517,-0.51914199,"Nauru"
171.48495391,-41.81112825,"New Zealand"
56.09165967,20.60515412,"Oman"
69.33958027,29.94975221,"Pakistan"
-80.11915152,8.5175119,"Panama"
-128.31704094,-24.36498595,"Pitcairn Islands"
-74.38242889,-9.15280281,"Peru"
122.88392153,11.77539737,"Philippines"
134.40822154,7.28760993,"Palau"
145.20744918,-6.46416276,"Papua New Guinea"
19.39011841,52.12759537,"Poland"
-66.47307314,18.22812711,"Puerto Rico"
127.19247812,40.15350291,"North Korea"
-8.50105506,39.59550247,"Portugal"
-58.40014084,-23.22823896,"Paraguay"
-144.90488761,-14.72228068,"French Polynesia"
51.18478512,25.30600936,"Qatar"
24.97293286,45.85242939,"Romania"
96.68657347,61.98052168,"Russia"
29.91989113,-1.99033199,"Rwanda"
-12.2198297,24.22956358,"Western Sahara"
44.53687041,24.12245467,"Saudi Arabia"
29.94047226,15.99035431,"Sudan"
30.24790056,7.30877585,"South Sudan"
-14.47348904,14.36624381,"Senegal"
103.8172532,1.35877066,"Singapore"
-36.43320448,-54.46487151,"South Georgia and South Sandwich Islands"
-9.54768684,-12.40367621,"Saint Helena"
159.63284711,-8.92175696,"Solomon Islands"
-11.79271209,8.56329069,"Sierra Leone"
-88.87164456,13.73944008,"El Salvador"
12.45923029,43.94186939,"San Marino"
46.2519833,9.73345795,"Somaliland"
45.70716243,4.75065195,"Somalia"
-56.30319339,46.91919986,"Saint Pierre and Miquelon"
20.78958121,44.22150308,"Republic of Serbia"
6.72429635,0.44390851,"Sao Tome and Principe"
-55.91234833,4.13055377,"Suriname"
19.47905212,48.70547175,"Slovakia"
14.8044464,46.11555444,"Slovenia"
16.74371219,62.79232016,"Sweden"
31.48193159,-26.55842734,"Swaziland"
-63.05713283,18.05081813,"Sint Maarten"
55.47601997,-4.66097821,"Seychelles"
38.50787939,35.02547248,"Syria"
-71.97385725,21.83047424,"Turks and Caicos Islands"
18.64493211,15.33333336,"Chad"
0.96232118,8.52529798,"Togo"
101.00288352,15.11816347,"Thailand"
71.01363312,38.53045125,"Tajikistan"
59.37099935,39.11554017,"Turkmenistan"
125.84438644,-8.8288854,"East Timor"
-174.80975436,-20.42814141,"Tonga"
-61.26565805,10.45735757,"Trinidad and Tobago"
9.55288287,34.11956663,"Tunisia"
35.16895529,39.06160342,"Turkey"
120.95427264,23.75400343,"Taiwan"
34.81310214,-6.27565815,"United Republic of Tanzania"
32.36907536,1.27469024,"Uganda"
31.38325794,48.99656784,"Ukraine"
-56.01806795,-32.79951982,"Uruguay"
-112.46167057,45.67955203,"United States of America"
63.14001799,41.75554081,"Uzbekistan"
12.43386255,41.90174097,"Vatican"
-61.20129438,13.22471841,"Saint Vincent and the Grenadines"
-66.18184085,7.12422395,"Venezuela"
-64.47140241,18.52593375,"British Virgin Islands"
-64.80300497,17.95501398,"United States Virgin Islands"
106.29913857,16.64601451,"Vietnam"
167.68636735,-16.22630588,"Vanuatu"
35.24782134,31.94798033,"West Bank"
-177.34813306,-13.88724988,"Wallis and Futuna"
-172.16481475,-13.75327339,"Samoa"
47.58676005,15.90927655,"Yemen"
25.08388384,-29.0003377,"South Africa"
27.77475082,-13.45824537,"Zambia"
29.85145031,-19.00420587,"Zimbabwe"
178.51989487,-7.76005828,"Tuvalu"
-53.2484462,3.92595718,"French Guiana"
