GISAID_name,corrected_name,country_GISAID,country
Arkansa,Arkansas,USA,USA
DC,Washington,USA,USA
District of Columbia,Washington,USA,USA
Lousiana,Louisiana,USA,USA
Massachusets,Massachusetts,USA,USA
Missouri,Missouri,USA,USA
nan,NA,USA,USA
Navajo,Arizona,USA,USA
oregon,Oregon,USA,USA
Pacific,NA,USA,USA
PR,NA,USA,USA
US Virgin Islands,Virgin Islands of the United States,USA,USA
Virgin Islands,Virgin Islands of the United States,USA,USA
Virgin Islands of the U.S.,Virgin Islands of the United States,USA,USA
American Samoa,NA,USA,American Samoa
Northern Mariana Islands,NA,USA,Northern Mariana Islands
Cape Town,Western Cape,South Africa,South Africa
CAPE TOWN,Western Cape,South Africa,South Africa
EASTERN CAPE,Eastern Cape,South Africa,South Africa
FREE STATE,Free State,South Africa,South Africa
GAUTENG,Gauteng,South Africa,South Africa
Kwazulu-Natal,KwaZulu Natal,South Africa,South Africa
KwaZulu-Natal,KwaZulu Natal,South Africa,South Africa
KWAZULU-NATAL,KwaZulu Natal,South Africa,South Africa
Kwazulu Natal,KwaZulu Natal,South Africa,South Africa
KZN,KwaZulu Natal,South Africa,South Africa
LIMPOPO,Limpopo,South Africa,South Africa
MPUMALANGA,Mpumalanga,South Africa,South Africa
NORTH WEST,North West,South Africa,South Africa
NORTHERN CAPE,Northern Cape,South Africa,South Africa
Northern Cape Province,Northern Cape,South Africa,South Africa
Unknown,NA,South Africa,South Africa
Western cape,Western Cape,South Africa,South Africa
WESTERN CAPE,Western Cape,South Africa,South Africa
Western Cape Province,Western Cape,South Africa,South Africa
Andhra pradesh,Andhra Pradesh,India,India
Chhatisgarh,Chhattisgarh,India,India
Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,India,India
Gujart,Gujarat,India,India
Gujrat,Gujarat,India,India
Harayana,Haryana,India,India
Jaipur,Rajasthan,India,India
Jammu,Jammu and Kashmir,India,India
Jammu & Kashmir,Jammu and Kashmir,India,India
Jammu and Kashmir,Jammu and Kashmir,India,India
Jammu and Kashmir,Jammu and Kashmir,India,India
Maharasthra,Maharashtra,India,India
Maharshtra,Maharashtra,India,India
Nairobi,NA,India,India
New Delhi,Delhi,India,India
Pondicherry,Puducherry,India,India
Punjab,Punjab,India,India
Tamilnadu,Tamil Nadu,India,India
Newfoundland,Newfoundland and Labrador,Canada,Canada
Victoria?,Victoria,Australia,Australia
