LTLA,NHSREGION
E06000014,North East and Yorkshire
E06000043,South East
E07000177,South East
E09000023,London
E07000173,Midlands
E06000060,South East
E09000022,London
E07000225,South East
E09000028,London
E09000009,London
E07000037,Midlands
E07000216,South East
E07000240,East of England
E09000024,London
E09000033,London
E07000079,South West
E09000020,London
E09000003,London
E08000032,North East and Yorkshire
E06000041,South East
E07000093,South East
E07000072,East of England
E07000243,East of England
E09000018,London
E06000018,Midlands
E08000035,North East and Yorkshire
E08000002,North West
E07000113,South East
E09000021,London
E07000154,Midlands
E07000242,East of England
E09000002,London
E09000006,London
E09000032,London
E07000130,Midlands
E08000025,Midlands
E08000030,Midlands
E06000010,North East and Yorkshire
E08000019,North East and Yorkshire
E08000007,North West
E07000126,North West
E08000015,North West
E08000001,North West
E06000054,South West
E07000045,South West
E09000007,London
E09000026,London
E09000017,London
E07000194,Midlands
E07000219,Midlands
E07000220,Midlands
E08000016,North East and Yorkshire
E08000021,North East and Yorkshire
E08000018,North East and Yorkshire
E08000004,North West
E08000009,North West
E08000012,North West
E06000050,North West
E07000178,South East
E07000041,South West
E07000040,South West
E06000027,South West
E06000052,South West
E07000096,East of England
E06000042,East of England
E07000012,East of England
E07000068,East of England
E07000098,East of England
E09000015,London
E07000175,Midlands
E07000192,Midlands
E07000034,Midlands
E07000140,Midlands
E07000141,Midlands
E07000171,North East and Yorkshire
E07000028,North East and Yorkshire
E07000164,North East and Yorkshire
E08000010,North West
E08000003,North West
E07000209,South East
E06000036,South East
E07000105,South East
E07000179,South East
E07000181,South East
E06000030,South West
E07000047,South West
E06000023,South West
E07000044,South West
E07000070,East of England
E06000032,East of England
E06000033,East of England
E09000030,London
E09000029,London
E09000013,London
E07000195,Midlands
E07000033,Midlands
E07000039,Midlands
E07000218,Midlands
E06000035,South East
E07000084,South East
E06000046,South East
E06000045,South East
E07000078,South West
E07000042,South West
E07000010,East of England
E09000031,London
E08000026,Midlands
E08000031,Midlands
E07000129,Midlands
E08000022,North East and Yorkshire
E07000031,North West
E07000118,North West
E07000092,South East
E07000114,South East
E06000058,South West
E07000241,East of England
E09000016,London
E09000010,London
E09000027,London
E07000036,Midlands
E06000019,Midlands
E07000151,Midlands
E06000015,Midlands
E07000131,Midlands
