DATE,LTLA,TRAVEL_INDICATOR,LINEAGE,COUNT,SOURCE
2021-02-22,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-02-26,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-02-26,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-03-02,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-04,NA,Traveller,B.1.617.1,4,PHE_REPORT10
2021-03-07,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-08,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-09,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-10,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-03-11,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-11,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-12,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-03-13,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-03-15,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-03-15,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-16,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-03-16,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-17,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-03-17,NA,Contact of Traveller,B.1.617.1,2,PHE_REPORT10
2021-03-17,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-03-18,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-19,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-20,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-21,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-03-22,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-03-22,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-03-23,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-03-23,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-23,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-03-24,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-24,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-03-25,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-26,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-27,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-27,NA,Not travel-associated,B.1.617.1,1,PHE_REPORT10
2021-03-28,NA,Traveller,B.1.617.1,4,PHE_REPORT10
2021-03-28,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-29,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-03-30,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-03-31,NA,Traveller,B.1.617.1,4,PHE_REPORT10
2021-04-01,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-04-02,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-04-02,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-04-03,NA,Traveller,B.1.617.1,8,PHE_REPORT10
2021-04-03,NA,Contact of Traveller,B.1.617.1,2,PHE_REPORT10
2021-04-03,NA,Under investigation,B.1.617.1,3,PHE_REPORT10
2021-04-04,NA,Traveller,B.1.617.1,7,PHE_REPORT10
2021-04-04,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-04,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-04-05,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-06,NA,Traveller,B.1.617.1,8,PHE_REPORT10
2021-04-06,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-04-07,NA,Traveller,B.1.617.1,5,PHE_REPORT10
2021-04-08,NA,Traveller,B.1.617.1,6,PHE_REPORT10
2021-04-08,NA,Not travel-associated,B.1.617.1,2,PHE_REPORT10
2021-04-09,NA,Traveller,B.1.617.1,10,PHE_REPORT10
2021-04-09,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-10,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-04-10,NA,Not travel-associated,B.1.617.1,2,PHE_REPORT10
2021-04-10,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-04-11,NA,Traveller,B.1.617.1,3,PHE_REPORT10
2021-04-11,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-11,NA,Not travel-associated,B.1.617.1,1,PHE_REPORT10
2021-04-11,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-04-12,NA,Traveller,B.1.617.1,7,PHE_REPORT10
2021-04-12,NA,Contact of Traveller,B.1.617.1,2,PHE_REPORT10
2021-04-12,NA,Not travel-associated,B.1.617.1,1,PHE_REPORT10
2021-04-12,NA,Under investigation,B.1.617.1,2,PHE_REPORT10
2021-04-13,NA,Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-13,NA,Contact of Traveller,B.1.617.1,1,PHE_REPORT10
2021-04-13,NA,Not travel-associated,B.1.617.1,1,PHE_REPORT10
2021-04-13,NA,Under investigation,B.1.617.1,1,PHE_REPORT10
2021-04-14,NA,Traveller,B.1.617.1,2,PHE_REPORT10
2021-04-14,NA,Contact of Traveller,B.1.617.1,3,PHE_REPORT10
2021-04-14,NA,Not travel-associated,B.1.617.1,2,PHE_REPORT10
2021-04-15,NA,Contact of Traveller,B.1.617.1,3,PHE_REPORT10
2021-04-15,NA,Not travel-associated,B.1.617.1,2,PHE_REPORT10
2021-04-15,NA,Under investigation,B.1.617.1,4,PHE_REPORT10
2021-04-16,NA,Traveller,B.1.617.1,5,PHE_REPORT10
2021-04-16,NA,Not travel-associated,B.1.617.1,4,PHE_REPORT10
