collection_date,REGION,sgtf,non_sgtf
2020-03-29,London,0,0
2020-03-29,Midlands,0,0
2020-03-29,South East,0,0
2020-03-29,South West,0,0
2020-03-30,London,0,0
2020-03-30,South East,0,0
2020-03-31,London,0,0
2020-03-31,Midlands,0,0
2020-03-31,South East,0,0
2020-04-01,East of England,0,0
2020-04-01,London,0,0
2020-04-01,South East,0,0
2020-04-02,East of England,0,0
2020-04-02,London,0,0
2020-04-02,South East,0,0
2020-04-03,East of England,0,0
2020-04-03,London,0,0
2020-04-03,South East,0,0
2020-04-03,South West,0,0
2020-04-04,East of England,0,0
2020-04-04,London,0,0
2020-04-04,Midlands,0,0
2020-04-04,South East,0,0
2020-04-05,East of England,0,0
2020-04-05,London,0,0
2020-04-05,Midlands,0,0
2020-04-05,North West,0,0
2020-04-05,South East,0,0
2020-04-06,East of England,0,0
2020-04-06,London,0,0
2020-04-06,Midlands,0,0
2020-04-06,South East,0,0
2020-04-07,East of England,0,0
2020-04-07,London,0,0
2020-04-07,Midlands,0,0
2020-04-07,North East and Yorkshire,0,0
2020-04-07,South East,0,0
2020-04-08,East of England,0,0
2020-04-08,London,0,0
2020-04-08,Midlands,0,0
2020-04-08,South East,0,0
2020-04-09,East of England,0,0
2020-04-09,London,0,0
2020-04-09,Midlands,0,0
2020-04-09,North East and Yorkshire,0,0
2020-04-09,South East,0,0
2020-04-10,East of England,0,0
2020-04-10,London,0,0
2020-04-10,Midlands,0,0
2020-04-10,North East and Yorkshire,0,0
2020-04-10,South East,0,0
2020-04-11,East of England,0,0
2020-04-11,London,0,0
2020-04-11,Midlands,0,0
2020-04-11,North East and Yorkshire,0,0
2020-04-11,South East,0,0
2020-04-12,East of England,0,0
2020-04-12,London,0,0
2020-04-12,Midlands,0,0
2020-04-12,North East and Yorkshire,0,0
2020-04-12,North West,0,0
2020-04-12,South East,0,0
2020-04-12,South West,0,0
2020-04-13,East of England,0,0
2020-04-13,London,0,0
2020-04-13,Midlands,0,0
2020-04-13,North East and Yorkshire,0,0
2020-04-13,North West,0,0
2020-04-13,South East,0,0
2020-04-14,East of England,0,0
2020-04-14,London,0,0
2020-04-14,Midlands,0,0
2020-04-14,North East and Yorkshire,0,0
2020-04-14,South East,0,0
2020-04-15,East of England,0,0
2020-04-15,London,0,0
2020-04-15,Midlands,0,0
2020-04-15,North East and Yorkshire,0,0
2020-04-15,North West,0,0
2020-04-15,South East,0,0
2020-04-15,South West,0,0
2020-04-16,East of England,0,0
2020-04-16,London,0,0
2020-04-16,Midlands,0,0
2020-04-16,North East and Yorkshire,0,0
2020-04-16,North West,0,0
2020-04-16,South East,0,0
2020-04-16,South West,0,0
2020-04-17,East of England,0,0
2020-04-17,London,0,0
2020-04-17,Midlands,0,0
2020-04-17,North East and Yorkshire,0,0
2020-04-17,North West,0,0
2020-04-17,South East,0,0
2020-04-17,South West,0,0
2020-04-18,East of England,0,0
2020-04-18,London,0,0
2020-04-18,Midlands,0,0
2020-04-18,North East and Yorkshire,0,0
2020-04-18,North West,0,0
2020-04-18,South East,0,0
2020-04-18,South West,0,0
2020-04-19,East of England,0,0
2020-04-19,London,0,0
2020-04-19,Midlands,0,0
2020-04-19,North East and Yorkshire,0,0
2020-04-19,North West,0,0
2020-04-19,South East,0,0
2020-04-19,South West,0,0
2020-04-20,East of England,0,0
2020-04-20,London,0,0
2020-04-20,Midlands,0,0
2020-04-20,North East and Yorkshire,0,0
2020-04-20,North West,0,0
2020-04-20,South East,0,0
2020-04-20,South West,0,0
2020-04-21,East of England,0,0
2020-04-21,London,0,0
2020-04-21,Midlands,0,0
2020-04-21,North East and Yorkshire,0,0
2020-04-21,North West,0,0
2020-04-21,South East,0,0
2020-04-21,South West,0,0
2020-04-22,East of England,0,0
2020-04-22,London,0,0
2020-04-22,Midlands,0,0
2020-04-22,North East and Yorkshire,0,0
2020-04-22,North West,0,0
2020-04-22,South East,0,0
2020-04-22,South West,0,0
2020-04-23,East of England,0,0
2020-04-23,London,0,0
2020-04-23,Midlands,0,0
2020-04-23,North East and Yorkshire,0,0
2020-04-23,North West,0,0
2020-04-23,South East,0,0
2020-04-23,South West,0,0
2020-04-24,East of England,0,0
2020-04-24,London,0,0
2020-04-24,Midlands,0,0
2020-04-24,North East and Yorkshire,0,0
2020-04-24,North West,0,0
2020-04-24,South East,0,0
2020-04-24,South West,0,0
2020-04-25,East of England,0,0
2020-04-25,London,0,0
2020-04-25,Midlands,0,0
2020-04-25,North East and Yorkshire,0,0
2020-04-25,North West,0,0
2020-04-25,South East,0,0
2020-04-25,South West,0,0
2020-04-26,East of England,0,0
2020-04-26,London,0,0
2020-04-26,Midlands,0,0
2020-04-26,North East and Yorkshire,0,0
2020-04-26,North West,0,0
2020-04-26,South East,0,0
2020-04-26,South West,0,0
2020-04-27,East of England,0,0
2020-04-27,London,0,0
2020-04-27,Midlands,0,0
2020-04-27,North East and Yorkshire,0,0
2020-04-27,North West,0,0
2020-04-27,South East,0,0
2020-04-27,South West,0,0
2020-04-28,East of England,0,0
2020-04-28,London,0,0
2020-04-28,Midlands,0,0
2020-04-28,North East and Yorkshire,0,0
2020-04-28,North West,0,0
2020-04-28,South East,0,0
2020-04-28,South West,0,0
2020-04-29,East of England,0,0
2020-04-29,London,0,0
2020-04-29,Midlands,0,0
2020-04-29,North East and Yorkshire,0,0
2020-04-29,North West,0,0
2020-04-29,South East,0,0
2020-04-29,South West,0,0
2020-04-30,East of England,0,0
2020-04-30,London,0,0
2020-04-30,Midlands,0,0
2020-04-30,North East and Yorkshire,0,0
2020-04-30,North West,0,0
2020-04-30,South East,0,0
2020-04-30,South West,0,0
2020-05-01,East of England,0,0
2020-05-01,London,0,0
2020-05-01,Midlands,0,0
2020-05-01,North East and Yorkshire,0,0
2020-05-01,North West,0,0
2020-05-01,South East,0,0
2020-05-01,South West,0,0
2020-05-02,East of England,0,0
2020-05-02,London,0,0
2020-05-02,Midlands,0,0
2020-05-02,North East and Yorkshire,0,0
2020-05-02,North West,0,0
2020-05-02,South East,0,0
2020-05-02,South West,0,0
2020-05-03,East of England,0,0
2020-05-03,London,0,0
2020-05-03,Midlands,0,0
2020-05-03,North East and Yorkshire,0,0
2020-05-03,North West,0,0
2020-05-03,South East,0,0
2020-05-03,South West,0,0
2020-05-04,East of England,0,0
2020-05-04,London,0,0
2020-05-04,Midlands,0,0
2020-05-04,North East and Yorkshire,0,0
2020-05-04,North West,0,0
2020-05-04,South East,0,0
2020-05-04,South West,0,0
2020-05-05,East of England,0,0
2020-05-05,London,0,0
2020-05-05,Midlands,0,0
2020-05-05,North East and Yorkshire,0,0
2020-05-05,North West,0,0
2020-05-05,South East,0,0
2020-05-05,South West,0,0
2020-05-06,East of England,0,0
2020-05-06,London,0,0
2020-05-06,Midlands,0,0
2020-05-06,North East and Yorkshire,0,0
2020-05-06,North West,0,0
2020-05-06,South East,0,0
2020-05-06,South West,0,0
2020-05-07,East of England,0,0
2020-05-07,London,0,0
2020-05-07,Midlands,0,0
2020-05-07,North East and Yorkshire,0,0
2020-05-07,North West,0,0
2020-05-07,South East,0,0
2020-05-07,South West,0,0
2020-05-08,East of England,0,0
2020-05-08,London,0,0
2020-05-08,Midlands,0,0
2020-05-08,North East and Yorkshire,0,0
2020-05-08,North West,0,0
2020-05-08,South East,0,0
2020-05-08,South West,0,0
2020-05-09,East of England,0,0
2020-05-09,London,0,0
2020-05-09,Midlands,0,0
2020-05-09,North East and Yorkshire,0,0
2020-05-09,North West,0,0
2020-05-09,South East,0,0
2020-05-09,South West,0,0
2020-05-10,East of England,0,0
2020-05-10,London,0,0
2020-05-10,Midlands,0,0
2020-05-10,North East and Yorkshire,0,0
2020-05-10,North West,0,0
2020-05-10,South East,0,0
2020-05-10,South West,0,0
2020-05-11,East of England,0,0
2020-05-11,London,0,0
2020-05-11,Midlands,0,0
2020-05-11,North East and Yorkshire,0,0
2020-05-11,North West,0,0
2020-05-11,South East,0,0
2020-05-11,South West,0,0
2020-05-12,East of England,0,0
2020-05-12,London,0,0
2020-05-12,Midlands,0,0
2020-05-12,North East and Yorkshire,0,0
2020-05-12,North West,0,0
2020-05-12,South East,0,0
2020-05-12,South West,0,0
2020-05-13,East of England,0,0
2020-05-13,London,0,0
2020-05-13,Midlands,0,0
2020-05-13,North East and Yorkshire,0,0
2020-05-13,North West,0,0
2020-05-13,South East,0,0
2020-05-13,South West,0,0
2020-05-14,East of England,0,0
2020-05-14,London,0,0
2020-05-14,Midlands,0,0
2020-05-14,North East and Yorkshire,0,0
2020-05-14,North West,0,0
2020-05-14,South East,0,0
2020-05-14,South West,0,0
2020-05-15,East of England,0,0
2020-05-15,London,0,0
2020-05-15,Midlands,0,0
2020-05-15,North East and Yorkshire,0,0
2020-05-15,North West,0,0
2020-05-15,South East,0,0
2020-05-15,South West,0,0
2020-05-16,East of England,0,0
2020-05-16,London,0,0
2020-05-16,Midlands,0,0
2020-05-16,North East and Yorkshire,0,0
2020-05-16,North West,0,0
2020-05-16,South East,0,0
2020-05-16,South West,0,0
2020-05-17,East of England,0,0
2020-05-17,London,0,0
2020-05-17,Midlands,0,0
2020-05-17,North East and Yorkshire,0,0
2020-05-17,North West,0,0
2020-05-17,South East,0,0
2020-05-17,South West,0,0
2020-05-18,East of England,0,0
2020-05-18,London,0,0
2020-05-18,Midlands,0,0
2020-05-18,North East and Yorkshire,0,0
2020-05-18,North West,0,0
2020-05-18,South East,0,0
2020-05-18,South West,0,0
2020-05-19,East of England,0,0
2020-05-19,London,0,0
2020-05-19,Midlands,0,0
2020-05-19,North East and Yorkshire,0,0
2020-05-19,North West,0,0
2020-05-19,South East,0,0
2020-05-19,South West,0,0
2020-05-20,East of England,0,0
2020-05-20,London,0,0
2020-05-20,Midlands,0,0
2020-05-20,North East and Yorkshire,0,0
2020-05-20,North West,0,0
2020-05-20,South East,0,0
2020-05-20,South West,0,0
2020-05-21,East of England,0,0
2020-05-21,London,0,0
2020-05-21,Midlands,0,0
2020-05-21,North East and Yorkshire,0,0
2020-05-21,North West,0,0
2020-05-21,South East,0,0
2020-05-21,South West,0,0
2020-05-22,East of England,0,0
2020-05-22,London,0,0
2020-05-22,Midlands,0,0
2020-05-22,North East and Yorkshire,0,0
2020-05-22,North West,0,0
2020-05-22,South East,0,0
2020-05-22,South West,0,0
2020-05-23,East of England,0,0
2020-05-23,London,0,0
2020-05-23,Midlands,0,0
2020-05-23,North East and Yorkshire,0,0
2020-05-23,North West,0,0
2020-05-23,South East,0,0
2020-05-23,South West,0,0
2020-05-24,East of England,0,0
2020-05-24,London,0,0
2020-05-24,Midlands,0,0
2020-05-24,North East and Yorkshire,0,0
2020-05-24,North West,0,0
2020-05-24,South East,0,0
2020-05-24,South West,0,0
2020-05-25,East of England,0,0
2020-05-25,London,0,0
2020-05-25,Midlands,0,0
2020-05-25,North East and Yorkshire,0,0
2020-05-25,North West,0,0
2020-05-25,South East,0,0
2020-05-25,South West,0,0
2020-05-26,East of England,0,0
2020-05-26,London,0,0
2020-05-26,Midlands,0,0
2020-05-26,North East and Yorkshire,0,0
2020-05-26,North West,0,0
2020-05-26,South East,0,0
2020-05-26,South West,0,0
