CONTINENT,REGION,CUM_EXCESS_DEATHS_PER_M_SINCEMARCH2021,CUM_EXCESS_DEATHS_PER_M_BEFOREMARCH2021,VACCINE_DOSES_PER_100,MEDIAN_AGE,GDP_PER_CAPITA,AREA_KM2,POPULATION_2021,POPDENS,CASES_PER_M_22jan2020_28feb2021,DEATHS_PER_M_22jan2020_28feb2021,CASES_PER_M_1mar2021_5nov2021,DEATHS_PER_M_1mar2021_5nov2021
NORTH AMERICA,Wyoming,406.8,1133.7,44.30,38.4,68757,251469.7,581075,2.310715764,93983.85166,1159.377219,87855.22126,988.3215639
NORTH AMERICA,Wisconsin,110.1,1337.4,58.60,39.8,60425,140268.6,5852490,41.72345058,106032.2882,1204.650838,48424.25006,434.1826803
NORTH AMERICA,West Virginia,1178.9,1521.6,41.10,42.9,43806,62258.1,1767859,28.39564651,73573.76376,1283.376866,80472.7514,1237.621691
NORTH AMERICA,Washington,580.7,660.1,63.80,37.8,80170,172120.2,7796941,45.29939542,44619.40568,650.8298935,52133.3655,502.8304403
NORTH AMERICA,Virginia,811.2,1076.6,63.40,38.6,65824,102278.6,8603985,84.1230228,67488.33902,1001.930873,41751.18115,625.8553229
NORTH AMERICA,Vermont,727.6,910.4,71.50,43,56525,23871.9,623251,26.10814388,24354.59599,326.9288401,42244.33444,285.2614389
NORTH AMERICA,Utah,386.1,740.9,54.00,31.3,49892,212819.3,3310774,15.55673757,115795.0291,603.5637398,58987.67233,419.8433042
NORTH AMERICA,Texas,1208.1,1592.0,53.60,35,66149,676587.8,29730311,43.94154166,91496.16802,1507.00715,55070.71849,961.9642183
NORTH AMERICA,Tennessee,1141.8,1736.9,47.90,39,56451,106798.2,6944260,65.02225693,113484.149,1670.919499,74828.96175,743.7209829
NORTH AMERICA,South Dakota,196.9,1963.5,53.20,37.4,61104,196349.6,896581,4.566248161,127085.1255,2134.155646,50330.1272,428.41366
NORTH AMERICA,South Carolina,1256.9,1825.7,50.20,39.9,48547,77857.6,5277830,67.78824418,100378.6577,1659.83195,74650.29132,1025.304571
NORTH AMERICA,Rhode Island,479.7,1525.5,71.20,40.1,60830,2678,1061509,396.3812547,118581.8621,2361.801124,51437.61192,343.6033609
NORTH AMERICA,Pennsylvania,703.1,1806.6,60.90,40.8,64412,115883.8,12804123,110.4910522,72899.53147,1872.130963,50746.33325,614.8263368
NORTH AMERICA,Oregon,721.7,708.9,63.10,39.6,60558,248607.8,4289439,17.25383918,36890.873,523.5034807,51295.27991,557.1708241
NORTH AMERICA,Oklahoma,1169.4,1745.8,50.40,36.9,52409,177660.2,3990443,22.46109708,107280.5436,1119.037769,56437.3608,1617.651481
NORTH AMERICA,Ohio,748.6,1815.3,52.10,39.5,60464,105829.5,11714618,110.6933133,82762.48813,1479.754643,51002.13019,711.5175676
NORTH AMERICA,North Dakota,-173.7,1761.5,47.80,35.3,75321,178711.8,770026,4.308758571,130972.2831,1935.538053,67171.69994,457.9679869
NORTH AMERICA,North Carolina,221.1,1227.2,53.10,39.1,56862,125920,10701022,84.9827033,81859.27954,1069.022712,59828.18215,667.1380588
NORTH AMERICA,New York,768.5,2397.2,67.00,39.2,90043,122055.8,19299981,158.1242432,84502.06109,2447.623857,47855.1459,459.6073696
NORTH AMERICA,New Mexico,941.7,1906.4,62.40,38.4,50022,314160.4,2105005,6.70041482,88291.41528,1772.199831,46472.55451,660.0442859
NORTH AMERICA,New Jersey,661.3,2430.7,66.60,40.1,73451,19046.8,8874520,465.9323351,88869.29913,2617.822857,46457.4615,539.1688311
NORTH AMERICA,New Hampshire,440.9,830.8,63.20,43.1,66069,23188.2,1372203,59.17677957,55469.87558,860.476969,46874.66675,314.0373212
NORTH AMERICA,Nevada,1145.9,1543.9,53.20,38.3,58570,284331.5,3185786,11.20447787,95368.54627,1609.334073,48588.77278,894.4352169
NORTH AMERICA,Nebraska,316.9,1387.3,56.50,36.8,66737,198973.2,1951996,9.810346318,103846.2413,1076.298278,45665.65068,475.0807482
NORTH AMERICA,Montana,588.7,1579.5,50.80,40.1,49540,376962.4,1085004,2.87828176,93521.76037,1269.674338,75271.94609,989.9155858
NORTH AMERICA,Missouri,952.1,1870.8,50.00,38.9,54879,178041,6169038,34.64953578,80660.17231,1349.262264,60313.21264,719.193773
NORTH AMERICA,Mississippi,1606.9,2538.1,46.00,38,40464,121530,2966407,24.40884555,99052.5004,2244.847284,71085.82265,1164.928234
NORTH AMERICA,Minnesota,178.9,1099.4,61.50,38.3,68427,206233,5706398,27.66966489,85926.35122,1161.600615,58475.09199,425.2050488
NORTH AMERICA,Michigan,663.9,1719.3,53.70,39.9,54928,146435.3,9992427,68.23782927,64639.95629,1652.972502,66311.15275,746.5812317
NORTH AMERICA,Massachusetts,314.5,1409.4,69.90,39.6,86942,20201.9,6912239,342.1578663,84315.81386,2338.482841,40469.6233,426.9856683
NORTH AMERICA,Maryland,627.0,1530.4,66.20,39.1,71838,25141,6065436,241.2567519,63201.49264,1301.590557,30081.31426,508.9584629
NORTH AMERICA,Maine,359.5,409.0,70.90,45,50915,79883,1354522,16.95632362,33205.32773,522.9829819,46355.03923,372.7090667
NORTH AMERICA,Louisiana,1466.9,2301.0,47.90,37.5,57445,111897.8,4627002,41.35024996,92518.4037,2066.772587,71275.47489,1072.751342
NORTH AMERICA,Kentucky,1004.2,1516.3,51.00,39.1,48697,102268.3,4480713,43.81331263,90566.38657,1037.900491,77413.67822,1183.3901
NORTH AMERICA,Kansas,537.5,1478.7,53.40,37.1,60310,211754.8,2917224,13.77642443,101601.1319,1610.537004,49597.46872,617.166567
NORTH AMERICA,Iowa,173.6,1583.2,55.80,38.5,62493,144669,3167974,21.89808459,115253.5443,1734.034427,48944.08048,506.1694352
NORTH AMERICA,Indiana,652.0,1845.5,50.00,37.9,56702,92788.9,6805663,73.3456588,98284.38439,1867.586304,54674.0978,639.1651846
NORTH AMERICA,Illinois,608.0,1854.9,60.70,38.6,71727,143793.5,12569321,87.41230306,93641.78992,1794.138348,41448.58107,443.66157
NORTH AMERICA,Idaho,594.4,1128.4,44.20,36.9,46043,214044.4,1860123,8.690360505,95765.96263,1040.812729,69660.58873,994.3678602
NORTH AMERICA,Hawaii,115.2,81.6,60.00,39.6,69593,16635.5,1406430,84.54389709,19604.87954,309.3499977,40278.3585,357.376938
NORTH AMERICA,Georgia,1124.7,1526.6,48.50,37.1,58896,148958,10830007,72.70510479,94798.80382,1628.926341,59560.21532,1140.295531
NORTH AMERICA,Florida,1324.3,1465.4,60.00,42.5,51745,138888.1,21944577,158.0018519,88892.93132,1436.464186,83360.22552,1365.832909
NORTH AMERICA,Delaware,1113.8,1686.2,60.10,41.1,78468,5047.9,990334,196.1873254,89137.61445,1460.312766,59819.42237,711.6714111
NORTH AMERICA,Connecticut,569.3,1825.0,71.00,41.1,81055,12540.7,3552821,283.3032446,78519.62549,2137.836309,34315.04953,319.4693723
NORTH AMERICA,Colorado,451.9,1185.3,61.90,37.1,68828,268431.5,5893634,21.95582113,74373.78619,1033.386493,57411.20968,426.4824781
NORTH AMERICA,California,1006.7,1317.7,61.60,37,80563,403932,39613493,98.06970728,90273.63507,1320.047217,35037.158,506.1218651
NORTH AMERICA,Arkansas,1393.4,1819.1,48.30,38.5,44808,134770,3033946,22.5120279,106837.621,1795.013858,63958.75942,1067.663771
NORTH AMERICA,Arizona,1263.1,2043.2,53.40,38.2,51179,294207.1,7520103,25.56057621,112214.9687,2195.441862,50154.99297,737.6299972
NORTH AMERICA,Alabama,1542.3,2064.7,45.00,39.4,47735,131169.9,4934193,37.61680843,100597.2648,2025.214223,69625.76366,1194.12178
EUROPE,Albania,1194.89,3092.07,31.04,38,11803.431,,,,,,,
EUROPE,Austria,424.53,975.96,62.22,44.4,45436.686,,,,,,,
EUROPE,Belgium,149.48,1522.96,73.73,41.8,42658.576,,,,,,,
EUROPE,Bulgaria,3855.16,2909.65,22.03,44.7,18563.307,,,,,,,
EUROPE,Croatia,1391.35,1787.92,44.05,44,22669.797,,,,,,,
EUROPE,Czechia,676.93,2578.13,56.88,43.3,32605.906,,,,,,,
EUROPE,Denmark,143.39,-4.7,75.92,42.3,46682.515,,,,,,,
EUROPE,Estonia,1506.05,687.18,57.52,42.7,29481.252,,,,,,,
EUROPE,France,232.07,967.45,68.01,42,38605.671,,,,,,,
EUROPE,Germany,235.86,650.5,66.17,46.6,45229.245,,,,,,,
EUROPE,Greece,1287.88,444.43,61.52,45.3,24574.382,,,,,,,
EUROPE,Hungary,1553.63,1584.88,59.54,43.4,26777.561,,,,,,,
EUROPE,Ireland,95.18,324.23,75.31,38.7,67335.293,,,,,,,
EUROPE,Italy,616.11,2058.6,71.5,47.9,35220.084,,,,,,,
EUROPE,Latvia,1599.15,1292.34,54.73,43.9,25063.846,,,,,,,
EUROPE,Lithuania,2324.73,3113.93,64.11,43.5,29524.265,,,,,,,
EUROPE,Malta,178.65,617.61,83.05,42.4,36513.323,,,,,,,
EUROPE,Moldova,1801.19,1687.89,21.78,37.6,5189.972,,,,,,,
EUROPE,Montenegro,2444.01,2363.72,38.76,39.1,16409.288,,,,,,,
EUROPE,North Macedonia,3122.03,3280.89,37.25,39.1,13111.214,,,,,,,
