PROVINCE,LINEAGE,Week53,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10
All,*,176,285,481,860,811,869,687,981,1074,754,782
All,B.1.1.7,33,65,195,357,317,366,314,509,647,462,565
All,B.1.351,7,5,11,28,29,52,65,63,82,81,69
All,P.1,0,0,0,0,2,5,17,25,37,30,32
All,B.1.214.2,2,1,4,9,6,16,25,56,67,47,42
All,Other,134,214,271,466,457,430,266,328,241,134,74
Antwerp,*,20,51,116,178,113,206,78,134,187,107,178
Antwerp,B.1.1.7,10,23,74,117,22,76,35,67,115,66,112
Antwerp,B.1.351,0,1,0,1,1,4,4,8,17,13,25
Antwerp,P.1,0,0,0,0,0,0,4,1,2,2,10
Antwerp,B.1.214.2,0,0,0,0,0,4,0,5,8,2,7
Antwerp,Other,10,27,42,60,90,122,35,53,45,24,24
East Flanders,*,16,44,60,107,90,36,61,122,101,38,3
East Flanders,B.1.1.7,1,10,25,26,13,10,30,55,49,15,2
East Flanders,B.1.351,0,1,3,8,11,6,3,13,17,6,0
East Flanders,P.1,0,0,0,0,0,0,2,5,1,2,0
East Flanders,B.1.214.2,0,0,0,0,1,0,0,6,6,5,0
East Flanders,Other,15,33,32,73,65,20,26,43,28,10,1
Flemish Brabant,*,22,45,66,77,39,24,34,154,169,52,70
Flemish Brabant,B.1.1.7,8,10,24,59,23,11,13,80,114,37,59
Flemish Brabant,B.1.351,0,0,1,0,0,0,1,1,1,1,2
Flemish Brabant,P.1,0,0,0,0,0,2,3,5,11,4,6
Flemish Brabant,B.1.214.2,0,0,3,2,1,0,4,11,18,4,2
Flemish Brabant,Other,14,35,38,16,15,11,13,57,25,6,1
Limburg,*,10,30,78,164,108,168,124,166,161,122,165
Limburg,B.1.1.7,0,6,29,41,31,53,52,98,107,75,129
Limburg,B.1.351,0,0,1,1,5,16,14,8,12,11,11
Limburg,P.1,0,0,0,0,0,0,0,0,1,1,1
Limburg,B.1.214.2,0,0,0,0,0,5,2,9,6,9,11
Limburg,Other,10,24,48,122,72,94,56,51,35,26,13
West Flanders,*,12,12,21,90,47,148,107,93,53,67,76
West Flanders,B.1.1.7,1,0,5,12,11,67,33,46,19,28,37
West Flanders,B.1.351,7,3,6,17,11,19,38,25,26,35,29
West Flanders,P.1,0,0,0,0,0,0,1,0,0,0,0
West Flanders,B.1.214.2,0,0,1,3,1,0,0,1,0,3,1
West Flanders,Other,4,9,9,58,24,62,35,21,8,1,9
Hainaut,*,1,1,6,34,71,61,26,44,63,84,63
Hainaut,B.1.1.7,0,0,2,18,37,42,3,13,27,53,49
Hainaut,B.1.351,0,0,0,0,0,0,1,1,3,3,1
Hainaut,P.1,0,0,0,0,0,0,0,1,7,8,4
Hainaut,B.1.214.2,0,0,0,2,0,0,2,1,5,6,4
Hainaut,Other,1,1,4,14,34,19,20,28,21,14,5
Liege,*,70,69,66,114,213,104,99,90,90,65,113
Liege,B.1.1.7,1,2,3,33,113,53,69,48,51,41,91
Liege,B.1.351,0,0,0,0,0,0,0,1,1,0,1
Liege,P.1,0,0,0,0,1,0,1,2,0,1,1
Liege,B.1.214.2,1,1,0,1,1,2,3,3,0,1,4
Liege,Other,68,66,63,80,98,49,26,36,38,22,16
Luxembourg,*,0,1,8,17,17,20,27,32,33,14,1
Luxembourg,B.1.1.7,0,0,1,2,4,8,10,16,22,8,1
Luxembourg,B.1.351,0,0,0,1,0,3,3,5,3,1,0
Luxembourg,P.1,0,0,0,0,0,0,0,0,1,0,0
Luxembourg,B.1.214.2,0,0,0,0,0,0,1,1,0,0,0
Luxembourg,Other,0,1,7,14,13,9,13,10,7,5,0
Walloon Brabant,*,10,1,1,12,11,5,9,14,20,21,10
Walloon Brabant,B.1.1.7,2,0,1,6,6,4,5,8,11,7,8
Walloon Brabant,B.1.351,0,0,0,0,0,0,0,0,0,6,0
Walloon Brabant,P.1,0,0,0,0,0,0,1,0,0,0,0
Walloon Brabant,B.1.214.2,0,0,0,0,0,0,0,1,2,3,2
Walloon Brabant,Other,8,1,0,6,5,1,3,5,7,5,0
Namur,*,3,4,2,15,14,20,23,23,23,35,10
Namur,B.1.1.7,1,2,0,6,4,8,10,16,16,23,8
Namur,B.1.351,0,0,0,0,1,2,0,0,0,0,0
Namur,P.1,0,0,0,0,0,0,0,0,3,7,2
Namur,B.1.214.2,0,0,0,0,0,0,0,0,0,0,0
Namur,Other,2,2,2,9,9,10,13,7,4,5,0
Brussels Capital Region,*,12,21,57,52,88,77,99,109,174,149,93
Brussels Capital Region,B.1.1.7,9,8,31,37,53,34,54,62,116,109,69
Brussels Capital Region,B.1.351,0,0,0,0,0,2,1,1,2,5,0
Brussels Capital Region,P.1,0,0,0,0,1,3,5,11,11,5,8
Brussels Capital Region,B.1.214.2,1,0,0,1,2,5,13,18,22,14,11
Brussels Capital Region,Other,2,13,26,14,32,33,26,17,23,16,5
