sampling_week,year,week,collection_date,baselinesurv_total_sequenced,baselinesurv_n_B.1.1.7,baselinesurv_n_B.1.351,baselinesurv_n_P.1,baselinesurv_n_B.1.617.2
30/11-6/12 (w 49),2020,49,2020-12-03,33,0,0,0,0
7/12-13/12 (w 50),2020,50,2020-12-10,1,0,0,0,0
14/12–20/12 (w 51),2020,51,2020-12-17,92,0,0,0,0
21/12-27/12 (w 52),2020,52,2020-12-24,22,3,0,0,0
28/12–3/01 (w 53),2020,53,2020-12-31,80,0,0,0,0
4/01–10/01 (w 1),2021,1,2021-01-07,177,13,0,0,0
11/01–17/01 (w 2),2021,2,2021-01-14,117,10,1,0,0
18/01-24/01 (w 3),2021,3,2021-01-21,477,64,11,0,0
25/01 – 31/01 (w 4),2021,4,2021-01-28,576,156,26,2,0
01/02 – 07/02 (w 5),2021,5,2021-02-04,952,389,40,8,0
08/02 – 14/02 (w 6),2021,6,2021-02-11,831,347,71,15,0
15/02 – 21/02 (w 7),2021,7,2021-02-18,1068,539,64,26,0
22/02 – 28/02 (w 8),2021,8,2021-02-25,1250,706,95,27,0
01/03-07/03 (w 9),2021,9,2021-03-04,1044,667,94,31,0
08/03-14/03 (w 10),2021,10,2021-03-11,1361,1028,78,34,0
15/03-21/03 (w 11),2021,11,2021-03-18,1398,1129,67,65,0
22/03-28/03 (w 12),2021,12,2021-03-25,1737,1463,70,54,0
29/03-04/04 (w 13),2021,13,2021-04-01,1524,1286,50,76,0
05/04-11/04 (w 14),2021,14,2021-04-08,1512,1252,36,134,1
12/04-18/04 (w 15),2021,15,2021-04-15,1570,1288,25,129,1
19/04-25/04 (w 16),2021,16,2021-04-22,1368,1155,30,91,2
26/04-02/05 (w 17),2021,17,2021-04-29,1258,1119,11,53,11
03/05-09/05 (w 18),2021,18,2021-05-06,708,625,4,50,3
