sampling_week,year,week,collection_date,baselinesurv_total_sequenced,baselinesurv_n_501Y.V1,baselinesurv_n_501Y.V2,baselinesurv_n_501Y.V3,activesurv_total_sequenced,activesurv_n_501Y.V1,activesurv_n_501Y.V2,activesurv_n_501Y.V3
30/11-6/12 (w 49),2020,49,2020-12-03,33,0,0,0,74,3,0,0
7/12-13/12 (w 50),2020,50,2020-12-10,1,0,0,0,109,0,0,0
14/12–20/12 (w 51),2020,51,2020-12-17,92,0,0,0,126,1,1,0
21/12-27/12 (w 52),2020,52,2020-12-24,22,3,0,0,48,11,1,0
28/12–3/01 (w 53),2020,53,2020-12-31,80,0,0,0,68,26,7,0
4/01–10/01 (w 1),2021,1,2021-01-07,98,7,0,0,142,40,8,0
11/01–17/01 (w 2),2021,2,2021-01-14,104,8,1,0,494,241,37,0
18/01-24/01 (w 3),2021,3,2021-01-21,470,63,11,0,674,500,14,0
25/01 – 31/01 (w 4),2021,4,2021-01-28,460,101,24,2,415,311,5,0
01/02 – 07/02 (w 5),2021,5,2021-02-04,501,192,24,1,113,24,15,0
08/02 – 14/02 (w 6),2021,6,2021-02-11,103,34,4,2,16,9,1,3
