division,value
Maryland,USA - Northeast
Pennsylvania,USA - Northeast
Delaware,USA - Northeast
New York,USA - Northeast
Massachusetts,USA - Northeast
Vermont,USA - Northeast
Connecticut,USA - Northeast
New Jersey,USA - Northeast
Maine,USA - Northeast
New Hampshire,USA - Northeast
Rhode Island,USA - Northeast
Alabama,USA - South
Arkansas,USA - South
Texas,USA - South
Kentucky,USA - South
Georgia,USA - South
Virginia,USA - South
Tennessee,USA - South
Louisiana,USA - South
Florida,USA - South
Washington,USA - South
District of Columbia,USA - South
North Carolina,USA - South
South Carolina,USA - South
Mississippi,USA - South
Oklahoma,USA - South
West Virginia,USA - South
Nebraska,USA - Midwest
Ohio,USA - Midwest
Iowa,USA - Midwest
Wisconsin,USA - Midwest
Missouri,USA - Midwest
Michigan,USA - Midwest
Illinois,USA - Midwest
Minnesota,USA - Midwest
Indiana,USA - Midwest
Kansas,USA - Midwest
North Dakota,USA - Midwest
South Dakota,USA - Midwest
Alaska,USA - West
Washington,USA - West
New Mexico,USA - West
California,USA - West
Oregon,USA - West
Idaho,USA - West
Montana,USA - West
Nevada,USA - West
Utah,USA - West
Colorado,USA - West
Wyoming,USA - West
Hawaii,USA - West
Arizona,USA - West
England,England
Northern Ireland,Northern Ireland
Wales,Wales
Scotland,Scotland
