"Week";"Region";"yes";"total";"percent"
"2020-W43";"Whole Denmark";0;357;0
"2020-W44";"Whole Denmark";0;1212;0
"2020-W45";"Whole Denmark";0;1472;0
"2020-W46";"Whole Denmark";4;1361;0,3
"2020-W47";"Whole Denmark";0;1654;0
"2020-W48";"Whole Denmark";3;1669;0,2
"2020-W49";"Whole Denmark";3;1970;0,2
"2020-W50";"Whole Denmark";11;2621;0,4
"2020-W51";"Whole Denmark";29;3488;0,8
"2020-W52";"Whole Denmark";62;3142;2
"2020-W53";"Whole Denmark";76;3421;2,2
"2021-W01";"Whole Denmark";147;3746;3,9
"2021-W02";"Whole Denmark";267;3595;7,4
"2021-W03";"Whole Denmark";431;3318;13
"2021-W04";"Whole Denmark";475;2380;20
"2021-W05";"Whole Denmark";169;623;27,1
"2020-W43";"Hovedstaden";0;178;0
"2020-W44";"Hovedstaden";0;563;0
"2020-W45";"Hovedstaden";0;660;0
"2020-W46";"Hovedstaden";4;430;0,9
"2020-W47";"Hovedstaden";0;640;0
"2020-W48";"Hovedstaden";3;753;0,4
"2020-W49";"Hovedstaden";0;961;0
"2020-W50";"Hovedstaden";3;1219;0,2
"2020-W51";"Hovedstaden";6;1410;0,4
"2020-W52";"Hovedstaden";16;1341;1,2
"2020-W53";"Hovedstaden";16;1388;1,2
"2021-W01";"Hovedstaden";44;1451;3
"2021-W02";"Hovedstaden";109;1603;6,8
"2021-W03";"Hovedstaden";179;1312;13,6
"2021-W04";"Hovedstaden";209;987;21,2
"2021-W05";"Hovedstaden";74;242;30,6
"2020-W43";"Midtjylland";0;54;0
"2020-W44";"Midtjylland";0;180;0
"2020-W45";"Midtjylland";0;240;0
"2020-W46";"Midtjylland";0;302;0
"2020-W47";"Midtjylland";0;328;0
"2020-W48";"Midtjylland";0;350;0
"2020-W49";"Midtjylland";0;422;0
"2020-W50";"Midtjylland";0;470;0
"2020-W51";"Midtjylland";0;694;0
"2020-W52";"Midtjylland";8;522;1,5
"2020-W53";"Midtjylland";21;704;3
"2021-W01";"Midtjylland";26;828;3,1
"2021-W02";"Midtjylland";22;481;4,6
"2021-W03";"Midtjylland";50;458;10,9
"2021-W04";"Midtjylland";45;281;16
"2021-W05";"Midtjylland";13;82;15,9
"2020-W43";"Nordjylland";0;39;0
"2020-W44";"Nordjylland";0;155;0
"2020-W45";"Nordjylland";0;189;0
"2020-W46";"Nordjylland";0;308;0
"2020-W47";"Nordjylland";0;246;0
"2020-W48";"Nordjylland";0;170;0
"2020-W49";"Nordjylland";3;64;4,7
"2020-W50";"Nordjylland";7;104;6,7
"2020-W51";"Nordjylland";12;344;3,5
"2020-W52";"Nordjylland";18;362;5
"2020-W53";"Nordjylland";7;270;2,6
"2021-W01";"Nordjylland";5;244;2
"2021-W02";"Nordjylland";5;325;1,5
"2021-W03";"Nordjylland";24;358;6,7
"2021-W04";"Nordjylland";25;214;11,7
"2021-W05";"Nordjylland";5;72;6,9
"2020-W43";"Other";0;2;0
"2020-W44";"Other";0;7;0
"2020-W45";"Other";0;15;0
"2020-W46";"Other";0;19;0
"2020-W47";"Other";0;9;0
"2020-W48";"Other";0;12;0
"2020-W49";"Other";0;19;0
"2020-W50";"Other";0;15;0
"2020-W51";"Other";1;21;4,8
"2020-W52";"Other";0;23;0
"2020-W53";"Other";0;45;0
"2021-W01";"Other";1;22;4,5
"2021-W02";"Other";3;33;9,1
"2021-W03";"Other";8;30;26,7
"2021-W04";"Other";7;31;22,6
"2021-W05";"Other";0;2;0
"2020-W43";"Sjælland";0;40;0
"2020-W44";"Sjælland";0;132;0
"2020-W45";"Sjælland";0;187;0
"2020-W46";"Sjælland";0;136;0
"2020-W47";"Sjælland";0;151;0
"2020-W48";"Sjælland";0;172;0
"2020-W49";"Sjælland";0;266;0
"2020-W50";"Sjælland";0;242;0
"2020-W51";"Sjælland";3;401;0,7
"2020-W52";"Sjælland";11;331;3,3
"2020-W53";"Sjælland";7;464;1,5
"2021-W01";"Sjælland";37;621;6
"2021-W02";"Sjælland";68;623;10,9
"2021-W03";"Sjælland";78;583;13,4
"2021-W04";"Sjælland";102;461;22,1
"2021-W05";"Sjælland";44;115;38,3
"2020-W43";"Syddanmark";0;44;0
"2020-W44";"Syddanmark";0;175;0
"2020-W45";"Syddanmark";0;181;0
"2020-W46";"Syddanmark";0;166;0
"2020-W47";"Syddanmark";0;280;0
"2020-W48";"Syddanmark";0;212;0
"2020-W49";"Syddanmark";0;238;0
"2020-W50";"Syddanmark";1;571;0,2
"2020-W51";"Syddanmark";7;618;1,1
"2020-W52";"Syddanmark";9;563;1,6
"2020-W53";"Syddanmark";25;550;4,5
"2021-W01";"Syddanmark";34;580;5,9
"2021-W02";"Syddanmark";60;530;11,3
"2021-W03";"Syddanmark";92;577;15,9
"2021-W04";"Syddanmark";87;406;21,4
"2021-W05";"Syddanmark";33;110;30
