"Week";"Region";"yes";"total";"percent"
"2020-W46";"Whole Denmark";4;1444;0,3
"2020-W47";"Whole Denmark";0;1691;0
"2020-W48";"Whole Denmark";3;1760;0,2
"2020-W49";"Whole Denmark";5;2284;0,2
"2020-W50";"Whole Denmark";12;2874;0,4
"2020-W51";"Whole Denmark";35;4085;0,9
"2020-W52";"Whole Denmark";64;3608;1,8
"2020-W53";"Whole Denmark";80;3915;2
"2021-W01";"Whole Denmark";154;4154;3,7
"2021-W02";"Whole Denmark";284;4035;7
"2021-W03";"Whole Denmark";470;3685;12,8
"2021-W04";"Whole Denmark";518;2659;19,5
"2021-W05";"Whole Denmark";662;2233;29,6
"2021-W06";"Whole Denmark";922;1956;47,1
"2021-W07";"Whole Denmark";1570;2388;65,7
"2021-W08";"Whole Denmark";1472;1939;75,9
"2020-W46";"Hovedstaden";4;492;0,8
"2020-W47";"Hovedstaden";0;667;0
"2020-W48";"Hovedstaden";3;779;0,4
"2020-W49";"Hovedstaden";2;1234;0,2
"2020-W50";"Hovedstaden";4;1421;0,3
"2020-W51";"Hovedstaden";12;1919;0,6
"2020-W52";"Hovedstaden";18;1749;1
"2020-W53";"Hovedstaden";18;1786;1
"2021-W01";"Hovedstaden";47;1779;2,6
"2021-W02";"Hovedstaden";117;1931;6,1
"2021-W03";"Hovedstaden";202;1562;12,9
"2021-W04";"Hovedstaden";240;1199;20
"2021-W05";"Hovedstaden";295;922;32
"2021-W06";"Hovedstaden";351;754;46,6
"2021-W07";"Hovedstaden";562;881;63,8
"2021-W08";"Hovedstaden";702;836;84
"2020-W46";"Midtjylland";0;302;0
"2020-W47";"Midtjylland";0;334;0
"2020-W48";"Midtjylland";0;412;0
"2020-W49";"Midtjylland";0;423;0
"2020-W50";"Midtjylland";0;471;0
"2020-W51";"Midtjylland";0;708;0
"2020-W52";"Midtjylland";8;529;1,5
"2020-W53";"Midtjylland";22;750;2,9
"2021-W01";"Midtjylland";30;874;3,4
"2021-W02";"Midtjylland";25;490;5,1
"2021-W03";"Midtjylland";54;494;10,9
"2021-W04";"Midtjylland";45;308;14,6
"2021-W05";"Midtjylland";83;345;24,1
"2021-W06";"Midtjylland";181;318;56,9
"2021-W07";"Midtjylland";214;336;63,7
"2021-W08";"Midtjylland";140;196;71,4
"2020-W46";"Nordjylland";0;308;0
"2020-W47";"Nordjylland";0;247;0
"2020-W48";"Nordjylland";0;170;0
"2020-W49";"Nordjylland";3;64;4,7
"2020-W50";"Nordjylland";7;104;6,7
"2020-W51";"Nordjylland";12;349;3,4
"2020-W52";"Nordjylland";18;363;5
"2020-W53";"Nordjylland";7;271;2,6
"2021-W01";"Nordjylland";5;245;2
"2021-W02";"Nordjylland";5;363;1,4
"2021-W03";"Nordjylland";24;362;6,6
"2021-W04";"Nordjylland";25;214;11,7
"2021-W05";"Nordjylland";17;204;8,3
"2021-W06";"Nordjylland";18;190;9,5
"2021-W07";"Nordjylland";18;114;15,8
"2021-W08";"Nordjylland";28;88;31,8
"2020-W46";"Other";0;21;0
"2020-W47";"Other";0;9;0
"2020-W48";"Other";0;13;0
"2020-W49";"Other";0;21;0
"2020-W50";"Other";0;15;0
"2020-W51";"Other";1;25;4
"2020-W52";"Other";0;25;0
"2020-W53";"Other";0;48;0
"2021-W01";"Other";1;24;4,2
"2021-W02";"Other";3;32;9,4
"2021-W03";"Other";9;33;27,3
"2021-W04";"Other";11;38;28,9
"2021-W05";"Other";3;9;33,3
"2021-W06";"Other";3;10;30
"2021-W07";"Other";6;15;40
"2021-W08";"Other";11;16;68,8
"2020-W46";"Sjælland";0;155;0
"2020-W47";"Sjælland";0;154;0
"2020-W48";"Sjælland";0;173;0
"2020-W49";"Sjælland";0;304;0
"2020-W50";"Sjælland";0;288;0
"2020-W51";"Sjælland";3;460;0,7
"2020-W52";"Sjælland";11;374;2,9
"2020-W53";"Sjælland";7;504;1,4
"2021-W01";"Sjælland";37;645;5,7
"2021-W02";"Sjælland";71;648;11
"2021-W03";"Sjælland";81;629;12,9
"2021-W04";"Sjælland";104;476;21,8
"2021-W05";"Sjælland";138;331;41,7
"2021-W06";"Sjælland";163;309;52,8
"2021-W07";"Sjælland";188;311;60,5
"2021-W08";"Sjælland";203;322;63
"2020-W46";"Syddanmark";0;166;0
"2020-W47";"Syddanmark";0;280;0
"2020-W48";"Syddanmark";0;213;0
"2020-W49";"Syddanmark";0;238;0
"2020-W50";"Syddanmark";1;575;0,2
"2020-W51";"Syddanmark";7;624;1,1
"2020-W52";"Syddanmark";9;568;1,6
"2020-W53";"Syddanmark";26;556;4,7
"2021-W01";"Syddanmark";34;587;5,8
"2021-W02";"Syddanmark";63;571;11
"2021-W03";"Syddanmark";100;605;16,5
"2021-W04";"Syddanmark";93;424;21,9
"2021-W05";"Syddanmark";126;422;29,9
"2021-W06";"Syddanmark";206;375;54,9
"2021-W07";"Syddanmark";582;731;79,6
"2021-W08";"Syddanmark";388;481;80,7
