DAY,2017,2018,2019,2020,2021,2022
12-31,313,304,302,369,363,
12-30,320,321,311,337,393,
12-29,343,380,306,381,339,
12-28,350,335,283,385,367,
12-27,331,325,345,350,352,
12-26,352,314,303,323,302,
12-25,341,284,278,357,338,
12-24,318,292,328,392,352,
12-23,301,308,309,407,375,
12-22,361,315,307,423,357,
12-21,325,329,317,365,340,
12-20,348,337,341,353,367,
12-19,319,319,351,377,366,
12-18,300,345,327,390,345,
12-17,297,310,354,397,359,
12-16,331,312,340,387,345,
12-15,356,335,310,436,385,
12-14,344,310,306,396,357,
12-13,345,327,324,365,377,
12-12,310,318,339,398,344,
12-11,342,305,314,437,349,
12-10,290,326,320,371,376,
12-09,329,282,300,390,365,
12-08,346,312,289,397,386,
12-07,323,351,311,422,390,
12-06,319,309,371,347,394,
12-05,329,323,321,378,380,
12-04,340,313,299,419,386,
12-03,284,283,280,387,426,
12-02,310,271,290,411,376,
12-01,294,320,276,396,396,
11-30,291,293,287,366,388,
11-29,304,301,302,361,376,
11-28,301,307,317,414,383,
11-27,296,322,299,413,359,
11-26,263,293,323,439,364,
11-25,314,277,318,425,359,
11-24,308,272,303,412,356,
11-23,302,317,301,429,347,
11-22,303,292,336,378,317,
11-21,318,327,324,452,311,
11-20,306,277,320,462,350,
11-19,274,298,274,445,368,
11-18,298,270,329,461,355,
11-17,298,269,289,483,341,
11-16,312,288,293,498,335,
11-15,288,291,297,439,337,
11-14,312,284,317,471,348,
11-13,296,299,290,496,310,
11-12,260,316,265,466,360,
11-11,286,289,263,483,365,
11-10,280,268,243,548,369,
11-09,282,283,304,529,307,
11-08,271,276,280,507,323,
11-07,293,311,283,561,294,
11-06,267,315,288,565,346,
11-05,238,307,308,500,369,
11-04,270,242,295,502,351,
11-03,270,287,268,536,322,
11-02,273,280,270,518,297,
11-01,264,278,281,476,297,
10-31,292,257,278,503,327,
10-30,285,289,277,505,333,
10-29,275,274,290,435,359,
10-28,276,256,271,452,350,
10-27,270,265,241,478,302,
10-26,265,308,322,433,360,
10-25,303,260,299,397,296,
10-24,277,294,301,398,304,
10-23,247,265,311,408,338,
10-22,257,270,296,374,311,
10-21,302,262,295,386,338,
10-20,305,242,298,349,373,
10-19,286,281,277,317,336,
10-18,255,265,309,307,335,
10-17,306,290,286,301,314,
10-16,296,299,247,342,309,
10-15,290,318,272,293,348,
10-14,241,265,272,290,330,
10-13,323,304,289,331,305,
10-12,312,303,262,293,311,
10-11,310,291,281,320,304,
10-10,291,319,289,279,295,
10-09,292,240,297,296,301,
10-08,269,284,273,310,286,
10-07,292,230,260,279,316,
10-06,288,280,281,302,311,
10-05,259,302,306,274,272,
10-04,272,270,310,281,273,
10-03,282,311,289,259,278,
10-02,293,288,289,268,271,
10-01,258,284,320,292,286,
09-30,289,240,253,242,301,
09-29,293,271,271,281,279,
09-28,275,267,258,297,267,
09-27,298,299,297,242,257,
09-26,283,256,260,288,266,
09-25,267,271,251,289,265,
09-24,251,227,270,281,275,
09-23,258,227,299,294,290,
09-22,312,286,289,272,250,
09-21,288,277,261,250,267,
09-20,246,266,285,266,272,
09-19,284,310,285,274,236,
09-18,269,322,273,281,277,
09-17,255,282,272,274,303,
09-16,236,227,258,302,288,
09-15,273,258,233,332,268,
09-14,280,263,256,275,253,
09-13,268,262,270,236,270,
09-12,260,269,266,247,266,
09-11,251,269,273,297,284,
09-10,241,263,281,249,309,
09-09,293,237,254,274,305,
09-08,264,264,231,267,289,
09-07,283,307,264,255,288,
09-06,257,277,278,250,271,
09-05,268,269,250,286,284,
09-04,277,292,289,292,268,
09-03,244,263,246,275,314,
09-02,261,251,280,259,295,
09-01,284,272,250,262,252,
08-31,268,246,262,267,281,
08-30,299,265,279,246,260,
08-29,299,280,321,248,267,
08-28,269,277,282,272,231,
08-27,259,234,306,252,261,
08-26,295,270,306,299,263,
08-25,293,230,269,296,287,
08-24,267,276,273,266,247,
08-23,288,264,257,290,305,
08-22,291,297,256,280,235,
08-21,258,243,306,310,265,
08-20,209,244,253,340,291,
08-19,252,263,245,342,279,
08-18,272,246,242,322,270,
08-17,259,258,246,331,252,
08-16,277,299,275,343,248,
08-15,258,268,224,397,264,
08-14,257,260,268,416,243,
08-13,261,293,276,492,298,
08-12,231,234,246,447,258,
08-11,278,250,237,404,285,
08-10,244,283,244,383,285,
08-09,254,327,256,330,257,
08-08,272,299,248,311,240,
08-07,286,322,273,304,279,
08-06,216,285,251,309,274,
08-05,234,253,257,269,279,
