NIS,Gemeente,Regio,NONVAC,INC,POP,PROV,TAXINC,TAXPCT,POPDENS,RAND,INC2020,PCTMIGR,PCTNOTBORNINB,CUMULCASES,MEAN_AGE
52022,Fontaine-l’Evêque,Wallonia,0.348627429,228.2977894,17959,Hainaut,15725,0.07,28.660272,no,7995.990868,0.467565009,0.135530932,2633,40.917
57095,Mont-de-l’Enclus,Wallonia,0.259034556,316.5391717,3791,Hainaut,18864,0.427,27.157984,no,6858.348721,0.132418887,0.058295964,407,40.161
25014,Eigenbrakel,Wallonia,0.279150974,366.6475445,40093,BrabantWallon,21790,0.82,52.318584,no,5953.657746,0.333898686,0.165290699,4236,40.86
25015,Kasteelbrakel,Wallonia,0.298613749,341.8154197,10532,BrabantWallon,21686,0.808,22.751678,no,6323.585264,0.297189518,0.123528295,1205,40.607
21019,Sint-Pieters-Woluwe,Brussels,0.348199829,376.2263073,41996,Brussels,21253,0.753,8.94038,no,5245.737689,0.580221926,0.409681874,4417,41.92
62108,Wezet,Wallonia,0.349118388,710.8872096,17865,Liège,17639,0.25,27.727825,no,9415.057375,0.378001679,0.156171285,2656,41.074
21002,Oudergem,Brussels,0.370849293,385.9113556,34723,Brussels,19279,0.474,8.972027,no,5281.801688,0.553696397,0.364859027,3754,40.461
21017,Watermaal-Bosvoorde,Brussels,0.376234091,392.5300345,25221,Brussels,20767,0.698,12.97693,no,6038.618611,0.478014353,0.286903771,3034,42.516
63001,Amel,Wallonia,0.377693283,525.0769509,5523,Liège,17364,0.212,125.888165,no,6807.89426,0.132355604,0.083107007,683,40.93
21018,Sint-Lambrechts-Woluwe,Brussels,0.381210136,461.9893122,58010,Brussels,17886,0.277,7.296997,no,5424.926737,0.636373039,0.443595932,6426,41.104
21016,Ukkel,Brussels,0.39036733,434.0953594,84774,Brussels,20993,0.731,22.865263,no,5954.655909,0.616214877,0.40597353,10160,41.864
21009,Elsene,Brussels,0.406410022,386.3386979,87488,Brussels,16725,0.137,6.406543,no,5830.513899,0.759738478,0.568569404,10803,37.786
62063,Luik,Wallonia,0.411664018,487.019603,196296,Liège,15203,0.044,68.650173,no,8034.295146,0.548421771,0.297250071,25465,40.453
62093,Saint-Nicolas (Luik),Wallonia,0.427929784,477.9957145,24268,Liège,13722,0.017,6.905785,no,9353.881655,0.695813417,0.280698863,3673,40.537
21013,Sint-Gillis,Brussels,0.482884787,617.9364176,49196,Brussels,14089,0.022,2.526967,no,6681.437515,0.811671681,0.561427758,6913,35.609
21007,Vorst (Brussel-Hoofdstad),Brussels,0.488264245,628.9866918,56281,Brussels,15198,0.043,6.304012,no,6647.003429,0.737033812,0.440805956,7896,37.891
21003,Sint-Agatha-Berchem,Brussels,0.504461303,518.8475296,25441,Brussels,15509,0.056,2.947761,no,7542.942494,0.689281082,0.339373452,3721,39.048
21004,Brussel,Brussels,0.555356417,552.6546684,186916,Brussels,13029,0.012,33.075721,no,6626.506024,0.815804961,0.505039697,25180,35.748
21015,Schaarbeek,Brussels,0.555705168,594.8984793,131451,Brussels,12389,0.006,7.898012,no,6880.130239,0.807974074,0.477288115,18771,34.639
21014,Sint-Joost-ten-Node,Brussels,0.591395074,637.8115322,27124,Brussels,9491,,1.177186,no,7535.761687,0.91063265,0.597699454,4057,32.994
21012,Sint-Jans-Molenbeek,Brussels,0.622186888,728.7589693,98112,Brussels,10643,0.001,6.005614,no,8232.428245,0.854136089,0.44810013,15272,34.819
38014,Koksijde,Flanders,0.130514369,27.45744097,21852,WestVlaanderen,26677,0.987,50.360553,no,2759.472817,0.1105162,0.0811825,1212,50.202
24109,Tremelo,Flanders,0.141857676,46.64179104,15008,VlaamsBrabant,22596,0.893,21.88894,no,3118.336887,0.09315032,0.054570896,746,42.537
35011,Middelkerke,Flanders,0.14449075,20.32933523,19676,WestVlaanderen,19430,0.498,79.038822,no,3466.151657,0.091278715,0.062919293,1459,47.996
24134,Scherpenheuvel-Zichem,Flanders,0.146142209,146.9634753,23135,VlaamsBrabant,20491,0.656,51.149678,no,2891.722498,0.102874433,0.066090339,1334,43.898
31012,Jabbeke,Flanders,0.147858817,63.91591506,14081,WestVlaanderen,22415,0.874,53.859995,no,3771.038989,0.062282508,0.041048221,1104,42.028
24007,Begijnendijk,Flanders,0.148033327,106.5684945,10322,VlaamsBrabant,21909,0.837,17.655211,no,2557.643867,0.074404185,0.045436931,482,42.602
35029,De Haan,Flanders,0.15059817,31.27687857,12789,WestVlaanderen,22354,0.867,46.142178,no,3346.626007,0.109390883,0.072796935,821,47.738
24008,Bekkevoort,Flanders,0.153434152,,6348,VlaamsBrabant,21227,0.75,37.280295,no,2536.231884,0.086326402,0.054977946,410,42.28
73098,Wellen,Flanders,0.153918791,53.95926076,7413,Limburg,19843,0.558,26.802744,no,2171.860246,0.091326049,0.041278834,476,41.572
24130,Zoutleeuw,Flanders,0.154026492,117.2195522,8531,VlaamsBrabant,20263,0.617,46.84517,no,2555.386238,0.108545305,0.061540265,573,43.126
12007,Bornem,Flanders,0.154517454,84.00224006,21428,Antwerpen,22363,0.868,46.187102,no,3486.092962,0.116903117,0.059781594,1520,42.319
24137,Glabbeek,Flanders,0.155805243,37.45318352,5340,VlaamsBrabant,22084,0.844,26.991184,no,2659.17603,0.079400749,0.048876404,280,42.119
71020,Halen,Flanders,0.158547009,10.68376068,9360,Limburg,20163,0.601,36.596346,no,3130.34188,0.112179487,0.0625,543,42.325
24133,Linter,Flanders,0.159382325,110.2991865,7253,VlaamsBrabant,20933,0.724,36.871924,no,2150.834138,0.090445333,0.051840618,367,40.892
12005,Bonheiden,Flanders,0.15958358,125.1894314,15177,Antwerpen,25682,0.982,29.192193,no,2609.211307,0.129933452,0.068590631,906,44.059
38016,Nieuwpoort,Flanders,0.159681152,17.14236736,11667,WestVlaanderen,20522,0.667,33.283749,no,3145.624411,0.114853861,0.085454701,865,47.901
