data,year,week,week_startdate,total,alpha_noE484K,alpha_E484K,alpha,beta,gamma,delta,kappa,other,eta,B.1.620,B.1.621,epsilon,theta,source
WGS,2021,22,2021-05-31,538,499,3,502,0,13,15,0,5,1,0,2,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,21,2021-05-24,1205,1164,3,1167,3,16,14,0,5,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,20,2021-05-17,1301,1249,5,1254,3,32,8,0,0,0,0,4,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,19,2021-05-10,1541,1493,4,1497,4,30,6,0,0,1,0,3,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,18,2021-05-03,1592,1542,2,1544,11,32,1,0,0,0,1,3,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,17,2021-04-26,1686,1637,4,1641,8,27,5,0,3,1,0,1,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,16,2021-04-19,1518,1459,7,1466,18,27,1,0,0,4,0,2,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,15,2021-04-12,1620,1565,6,1571,19,21,1,1,5,1,0,1,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,14,2021-04-05,1507,1437,2,1439,27,23,0,2,13,2,0,1,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,13,2021-03-29,1710,1622,3,1625,40,14,0,0,29,1,0,0,0,1,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,12,2021-03-22,1600,1494,0,1494,39,23,0,0,42,0,0,0,0,2,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,11,2021-03-15,1563,1403,0,1403,55,23,0,0,80,2,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,10,2021-03-08,1974,1724,1,1725,56,15,0,0,171,5,0,0,2,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,9,2021-03-01,1516,1267,2,1269,25,11,0,0,202,7,0,0,2,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,8,2021-02-22,1037,795,1,796,19,3,0,0,218,0,0,0,0,1,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,7,2021-02-15,1041,651,1,652,32,1,0,0,352,4,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,6,2021-02-08,964,394,0,394,32,0,0,0,537,1,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,5,2021-02-01,902,290,1,291,20,0,0,0,589,2,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,4,2021-01-25,837,223,0,223,14,1,0,0,599,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,3,2021-01-18,645,157,0,157,3,0,0,0,485,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,2,2021-01-11,303,61,0,61,3,0,0,0,239,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2021,1,2021-01-04,357,45,0,45,0,0,0,0,312,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2020,53,2020-12-28,209,9,0,9,1,0,0,0,199,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2020,52,2020-12-21,257,5,0,5,1,0,0,0,251,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2020,51,2020-12-14,203,1,0,1,0,0,0,0,202,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2020,50,2020-12-07,127,1,0,1,0,0,0,0,126,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
WGS,2020,49,2020-11-30,77,1,0,1,0,0,0,0,76,0,0,0,0,0,https://www.rivm.nl/coronavirus-covid-19/virus/varianten
