"date_num","region","prob","SE","df","asymp.LCL","asymp.UCL","date"
18871,"London",2.22044604925031e-16,4.4066623385214e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-01
18872,"London",2.22044604925031e-16,4.36167173757475e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-02
18873,"London",2.22044604925031e-16,4.3166814505932e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-03
18874,"London",2.22044604925031e-16,4.27169148749696e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-04
18875,"London",2.22044604925031e-16,4.22670185862858e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-05
18876,"London",2.22044604925031e-16,4.18171257477557e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-06
18877,"London",2.22044604925031e-16,4.13672364719466e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-07
18878,"London",2.22044604925031e-16,4.09173508763758e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-08
18879,"London",2.22044604925031e-16,4.04674690837852e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-09
18880,"London",2.22044604925031e-16,4.00175912224354e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-10
18881,"London",2.22044604925031e-16,3.95677174264187e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-11
18882,"London",2.22044604925031e-16,3.9117847835995e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-12
18883,"London",2.22044604925031e-16,3.86679825979499e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-13
18884,"London",2.22044604925031e-16,3.82181218659789e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-14
18885,"London",2.22044604925031e-16,3.77682658010986e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-15
18886,"London",2.22044604925031e-16,3.73184145720877e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-16
18887,"London",2.22044604925031e-16,3.68685683559607e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-17
18888,"London",2.22044604925031e-16,3.64187273384758e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-18
18889,"London",2.22044604925031e-16,3.59688917146817e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-19
18890,"London",2.22044604925031e-16,3.55190616895058e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-20
18891,"London",2.22044604925031e-16,3.50692374783868e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-21
18892,"London",2.22044604925031e-16,3.46194193079582e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-22
18893,"London",2.22044604925031e-16,3.41696074167837e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-23
18894,"London",2.22044604925031e-16,3.37198020561535e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-24
18895,"London",2.22044604925031e-16,3.32700034909434e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-25
18896,"London",2.22044604925031e-16,3.28202120005456e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-26
18897,"London",2.22044604925031e-16,3.23704278798766e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-27
18898,"London",2.22044604925031e-16,3.19206514404701e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-28
18899,"London",2.22044604925031e-16,3.14708830116639e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-29
18900,"London",2.22044604925031e-16,3.10211229418899e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-09-30
18901,"London",2.22044604925031e-16,3.05713716000774e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-10-01
18902,"London",2.22044604925031e-16,3.01216293771825e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-10-02
18903,"London",2.22044604925031e-16,2.96718966878566e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-10-03
18904,"London",2.22044604925031e-16,2.92221739722678e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-10-04
18905,"London",2.22044604925031e-16,2.87724616980941e-16,189,2.22044604925031e-16,2.22044604925031e-16,2021-10-05
18906,"London",2.22044604925031e-16,2.83227603627058e-16,189,2.22044604925031e-16,1.30129930398369e-13,2021-10-06
18907,"London",2.22044604925031e-16,2.78730704955587e-16,189,2.22044604925031e-16,2.06064468281901e-13,2021-10-07
18908,"London",2.22044604925031e-16,2.74233926608229e-16,189,2.22044604925031e-16,3.26309330589516e-13,2021-10-08
18909,"London",2.22044604925031e-16,2.69737274602736e-16,189,2.22044604925031e-16,5.16721294202472e-13,2021-10-09
18910,"London",2.22044604925031e-16,2.65240755364768e-16,189,2.22044604925031e-16,8.18245712807385e-13,2021-10-10
18911,"London",1.27795032534574e-13,1.50068208120116e-13,189,2.22044604925031e-16,1.29572147419758e-12,2021-10-11
18912,"London",2.10615201810147e-13,2.43058165726746e-13,189,2.22044604925031e-16,2.05182417055926e-12,2021-10-12
18913,"London",3.47108665757611e-13,3.93548510447231e-13,189,2.22044604925031e-16,3.24914597979797e-12,2021-10-13
18914,"London",5.72059494321911e-13,6.37012679185829e-13,189,2.22044604925031e-16,5.14516061642526e-12,2021-10-14
18915,"London",9.42794281236149e-13,1.03075292143724e-12,189,1.09094929175263e-13,8.14759277489382e-12,2021-10-15
18916,"London",1.55379128491696e-12,1.6672949381832e-12,189,1.87122050371874e-13,1.29020997379081e-11,2021-10-16
18917,"London",2.56075732016261e-12,2.69597593564828e-12,189,3.20955355798645e-13,2.04311220678859e-11,2021-10-17
18918,"London",4.22030816906826e-12,4.35772028475143e-12,189,5.50507829193384e-13,3.23537651908887e-11,2021-10-18
18919,"London",6.95536468905001e-12,7.04102899907206e-12,189,9.44238139040638e-13,5.12340012075603e-11,2021-10-19
18920,"London",1.14629301983599e-11,1.13720736899186e-11,189,1.61956615056848e-12,8.11320789079769e-11,2021-10-20
18921,"London",1.88917151876956e-11,1.83595841964234e-11,189,2.77788910098094e-12,1.28477736052753e-10,2021-10-21
18922,"London",3.11348753377522e-11,2.96277117209335e-11,189,4.7646402558763e-12,2.03453022704146e-10,2021-10-22
18923,"London",5.13124643611527e-11,4.77900449619246e-11,189,8.17229926298871e-12,3.22182156267739e-10,2021-10-23
18924,"London",8.45665502179658e-11,7.70499337088594e-11,189,1.40170709277666e-11,5.10199416845486e-10,2021-10-24
18925,"London",1.39371622560927e-10,1.24163364285899e-10,189,2.40419154614427e-11,8.07940997699258e-10,2021-10-25
18926,"London",2.29694236367812e-10,1.99982177465696e-10,189,4.12362877457357e-11,1.27944208994922e-09,2021-10-26
