"date_num","country","prob","SE","df","asymp.LCL","asymp.UCL","date"
18871,"South Africa",7.77975954835319e-10,1.54187840554499e-09,122,1.53836708739851e-11,3.93434420418718e-08,2021-09-01
18872,"South Africa",1.00463298913625e-09,1.96383035761852e-09,122,2.09619181200945e-11,4.81486183892819e-08,2021-09-02
18873,"South Africa",1.29732472645357e-09,2.50077380069038e-09,122,2.85628091262486e-11,5.89245736851182e-08,2021-09-03
18874,"South Africa",1.67528984606742e-09,3.18389768553601e-09,122,3.89197124704156e-11,7.21124514312375e-08,2021-09-04
18875,"South Africa",2.16337206159617e-09,4.0528039784697e-09,122,5.30318875188177e-11,8.82521536160681e-08,2021-09-05
18876,"South Africa",2.79365310260526e-09,5.1577625415658e-09,122,7.2260880310019e-11,1.08004453091828e-07,2021-09-06
18877,"South Africa",3.60756145223793e-09,6.56256582372149e-09,122,9.84618642806005e-11,1.32178057963359e-07,2021-09-07
18878,"South Africa",4.65859544853661e-09,8.34814147763636e-09,122,1.34162592751987e-10,1.61762737262259e-07,2021-09-08
18879,"South Africa",6.01583973933899e-09,1.06171222403289e-08,122,1.82807221175928e-10,1.97969865746178e-07,2021-09-09
18880,"South Africa",7.7685062278735e-09,1.3499624237519e-08,122,2.49088512026084e-10,2.4228204995325e-07,2021-09-10
18881,"South Africa",1.00317979860821e-08,1.71605499731192e-08,122,3.39400456799911e-10,2.965138701555e-07,2021-09-11
18882,"South Africa",1.29544815715168e-08,2.18088139831456e-08,122,4.62454959140346e-10,3.6288622889906e-07,2021-09-12
18883,"South Africa",1.67286654771857e-08,2.77089916262451e-08,122,6.30122039393901e-10,4.44117355136367e-07,2021-09-13
18884,"South Africa",2.16024274529961e-08,3.5196019920923e-08,122,8.58574568041063e-10,5.43534196499559e-07,2021-09-14
18885,"South Africa",2.78961206938928e-08,4.46937401422944e-08,122,1.16984788942867e-09,6.65208769145093e-07,2021-09-15
18886,"South Africa",3.60234307016917e-08,5.67382730178207e-08,122,1.5939646860526e-09,8.14125059243986e-07,2021-09-16
18887,"South Africa",4.6518566889158e-08,7.20074686624892e-08,122,2.17182990934624e-09,9.96383324766004e-07,2021-09-17
18888,"South Africa",6.00713762307685e-08,9.13579870379732e-08,122,2.95917481243829e-09,1.21945018235615e-06,2021-09-18
18889,"South Africa",7.75726869791241e-08,1.15871955709692e-07,122,4.03193021030384e-09,1.49246474509185e-06,2021-09-19
18890,"South Africa",1.0017286288501e-07,1.46915638464947e-07,122,5.49354679707658e-09,1.82661338023747e-06,2021-09-20
18891,"South Africa",1.29357416679505e-07,1.86213153590476e-07,122,7.48496792646521e-09,2.23558847672162e-06,2021-09-21
18892,"South Africa",1.6704465287096e-07,2.35939032003724e-07,122,1.01982157650034e-08,2.73615006627344e-06,2021-09-22
18893,"South Africa",2.15711757877267e-07,2.98834336805519e-07,122,1.38948997490915e-08,3.34881337249118e-06,2021-09-23
18894,"South Africa",2.78557625323603e-07,3.78352218296932e-07,122,1.89314303024864e-08,4.0986905432271e-06,2021-09-24
18895,"South Africa",3.59713118880379e-07,4.78840201902773e-07,122,2.57933664023369e-08,5.01652116758038e-06,2021-09-25
18896,"South Africa",4.64512592986645e-07,6.05768260872699e-07,122,3.51422049138206e-08,6.13993395180008e-06,2021-09-26
18897,"South Africa",5.9984451811689e-07,7.66013883243311e-07,122,4.78791171948297e-08,7.51499145002443e-06,2021-09-27
18898,"South Africa",7.74604256506247e-07,9.68217989474912e-07,122,6.52317694183701e-08,9.19808141012929e-06,2021-09-28
18899,"South Africa",1.00027874811915e-06,1.22322879557353e-06,122,8.88725840925391e-08,1.12582325851942e-05,2021-09-29
18900,"South Africa",1.29170153630011e-06,1.54465466657255e-06,122,1.21079824723548e-07,1.37799503696073e-05,2021-09-30
18901,"South Africa",1.6680277576188e-06,1.94955180710439e-06,122,1.64957003873793e-07,1.68666890720168e-05,2021-10-01
18902,"South Africa",2.15399317639923e-06,2.45927845093431e-06,122,2.2473172227586e-07,2.06451039259954e-05,2021-10-02
18903,"South Africa",2.78154001088183e-06,3.10055422321783e-06,122,3.06162681086024e-07,2.52702581559481e-05,2021-10-03
18904,"South Africa",3.59191640082931e-06,3.90677176247472e-06,122,4.17094002744513e-07,3.09319999005381e-05,2021-10-04
18905,"South Africa",4.638387488222e-06,4.91961772639895e-06,122,5.68210144080217e-07,3.78627721926176e-05,2021-10-05
18906,"South Africa",5.98973626628194e-06,6.19107220038277e-06,122,7.74063942853064e-07,4.6347178520017e-05,2021-10-06
18907,"South Africa",7.73478423392218e-06,7.78586951274769e-06,122,1.05447654812258e-06,5.67336992198971e-05,2021-10-07
18908,"South Africa",9.9882288750932e-06,9.78451974767317e-06,122,1.43644365053642e-06,6.94490431265475e-05,2021-10-08
18909,"South Africa",1.28981814548976e-05,1.2287008994279e-05,122,1.95673095570246e-06,8.50157282236591e-05,2021-10-09
18910,"South Africa",1.66559002485083e-05,1.54173176356215e-05,122,2.66540785889443e-06,0.000104073619118099,2021-10-10
18911,"South Africa",2.15083583950738e-05,1.9328919649027e-05,122,3.63065806680049e-06,0.000127406313561913,2021-10-11
18912,"South Africa",2.77744715056185e-05,2.42114515665655e-05,122,4.94532800373006e-06,0.000155973471885093,2021-10-12
18913,"South Africa",3.58660500706552e-05,3.02987666120913e-05,122,6.73583981197435e-06,0.000190950430508804,2021-10-13
18914,"South Africa",4.63148512087524e-05,3.78786161309274e-05,122,9.17432130458293e-06,0.000233776744050314,2021-10-14
18915,"South Africa",5.9807503430083e-05,4.73042243662374e-05,122,1.24951116153543e-05,0.000286215672624508,2021-10-15
18916,"South Africa",7.72305926193785e-05,5.90080401723602e-05,122,1.7017217284043e-05,0.000350427087402947,2021-10-16
18917,"South Africa",9.97288603997148e-05,7.35179547408604e-05,122,2.31748579847852e-05,0.000429056827480172,2021-10-17
18918,"South Africa",0.000128780319679908,9.14762595310106e-05,122,3.15590064738367e-05,0.000525346228180015,2021-10-18
18919,"South Africa",0.000166293190427051,0.00011366157134054,122,4.29738641261399e-05,0.000643266384116935,2021-10-19
18920,"South Africa",0.000214730970069641,0.000141013854813597,122,5.8513616237156e-05,0.000787682745408652,2021-10-20
18921,"South Africa",0.000277273764100659,0.000174662502953515,122,7.96667064133356e-05,0.000964556916797143,2021-10-21
18922,"South Africa",0.000358026322317072,0.000215957160919794,122,0.000108457424622137,0.00118119409247967,2021-10-22
18923,"South Africa",0.000462286190309268,0.000266500553948746,122,0.000147638039873733,0.00144654648410106,2021-10-23
18924,"South Africa",0.000596889161073328,0.000328181949553567,122,0.000200949314156606,0.00177158547530562,2021-10-24
18925,"South Africa",0.00077065399949025,0.000403208974984556,122,0.000273473378698087,0.00216975818128649,2021-10-25
18926,"South Africa",0.000994954450249009,0.000494134236535205,122,0.0003721110996999,0.0026575477656758,2021-10-26
18927,"South Africa",0.00128445409627527,0.000603871452818731,122,0.00050622676641554,0.00325516149576373,2021-10-27
18928,"South Africa",0.00165804899457136,0.00073569353543737,122,0.000688516829488965,0.00398737643581847,2021-10-28
18929,"South Africa",0.00214007444507908,0.000893202198489894,122,0.000936177123145064,0.00488458041243638,2021-10-29
18930,"South Africa",0.00276184592184238,0.00108025537514695,122,0.00127246493546723,0.00598405630221327,2021-10-30
18931,"South Africa",0.00356362007132213,0.00130083543537193,122,0.00172877821657981,0.00733157229059075,2021-10-31
18932,"South Africa",0.0045970792697995,0.00155883914675842,122,0.00234740235107313,0.00898336223241924,2021-11-01
18933,"South Africa",0.00592846120622877,0.00185777223176556,122,0.00318510010145677,0.0110086136279373,2021-11-02
18934,"South Africa",0.00764247052837279,0.00220034300619618,122,0.00431773040724491,0.0134926355549371,2021-11-03
18935,"South Africa",0.00984711750336273,0.00258798260529626,122,0.00584605064346369,0.0165409735790638,2021-11-04
18936,"South Africa",0.0126796196664101,0.00302039668733132,122,0.00790273176519915,0.0202849088314863,2021-11-05
18937,"South Africa",0.0163134611895846,0.00349541897041934,122,0.0106602937843282,0.0248890919461096,2021-11-06
18938,"South Africa",0.0209666068445263,0.00400976879090979,122,0.0143389632016228,0.0305626412694046,2021-11-07
18939,"South Africa",0.0269106764619966,0.00456193359416508,122,0.0192120663363836,0.0375760623313711,2021-11-08
18940,"South Africa",0.0344805507884527,0.00515940578693815,122,0.025604196920614,0.046287940327152,2021-11-09
18941,"South Africa",0.0440833368793032,0.00583362375460945,122,0.0338744244539803,0.0571868459974317,2021-11-10
18942,"South Africa",0.0562048057523114,0.00666532087510794,122,0.0443767585457931,0.0709513954773612,2021-11-11
18943,"South Africa",0.0714102931148095,0.00781532299383873,122,0.0574032111117531,0.0885143166646121,2021-11-12
18944,"South Africa",0.0903356901587442,0.00953757187342116,122,0.0731484024387358,0.111077404951984,2021-11-13
18945,"South Africa",0.113662822914221,0.0121431902241054,122,0.0917482354347326,0.140004959553656,2021-11-14
18946,"South Africa",0.142072864560365,0.0159224874570782,122,0.113369282947802,0.176596317714385,2021-11-15
18947,"South Africa",0.17617255384127,0.0210714186806265,122,0.138249741895216,0.221820176377279,2021-11-16
18948,"South Africa",0.216392357052399,0.027639921641762,122,0.166658543765084,0.276051258059425,2021-11-17
18949,"South Africa",0.262864457043639,0.035486057882705,122,0.198821985911987,0.338811909571785,2021-11-18
18950,"South Africa",0.315301060256847,0.044236621463528,122,0.23485712234634,0.408585151801659,2021-11-19
18951,"South Africa",0.372906167403323,0.0532802762953683,122,0.274719885793538,0.482823574021955,2021-11-20
18952,"South Africa",0.434359200331487,0.0618221058192248,122,0.318167833536447,0.558241843735625,2021-11-21
18953,"South Africa",0.497898649098315,0.0690079213596789,122,0.36474050910934,0.631355537049851,2021-11-22
18954,"South Africa",0.561506041264491,0.0740925120785245,122,0.413762743653861,0.699093487832227,2021-11-23
18955,"South Africa",0.623154325740182,0.076597234865732,122,0.464374867823665,0.759265948548924,2021-11-24
18956,"South Africa",0.681058477636242,0.0763996561345506,122,0.515589280432385,0.810751935133172,2021-11-25
18957,"South Africa",0.733865188433773,0.0737264854256002,122,0.566366825051901,0.853410147910585,2021-11-26
18958,"South Africa",0.780743484981338,0.0690632244913468,122,0.615701250801438,0.887820268428492,2021-11-27
18959,"South Africa",0.821374285265694,0.0630236597108646,122,0.662697775486442,0.914981332215931,2021-11-28
18960,"South Africa",0.855865729825748,0.0562259065866679,122,0.706633384719979,0.9360547973707,2021-11-29
18961,"South Africa",0.884632555293928,0.049204910292998,122,0.746991335914022,0.952187300204077,2021-11-30
18962,"South Africa",0.908273324328959,0.0423692637236518,122,0.783468513015213,0.96441060098356,2021-12-01
18963,"South Africa",0.927466897809598,0.0359945579662118,122,0.815959685188616,0.973599524106589,2021-12-02
18964,"South Africa",0.942896764182053,0.0302394471711071,122,0.844525959861718,0.980466457706199,2021-12-03
18965,"South Africa",0.955202797072995,0.0251715956848763,122,0.869355483994323,0.985575304575104,2021-12-04
