country,date,pos_tests,sgtf,prop_sgtf,comment,source
Belgium,2021-11-27,3198,0,0,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-11-28,2910,1,0.000343643,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-11-29,3253,6,0.001844451,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-11-30,4568,9,0.001970228,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-01,4208,7,0.001663498,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-02,4236,7,0.001652502,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-03,3820,12,0.003141361,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-04,3261,13,0.003986507,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-05,2829,8,0.002827854,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-06,2847,19,0.006673692,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-07,3947,26,0.006587281,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-08,3441,59,0.017146178,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-09,3705,38,0.01025641,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-10,3073,49,0.038961039,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-11,2664,33,0.012387387,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-12,1731,44,0.025418833,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
Belgium,2021-12-13,65,2,0.030769231,Cq<25 only; last day incomplete,"Federal Test Platform, contact:Emmanuel André"
