country,date,pos_tests,sgtf,prop_sgtf,comment,source
Denmark,2021-11-22,4470,1,0.000223714,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-23,4666,1,0.000214316,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-24,3982,1,0.00025113,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-25,4059,4,0.000985464,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-26,4114,7,0.001701507,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-27,3813,3,0.000786782,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-28,3849,10,0.002598077,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-29,5048,11,0.002179081,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-11-30,5368,24,0.004470939,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-12-01,4490,78,0.017371938,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-12-02,4527,58,0.012812017,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-12-03,5126,73,0.014241124,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-12-04,5058,105,0.020759193,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-12-05,4762,152,0.031919362,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
Denmark,2021-12-06,6964,240,0.034462952,,"Statens Serum Institut, https://files.ssi.dk/covid19/omikron/statusrapport/rapport-omikronvarianten-09122021-ke43"
