"date","sgtf","country","region","pos_tests","prop_sgtf","comment","source"
2021-11-01,18,"England","England",16544,0.00108800773694391,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-02,17,"England","England",12428,0.00136787898294174,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-03,16,"England","England",13647,0.00117241884663296,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-04,8,"England","England",11106,0.000720331352422114,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-05,14,"England","England",11094,0.00126194339282495,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-06,3,"England","England",9770,0.000307062436028659,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-07,3,"England","England",10192,0.000294348508634223,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-08,19,"England","England",16018,0.00118616556374079,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-09,13,"England","England",16217,0.000801627921317136,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-10,13,"England","England",15395,0.000844430009743423,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-11,8,"England","England",15299,0.000522909994117263,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-12,7,"England","England",14595,0.000479616306954436,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-13,7,"England","England",13304,0.000526157546602526,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-14,6,"England","England",12181,0.000492570396519169,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-15,20,"England","England",23349,0.000856567733093494,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-16,12,"England","England",19629,0.000611340363747516,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-17,11,"England","England",18932,0.000581026832875555,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-18,11,"England","England",19513,0.000563726746271716,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-19,16,"England","England",16959,0.000943451854472551,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-20,5,"England","England",15129,0.000330491109789147,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-21,18,"England","England",15293,0.00117700908912574,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-22,21,"England","England",21118,0.000994412349654323,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-23,11,"England","England",20596,0.000534084288211303,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-24,17,"England","England",18107,0.000938863422985586,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-25,27,"England","England",19686,0.00137153306918622,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-26,35,"England","England",15473,0.0022620047825244,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-27,43,"England","England",12217,0.00351968568388311,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-28,27,"England","England",13754,0.00196306529009743,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-29,76,"England","England",22472,0.00338198647205411,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-11-30,82,"England","England",21473,0.00381874912681041,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-01,103,"England","England",21100,0.00488151658767772,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-02,149,"England","England",18808,0.00792216078264568,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-03,211,"England","England",17544,0.0120269037847697,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-04,242,"England","England",14772,0.0163823449769835,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-05,374,"England","England",15149,0.0246880982243052,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-06,867,"England","England",19433,0.0446148304430608,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-07,1664,"England","England",19533,0.0851891670506323,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-08,2486,"England","England",19497,0.127506795917321,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-09,3506,"England","England",21625,0.162127167630058,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-10,5079,"England","England",24712,0.205527678860473,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-11,4036,"England","England",18213,0.221599956075331,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-12,6323,"England","England",19221,0.328963113261537,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-13,12512,"England","England",29447,0.424898971032703,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-14,19753,"England","England",34831,0.567109758548419,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-15,25153,"England","England",39156,0.642379201144141,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-16,27789,"England","England",40881,0.679753430689073,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-17,25903,"England","England",37069,0.698777954625158,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-18,25525,"England","England",34555,0.738677470698886,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-19,25383,"England","England",33068,0.767600096770292,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-20,39703,"England","England",49037,0.809653934783939,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-21,49562,"England","England",57732,0.858484029654265,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-22,55694,"England","England",62682,0.888516639545643,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-23,39253,"England","England",43818,0.895819069788671,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
2021-12-24,19421,"England","England",21495,0.903512444754594,"","UKHSA, https://www.gov.uk/government/publications/covid-19-omicron-daily-overview"
