country,date,pos_tests,sgtf,prop_sgtf,comment,source
Scotland,2021-11-23,11653,12,0.001,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-11-24,20900.5,42,0.002,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-11-25,21505.5,129,0.006,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-11-26,16888,34,0.002,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-11-27,14900,30,0.002,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-11-28,12459,75,0.006,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-11-29,11066.5,44,0.004,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-11-30,11880.5,95,0.008,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-01,18759,188,0.01,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-02,21409.5,278,0.013,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-03,17222.5,276,0.016,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-04,11487.5,92,0.008,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-05,14508.5,290,0.02,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-06,16083,515,0.032,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-07,17781,747,0.042,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-08,20200.5,1374,0.068,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
Scotland,2021-12-09,21193.5,2819,0.133,"For pos_tests I took half the total nr of positive tests (as ca half are Lighthouse labs TaqPath tests) from https://www.gov.scot/publications/coronavirus-covid-19-trends-in-daily-data/, prop SGTF from https://www.gov.scot/binaries/content/documents/govscot/publications/research-and-analysis/2021/12/omicron-scotland-evidence-paper/documents/omicron-scotland-evidence-paper/omicron-scotland-evidence-paper/govscot%3Adocument/omicron-scotland-evidence-paper.pdf",Public Health Scotland
