country,date,pos_tests,sgtf,comment,source
South Africa,2020-06-05,17.4,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-06,24.4,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-07,24.4,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-08,38.3,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-09,38.3,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-12,52.3,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-13,52.3,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-14,31.4,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-16,80.1,0.1,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-17,87.1,0.1,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-21,17.4,0.1,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-22,17.4,0.1,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-23,17.4,0.2,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-24,24.4,0.3,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-25,73.2,0.8,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-26,101,1.1,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-27,108,0.8,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-28,3.5,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-29,3.5,0,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
South Africa,2020-06-30,233.4,0.9,"Traced by Alex Selby from original graph of Lesley Scott & NHLS team shown on press conference https://www.youtube.com/watch?v=Vh4XMueP1zQ, https://twitter.com/chrischirp/status/1463885565221384202/photo/1, source: https://github.com/alex1770/Covid-19/blob/master/VOCgrowth/EarlyOmicronEstimate/SA_sgtf",Lesley Scott & NHLS team
