STATE,CASES_DAILY,CASES_PER100K,CASES_14D_CHANGE,HOSPITALISED_DAILY,HOSPITALISED_PER100K,HOSPITALISED_14D_CHANGE,DEATHS,DEATHS_PER_100K,FULLY_VAXXED,CHR,CFR,AREA_KM2,POPULATION_2021,POPDENS,MEDIAN_AGE,TRUMP_VOTE_2020
Alabama,2864,58,-0.25,2299,47,-0.22,134.6,2.74,0.42,0.802723464,0.046997207,131169.9,4934193,37.61680843,39.4,0.62
Alaska,915,125,0.46,212,29,0.12,2.9,0.39,0.5,0.231693989,0.003169399,1477953.4,724357,0.490108145,35,0.528
Arizona,2443,34,-0.12,1964,27,-0.06,52.4,0.72,0.51,0.803929595,0.021449038,294207.1,7520103,25.56057621,38.2,0.491
Arkansas,1275,42,-0.24,1031,34,-0.17,21.9,0.72,0.45,0.808627451,0.017176471,134770,3033946,22.5120279,38.5,0.624
California,8290,21,-0.18,6642,17,-0.19,101,0.26,0.58,0.801206273,0.012183353,403932,39613493,98.06970728,37,0.343
Colorado,1656,29,-0.20,1010,18,0.07,14.4,0.25,0.59,0.609903382,0.008695652,268431.5,5893634,21.95582113,37.1,0.419
Connecticut,638,18,0.16,360,10,-0.14,7.6,0.21,0.68,0.564263323,0.011912226,12540.7,3552821,283.3032446,41.1,0.392
Delaware,467,48,0.27,271,28,0.02,4.1,0.43,0.57,0.580299786,0.008779443,5047.9,990334,196.1873254,41.1,0.398
Florida,8227,38,-0.42,8888,41,-0.34,327.7,1.53,0.56,1.080345205,0.03983226,138888.1,21944577,158.0018519,42.5,0.512
Georgia,4747,45,-0.38,5306,50,-0.18,120.1,1.13,0.45,1.117758584,0.02530019,148958,10830007,72.70510479,37.1,0.493
Hawaii,434,31,-0.32,344,24,-0.23,8.4,0.6,0.57,0.792626728,0.019354839,16635.5,1406430,84.54389709,39.6,0.343
Idaho,1221,68,0.24,731,41,0.3,17.1,0.96,0.41,0.598689599,0.014004914,214044.4,1860123,8.690360505,36.9,0.639
Illinois,3179,25,-0.17,2076,16,-0.09,40.7,0.32,0.53,0.653035546,0.012802768,143793.5,12569321,87.41230306,38.6,0.406
Indiana,3200,48,-0.14,2437,36,0,42.4,0.63,0.48,0.7615625,0.01325,92788.9,6805663,73.3456588,37.9,0.57
Iowa,1729,55,0.38,650,21,0.07,13.7,0.43,0.54,0.37593985,0.007923655,144669,3167974,21.89808459,38.5,0.531
Kansas,1168,40,-0.15,669,23,-0.14,17.3,0.59,0.51,0.572773973,0.014811644,211754.8,2917224,13.77642443,37.1,0.562
Kentucky,3770,84,-0.08,2448,55,-0.02,38.1,0.85,0.51,0.64933687,0.010106101,102268.3,4480713,43.81331263,39.1,0.621
Louisiana,1438,31,-0.38,1195,26,-0.33,48,1.03,0.45,0.831015299,0.033379694,111897.8,4627002,41.35024996,37.5,0.585
Maine,466,35,0.30,219,16,0.22,4.3,0.32,0.68,0.469957082,0.009227468,79883,1354522,16.95632362,45,0.44
Maryland,1215,20,0.25,1002,17,-0.04,15.7,0.26,0.64,0.824691358,0.012921811,25141,6065436,241.2567519,39.1,0.322
Massachusetts,1733,25,0.06,588,9,0.14,14.7,0.21,0.68,0.339296018,0.0084824,20201.9,6912239,342.1578663,39.6,0.321
Michigan,3225,32,0.46,1495,15,0.14,29.6,0.3,0.52,0.463565891,0.009178295,146435.3,9992427,68.23782927,39.9,0.478
Minnesota,2192,39,0.37,853,15,0.16,11.3,0.2,0.58,0.389142336,0.005155109,206233,5706398,27.66966489,38.3,0.453
Mississippi,1472,49,-0.31,1014,34,-0.3,32.9,1.1,0.43,0.688858696,0.022350543,121530,2966407,24.40884555,38,0.576
Missouri,1960,32,-0.07,1855,30,-0.11,38.4,0.63,0.47,0.946428571,0.019591837,178041,6169038,34.64953578,38.9,0.568
Montana,931,87,0.66,391,37,0.24,9.3,0.87,0.48,0.419978518,0.009989259,376962.4,1085004,2.87828176,40.1,0.569
Nebraska,694,36,-0.03,444,23,0.16,3.4,0.18,0.54,0.639769452,0.004899135,198973.2,1951996,9.810346318,36.8,0.585
Nevada,956,31,-0.07,984,32,0.1,23.1,0.75,0.5,1.029288703,0.02416318,284331.5,3185786,11.20447787,38.3,0.477
New Hampshire,401,29,0.14,130,10,-0.06,2.4,0.18,0.61,0.324189526,0.005985037,23188.2,1372203,59.17677957,43.1,0.454
New Jersey,2185,25,0.12,1200,14,0.04,20,0.23,0.64,0.549199085,0.009153318,19046.8,8874520,465.9323351,40.1,0.414
New Mexico,588,28,-0.09,396,19,-0.12,10.4,0.5,0.63,0.673469388,0.017687075,314160.4,2105005,6.70041482,38.4,0.435
New York,5101,26,0.13,2497,13,-0.11,35.1,0.18,0.63,0.48951186,0.006881004,122055.8,19299981,158.1242432,39.2,0.377
North Carolina,5990,57,-0.09,3459,33,-0.05,70.7,0.67,0.49,0.577462437,0.011803005,125920,10701022,84.9827033,39.1,0.499
North Dakota,470,62,0.21,219,29,-0.13,1.7,0.22,0.44,0.465957447,0.003617021,178711.8,770026,4.308758571,35.3,0.651
Ohio,6523,56,0.10,4039,35,0.24,47.3,0.4,0.5,0.619193623,0.007251265,105829.5,11714618,110.6933133,39.5,0.533
Oklahoma,1887,48,-0.22,1384,35,-0.13,46,1.16,0.47,0.733439322,0.024377318,177660.2,3990443,22.46109708,36.9,0.654
Oregon,1592,38,-0.13,1132,27,-0.06,16.1,0.38,0.6,0.711055276,0.010113065,248607.8,4289439,17.25383918,39.6,0.404
Pennsylvania,4672,36,0.31,2774,22,0.2,37.4,0.29,0.57,0.59375,0.008005137,115883.8,12804123,110.4910522,40.8,0.488
Puerto Rico,253,7,-0.51,299,9,-0.37,7.7,0.23,0.65,1.181818182,0.030434783,9103.8,3194374,350.8835871,43.6,0.2
Rhode Island,331,31,0.12,100,9,-0.3,1.4,0.13,0.68,0.302114804,0.004229607,2678,1061509,396.3812547,40.1,0.386
South Carolina,3404,66,-0.29,2413,47,-0.04,60.7,1.18,0.46,0.708871915,0.017831962,77857.6,5277830,67.78824418,39.9,0.551
South Dakota,417,47,0.05,218,25,-0.01,2.7,0.31,0.51,0.522781775,0.00647482,196349.6,896581,4.566248161,37.4,0.618
Tennessee,4507,66,-0.36,3192,47,-0.03,64.3,0.94,0.45,0.70823164,0.014266696,106798.2,6944260,65.02225693,39,0.607
Texas,12196,42,-0.37,12858,44,-0.11,290.7,1,0.51,1.054280092,0.023835684,676587.8,29730311,43.94154166,35,0.521
U.S. Virgin Islands,26,25,0.30,5,5,-0.3,0.3,0.27,0.43,0.192307692,0.011538462,347.1,104236,300.3053875,41.8,
Utah,1399,44,-0.02,583,18,0.17,11.6,0.36,0.5,0.416726233,0.008291637,212819.3,3310774,15.55673757,31.3,0.581
Vermont,207,33,0.38,50,8,0.52,1,0.16,0.69,0.241545894,0.004830918,23871.9,623251,26.10814388,43,0.307
Virginia,3428,40,0.03,2097,25,0.08,36.6,0.43,0.6,0.611726954,0.010676779,102278.6,8603985,84.1230228,38.6,0.44
Washington,2887,38,-0.11,1759,23,0.06,41.1,0.54,0.6,0.609282993,0.014236231,172120.2,7796941,45.29939542,37.8,0.388
"Washington, D.C.",196,28,0.20,145,21,0.09,0.7,0.1,0.59,0.739795918,0.003571429,177,690345,3900.254237,34,0.054
West Virginia,1695,95,0.12,993,55,0.23,25.6,1.43,0.4,0.585840708,0.015103245,62258.1,1767859,28.39564651,42.9,0.686
