"","x"
"1","New York"
"2","Texas"
"3","Florida"
"4","Colorado"
"5","West Virginia"
"6","Michigan"
"7","New Jersey"
"8","Connecticut"
"9","New Hampshire"
"10","Maine"
"11","Georgia"
"12","Arizona"
"13","Iowa"
"14","Montana"
"15","Oregon"
"16","Kentucky"
"17","Tennessee"
"18","Wyoming"
"19","California"
"20","Massachusetts"
"21","South Carolina"
"22","Virginia"
"23","Louisiana"
"24","Nevada"
"25","Indiana"
"26","Alabama"
"27","North Carolina"
"28","Wisconsin"
"29","Arkansas"
"30","Delaware"
"31","Maryland"
"32","Utah"
"33","Illinois"
"34","Mississippi"
"35","New Mexico"
"36","Kansas"
"37","Rhode Island"
"38","Alaska"
"39","Washington"
"40","Missouri"
"41","Minnesota"
"42","Nebraska"
"43","Hawaii"
"44","North Dakota"
"45","Oklahoma"
"46","Ohio"
"47","Pennsylvania"
"48","Idaho"
"49","Vermont"
"50","South Dakota"
"51","Scotland"
"52","England"
"53","Northern Ireland"
"54","Wales"
"55","Grace-hollogne"
"56","Hasselt"
"57","Brabant Wallon"
"58","Namur"
"59","Antwerpen"
"60","Tielt"
"61","Mechelen"
"62","Kortrijk"
"63","Halle-Vilvoorde"
"64","Turnhout"
"65","Vlaams-Brabant"
"66","Soignies"
"67","Liège"
"68","Leuven"
"69","Hainaut"
"70","Gent"
"71","Roeselare"
"72","Wallonia"
"73","Limburg BE"
"74","Neufchâteau"
"75","Veurne"
"76","Ath"
"77","Oostende"
"78","Aalst"
"79","Oudenaarde"
"80","Eeklo"
"81","Vlaanderen"
"82","Ieper"
"83","Nivelles"
"84","Diksmuide"
"85","St Jans Molenbeek"
"86","Huy"
"87","Oost-Vlaanderen"
"88","Baelen (lg.)"
"89","Brugge"
"90","West-Vlaanderen"
"91","Dendermonde"
"92","Rotheux-rimiere"
"93","Hofstade (vl.-br.)"
"94","Thuin"
"95","Luxembourg BE"
"96","Tournai-Mouscron"
"97","Saint germain en laye"
"98","Berchem (antwerpen)"
"99","SANS DOMICILE FIXE"
"100","Brussels"
"101","S gravenvoeren"
"102","Verviers"
"103","Ruisbroek (vl.-br.)"
"104","Belgium"
"105","Hamme (o.-vl.)"
"106","Charleroi"
"107","Philippeville"
"108","MERBES-LE-CHATEAU"
"109","Maaseik"
"110","Romsee"
"111","Ri? 1"
"112","Alftanes"
"113","Marche-en-Famenne"
"114","La Louvière"
"115","Tongeren"
"116","Sint-Niklaas"
"117","Dinant"
"118","Bruxelles-Capitale"
"119","Grand-Bigard"
"120","Valencia"
"121","La neuville aux goutes"
"122","St-pieters-leeuw"
"123","Bedum"
"124","Jeneffe (lg.)"
"125","Bievene"
"126","St-joris-weert"
"127","S Herenelderen"
"128","SalerNO"
"129","Chenee"
"130","Sans Domicile Fixe"
"131","Zwevelezele"
"132","Waremme"
"133","Salerno"
"134","Peronnes"
"135","Berchem (Antwerpen)"
"136","Alicante"
"137","Mons"
"138","Helecine"
"139","Machelen (vl.-br.)"
"140","Saint omer"
"141","Zierikzee"
"142","Chennai"
"143","Wakkerzeel"
"144","Melin"
"145","Ferrieres"
"146","RHODE ST GENESE"
"147","Lille (antw.)"
"148","Mont-Saint-Aubert"
"149","Evere (brux.)"
"150","Benoni"
"151","Wagnelee"
"152","Chievres"
"153","Berg (bt.)"
"154","Merksem (antwerpen)"
"155","Flandre orientale"
"156","St jans Molenbeek"
"157","Saint-nicolas (lg.)"
"158","Maastricht"
"159","Okselaar"
"160","Brussels Hoofdstedelijk Gewest"
"161","Plombieres"
"162","Machelen (Brab.)"
"163","Bastogne"
"164","Erezee"
"165","Virton"
"166","Vaux-sur-sure"
"167","Bossiere"
"168","Bievre"
"169","Flandre-Occidentale"
"170","Magnee"
"171","Sint-niklaas"
"172","St Joost ten Node"
"173","Wijgmaal (bt.)"
"174","Willemeau"
"175","Thimeon"
"176","Borsbeek (antw.)"
"177","Reves"
"178","Jambes (Namur)"
"179","SOLEUVRE"
"180","Wijgmaal (brabant)"
"181","Anderlecht (brux.)"
"182","Nairobi"
"183","Ekeren (antwerpen)"
"184","Isenbruch"
"185","Deurne (vl.-br.)"
"186","Wanfercee-baulet"
"187","Rhode St Genese"
"188","Saint-Nicolas (LG.)"
"189","Rhode-St-Genese"
"190","Tel aviv"
"191","Leeuwarden"
"192","Kapello-Op-Den-Bos"
"193","Glyfada"
"194","Neufchateau"
"195","Rhode-Saint-Genese"
"196","Grace-Hollogne"
"197","Nîmes"
"198","Leglise"
"199","Wijhe"
"200","Buenos aires"
"201","Xxxxxxx"
"202","La bruyere"
"203","St-stevens-woluwe"
"204","Arlon"
"205","RHODE-ST-GENESE"
"206","Thy-le-chateau"
"207","Jette (brux.)"
"208","Faisalabad"
"209","Samara"
"210","Poelare"
"211","St-niklaas"
"212","Olv-waver"
"213","HELECINE"
"214","Kapellen (bt.)"
"215","Bas-Werneton"
"216","St-amands"
"217","Sars-la-Bruyere"
"218","Rome"
"219","Sint-pieters-kapelle (vl.-br.)"
"220","Malden"
"221","Borgerhout (antwerpen)"
"222","Curienne"
"223","Susteren"
"224","London"
"225","Anseroeul"
"226","Lodz"
"227","Vise"
"228","Phra kanong nuea khlong toei"
"229","St-Joost-Ten-Node"
"230","Zürich"
"231","Selfkant"
"232","Kapellen (vl.-br.)"
"233","Comblain au pont"
"234","Heist-o"
"235","St-agatha-rode"
"236","Hainault"
"237","Saint-denis-boveresse"
"238","St-pieters-rode"
"239","St-Katherina-Lombeek"
"240","Grillon"
"241","Den haag"
"242","Bizet"
"243","Courriere"
"244","Sellerich"
"245","Wanfercee-Baulet"
"246","Pondrome"
"247","Flandre Occidentale"
"248","Vedrin"
"249","Frederiksberg"
"250","Brussels-Capital Region"
"251","Saint-remy (lg.)"
"252","Rumillies"
"253","Ettelbruck"
"254","Meldert (vl.-br.)"
"255","Compeigne"
"256","St-katelijne-waver"
"257","Brussel (laken)"
"258","roeselare"
"259","Waldbredimus"
"260","Sint-denijs-westrem"
"261","Bruxelles-ville"
"262","Berlijn"
"263","Stree (ht.)"
"264","Saint-andre"
"265","Thessaloniki"
"266","St-genesius-rode"
"267","Ericeira"
"268","Jamiloux"
"269","Sint Lievens Houtem"
"270","Sint-pieters-kapelle"
"271","Zebrzydowice"
"272","St-lievens-houtem"
"273","Brabant wallon"
"274","Gnoelselderen"
"275","Valansart"
"276","Marche-en-famenne"
"277","Amsterdam"
"278","Brussel 7"
"279","Lamain"
"280","Alep"
"281","Aigio"
"282","Rhode Saint Genese"
"283","G.D.Luxembourg"
"284","Berverlo"
"285","St-joris-winge"
"286","Sint-joris"
"287","Woluwe-st-pierre"
"288","ROESELARE"
"289","Boninne"
"290","Beveren-aan-den-Ijzer"
"291","Mennecy"
"292","L'ecluse"
"293","Heerle"
"294","Machelen (bt.)"
"295","Sint-Joris (Beernem)"
"296","Brussel 3"
"297","Brognon"
"298","Beclers"
"299","Celles (ht.)"
"300","Berg (vl.-br.)"
"301","Brookside gardens"
"302","Kerkrade"
"303","Vereebroek"
"304","Strassen BE"
"305","St Kruis"
"306","Lubumbashi"
"307","Berendrecht"
"308","St-nicolas"
"309","St.Kruis"
"310","Pommeroeul"
"311","Quievrain"
"312","Wepion"
"313","Relst"
"314","Flandre Orientale"
"315","Carmona"
"316","Heusden (o.-vl.)"
"317","Mevergnies-lez-Lens"
"318","Perwez-haillot"
"319","Teplicka nad vahom"
"320","Meldert (limb.)"
"321","Barry"
"322","mechelen"
"323","Ruisbroek (bt.)"
"324","Anhee"
"325","Rhode-saint-genese"
"326","Pantin"
"327","Froidmont"
"328","Flandre occidentale"
"329","Meslin-L'eveque"
"330","Oirbeek"
"331","Ville-pommeroeul"
"332","Carniers"
"333","Sint Katharina Lombeek"
