"LINEAGE","DATE_NUM","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"Omicron (BA.1)",18322,0,5.28139215233651e-05,NA,0,0,2020-03-01
"Other",18322,1,5.37168494160307e-05,NA,1,1,2020-03-01
"Alpha",18322,0,1.93250115919235e-14,NA,0,0,2020-03-01
"Beta",18322,0,2.36658913210176e-20,NA,0,0,2020-03-01
"Gamma",18322,0,1.00344692649765e-30,NA,0,0,2020-03-01
"Delta",18322,0,1.27106159960703e-28,NA,0,0,2020-03-01
"Omicron (BA.2)",18322,0,5.17572986006761e-65,NA,0,0,2020-03-01
"Omicron (BA.3)",18322,0,2.89120279976251e-14,NA,0,0,2020-03-01
"Omicron (BA.1.1, with S:R346K)",18322,0,1.75770932781477e-06,NA,0,0,2020-03-01
"Omicron (BA.4)",18322,0,3.25986913147026e-61,NA,0,0,2020-03-01
"Omicron (BA.5)",18322,0,4.12170946184095e-54,NA,0,0,2020-03-01
"Omicron (BA.1)",18329,0,2.51559450335809e-06,NA,0,0,2020-03-08
"Other",18329,1,2.5297598269516e-06,NA,1,1,2020-03-08
"Alpha",18329,0,4.34359190318254e-14,NA,0,0,2020-03-08
"Beta",18329,0,8.06461134096621e-20,NA,0,0,2020-03-08
"Gamma",18329,0,5.71994128640682e-30,NA,0,0,2020-03-08
"Delta",18329,0,4.87073837472708e-28,NA,0,0,2020-03-08
"Omicron (BA.2)",18329,0,9.63448137296001e-66,NA,0,0,2020-03-08
"Omicron (BA.3)",18329,0,2.29367020304374e-15,NA,0,0,2020-03-08
"Omicron (BA.1.1, with S:R346K)",18329,0,2.75166996399119e-08,NA,0,0,2020-03-08
"Omicron (BA.4)",18329,0,5.5526847155664e-60,NA,0,0,2020-03-08
"Omicron (BA.5)",18329,0,5.1083686019886e-54,NA,0,0,2020-03-08
"Omicron (BA.1)",18336,0,1.21632678516062e-07,NA,0,0,2020-03-15
"Other",18336,1,1.21863027314452e-07,NA,1,1,2020-03-15
"Alpha",18336,0,9.73879413736463e-14,NA,0,0,2020-03-15
"Beta",18336,0,2.73740443588823e-19,NA,0,0,2020-03-15
"Gamma",18336,0,3.24614677731812e-29,NA,0,0,2020-03-15
"Delta",18336,0,1.86188402914881e-27,NA,0,0,2020-03-15
"Omicron (BA.2)",18336,0,1.81862861277935e-66,NA,0,0,2020-03-15
"Omicron (BA.3)",18336,0,1.83357696929358e-16,NA,0,0,2020-03-15
"Omicron (BA.1.1, with S:R346K)",18336,0,4.39708776090237e-10,NA,0,0,2020-03-15
"Omicron (BA.4)",18336,0,9.43823001562103e-59,NA,0,0,2020-03-15
"Omicron (BA.5)",18336,0,6.36300749298272e-54,NA,0,0,2020-03-15
"Omicron (BA.1)",18343,0,5.98650343176574e-09,NA,0,0,2020-03-22
"Other",18343,1,5.99036783900049e-09,NA,1,1,2020-03-22
"Alpha",18343,0,2.17730709446952e-13,NA,0,0,2020-03-22
"Beta",18343,0,9.24862157481025e-19,NA,0,0,2020-03-22
"Gamma",18343,0,1.83256783508975e-28,NA,0,0,2020-03-22
"Delta",18343,0,7.09668068226875e-27,NA,0,0,2020-03-22
"Omicron (BA.2)",18343,0,3.48959235206992e-67,NA,0,0,2020-03-22
"Omicron (BA.3)",18343,0,1.4808933655185e-17,NA,0,0,2020-03-22
"Omicron (BA.1.1, with S:R346K)",18343,0,7.1973226521194e-12,NA,0,0,2020-03-22
"Omicron (BA.4)",18343,0,1.59921637615307e-57,NA,0,0,2020-03-22
"Omicron (BA.5)",18343,0,7.9719123693293e-54,NA,0,0,2020-03-22
"Omicron (BA.1)",18350,0,3.00709854831147e-10,NA,0,0,2020-03-29
"Other",18350,1,3.0077628268486e-10,NA,1,1,2020-03-29
"Alpha",18350,0,4.85193518349476e-13,NA,0,0,2020-03-29
"Beta",18350,0,3.10798056238302e-18,NA,0,0,2020-03-29
"Gamma",18350,0,1.02823725543508e-27,NA,0,0,2020-03-29
"Delta",18350,0,2.69592413295577e-26,NA,0,0,2020-03-29
"Omicron (BA.2)",18350,0,6.82295827879503e-68,NA,0,0,2020-03-29
"Omicron (BA.3)",18350,0,1.21150108404583e-18,NA,0,0,2020-03-29
"Omicron (BA.1.1, with S:R346K)",18350,0,1.21074579653401e-13,NA,0,0,2020-03-29
"Omicron (BA.4)",18350,0,2.69800081713036e-56,NA,0,0,2020-03-29
"Omicron (BA.5)",18350,0,1.00530906331533e-53,NA,0,0,2020-03-29
"Omicron (BA.1)",18357,0,1.54552013632521e-11,NA,0,0,2020-04-05
"Other",18357,1,1.54916538336112e-11,NA,1,1,2020-04-05
"Alpha",18357,0,1.07723991608601e-12,NA,0,0,2020-04-05
"Beta",18357,0,1.03806005656145e-17,NA,0,0,2020-04-05
