"DATE_NUM","LINEAGE","prob","collection_date","totcases","cases","smoothed_totcases","smoothed_cases"
18308,"Alpha",0,2020-02-16,NA,NA,38.551722539792,NA
18309,"Alpha",0,2020-02-17,NA,NA,46.4225989499714,NA
18310,"Alpha",0,2020-02-18,NA,NA,55.9004254880052,NA
18311,"Alpha",0,2020-02-19,NA,NA,67.3132836252361,NA
18312,"Alpha",0,2020-02-20,NA,NA,81.0562372800497,NA
18313,"Alpha",0,2020-02-21,NA,NA,97.6050082265864,NA
18314,"Alpha",0,2020-02-22,NA,NA,117.532443530497,NA
18315,"Alpha",0,2020-02-23,NA,NA,141.52834504333,NA
18316,"Alpha",0,2020-02-24,NA,NA,170.423347367118,NA
18317,"Alpha",0,2020-02-25,NA,NA,205.21767084128,NA
18318,"Alpha",0,2020-02-26,NA,NA,247.115744856245,NA
18319,"Alpha",0,2020-02-27,NA,NA,297.567900003537,NA
18320,"Alpha",0,2020-02-28,NA,NA,358.320572264731,NA
18321,"Alpha",0,2020-02-29,NA,NA,431.476757091738,NA
18322,"Alpha",0,2020-03-01,19,NA,519.568806037897,NA
18323,"Alpha",0,2020-03-02,19,NA,625.59271129657,NA
18324,"Alpha",0,2020-03-03,34,NA,752.866514159477,NA
18325,"Alpha",0,2020-03-04,53,NA,905.106453491125,NA
18326,"Alpha",0,2020-03-05,81,NA,1086.46167444116,NA
18327,"Alpha",0,2020-03-06,110,NA,1301.48725400225,NA
18328,"Alpha",0,2020-03-07,27,NA,1555.08408260518,NA
18329,"Alpha",0,2020-03-08,64,NA,1852.39658279128,NA
18330,"Alpha",0,2020-03-09,94,NA,2198.65908253351,NA
18331,"Alpha",0,2020-03-10,99,NA,2598.98237813312,NA
18332,"Alpha",0,2020-03-11,174,NA,3058.07394751215,NA
18333,"Alpha",0,2020-03-12,250,NA,3579.88872916082,NA
18334,"Alpha",0,2020-03-13,338,NA,4167.21262255547,NA
18335,"Alpha",0,2020-03-14,179,NA,4821.18801506607,NA
18336,"Alpha",0,2020-03-15,214,NA,5540.79959988883,NA
18337,"Alpha",0,2020-03-16,387,NA,6322.34911130724,NA
18338,"Alpha",0,2020-03-17,422,NA,7158.95857440012,NA
18339,"Alpha",0,2020-03-18,534,NA,8040.34390677688,NA
18340,"Alpha",0,2020-03-19,713,NA,8955.03915183466,NA
18341,"Alpha",0,2020-03-20,662,NA,9890.71862523963,NA
18342,"Alpha",0,2020-03-21,469,NA,10833.1974662913,NA
18343,"Alpha",0,2020-03-22,486,NA,11766.705561664,NA
18344,"Alpha",0,2020-03-23,1328,NA,12674.2855457662,NA
