"variant","date","count","total","prop","date_num"
"Other",2019-12-02,1,1,1,18232
"Other",2019-12-23,2,2,1,18253
"Other",2019-12-30,35,35,1,18260
"Other",2020-01-06,11,11,1,18267
"Other",2020-01-13,33,33,1,18274
"Other",2020-01-20,272,272,1,18281
"Other",2020-01-27,350,350,1,18288
"Other",2020-02-03,278,278,1,18295
"Other",2020-02-10,190,190,1,18302
"Other",2020-02-17,286,286,1,18309
"Other",2020-02-24,1026,1026,1,18316
"Other",2020-03-02,3496,3496,1,18323
"Other",2020-03-09,9128,9135,0.999233716475096,18330
"Other",2020-03-16,15776,15777,0.999936616593776,18337
"Other",2020-03-23,20343,20344,0.99995084545812,18344
"Other",2020-03-30,18948,18948,1,18351
"Other",2020-04-06,15169,15173,0.99973637382192,18358
"Other",2020-04-13,12609,12609,1,18365
"Other",2020-04-20,10189,10189,1,18372
"Other",2020-04-27,9221,9235,0.998484028153763,18379
"Other",2020-05-04,7367,7371,0.999457332790666,18386
"Other",2020-05-11,6476,6481,0.999228514118192,18393
"Other",2020-05-18,5691,5691,1,18400
"Other",2020-05-25,5181,5181,1,18407
"Other",2020-06-01,5484,5501,0.996909652790402,18414
"Other",2020-06-08,7370,7381,0.998509687034277,18421
"Other",2020-06-15,9720,9733,0.998664337819788,18428
"Other",2020-06-22,7752,7811,0.99244654973755,18435
"Other",2020-06-29,8402,8416,0.998336501901141,18442
"Other",2020-07-06,9171,9212,0.995549283543204,18449
"Other",2020-07-13,10125,10203,0.992355189650103,18456
"Other",2020-07-20,9624,9700,0.992164948453608,18463
"Other",2020-07-27,10069,10223,0.984935928788027,18470
"Other",2020-08-03,9599,9829,0.97659985756435,18477
"Other",2020-08-10,9260,9666,0.9579971032485,18484
"Other",2020-08-17,8634,9460,0.912684989429176,18491
"Other",2020-08-24,9015,10172,0.886256390090444,18498
"Other",2020-08-31,7836,9608,0.815570358034971,18505
"Other",2020-09-07,7799,10246,0.76117509271911,18512
"Other",2020-09-14,8666,11931,0.726343139720057,18519
"Other",2020-09-21,9855,14277,0.690271065349863,18526
"Other",2020-09-28,8697,12730,0.68318931657502,18533
"Other",2020-10-05,11589,17885,0.647973161867487,18540
"Other",2020-10-12,11039,18178,0.607272527230718,18547
"Other",2020-10-19,11654,20725,0.562316043425814,18554
"Other",2020-10-26,13041,21904,0.595370708546384,18561
"Other",2020-11-02,18196,29472,0.617399565689468,18568
"Other",2020-11-09,16733,28661,0.583824709535606,18575
"Other",2020-11-16,14731,23571,0.624962878112935,18582
"Other",2020-11-23,13513,20819,0.649070560545655,18589
