"rowid","type","group","term","contrast","dydx","std.error","statistic","p.value","conf.low","conf.high","predicted","predicted_hi","predicted_lo"
1,"link","Omicron (BQ.1.1*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0
1,"link","Other","date_num","mean(dY/dX)",-0.00108497861037826,0.000151480979931122,-7.16247419888354,7.92337846480364e-13,-0.00138187587538609,-0.000788081345370423,-2.02851381799327,-2.0286398925078,-2.02851381799327
1,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-0.479122809526976,0.0022687507786893,-211.183535021759,0,-0.483569479343105,-0.474676139710848,-200.786957073464,-200.842631143931,-200.786957073464
1,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-0.435728081928164,0.0038311466676167,-113.733072557941,0,-0.443236991416183,-0.428219172440145,-187.21616605137,-187.26679765449,-187.21616605137
1,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-0.476866816324912,0.00562934123530436,-84.7109450985573,0,-0.487900122402795,-0.46583351024703,-204.193118724823,-204.24853064888,-204.193118724823
1,"link","Beta","date_num","mean(dY/dX)",-0.134777222464616,0.00179770123564284,-74.9719807676611,0,-0.138300652141439,-0.131253792787792,-51.4300230686613,-51.4456841819117,-51.4300230686613
1,"link","Alpha","date_num","mean(dY/dX)",-0.287477372895932,0.00117145977116582,-245.400977457243,0,-0.289773391856754,-0.285181353935109,-104.033780835795,-104.067185706526,-104.033780835795
1,"link","Delta","date_num","mean(dY/dX)",-0.404354197224332,0.000861437175047709,-469.394877463859,0,-0.406042583062369,-0.402665811386295,-117.537574938783,-117.5845608965,-117.537574938783
1,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.407732489045812,0.00107698536617972,-378.586842356194,0,-0.409843341575401,-0.405621636516223,-96.8298815965514,-96.8772601117785,-96.8298815965514
1,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.249708497871218,0.000508436191642071,-491.130454472067,0,-0.250705014495273,-0.248711981247162,-49.4068802341425,-49.4358963615951,-49.4068802341425
1,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.24861410125988,0.000847834522096917,-293.234227647386,0,-0.25027582638804,-0.24695237613172,-46.2981164577893,-46.3270054163557,-46.2981164577893
