"rowid","type","group","term","contrast","dydx","std.error","statistic","p.value","conf.low","conf.high","predicted","predicted_hi","predicted_lo","region"
1,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0,"Asia"
2,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0,"Europe"
3,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0,"Oceania"
4,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0,"North America"
5,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0,"Africa"
6,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0,0,NA,NA,0,0,0,0,0,"South America"
1,"link","Other","date_num","mean(dY/dX)",-0.0316446297003903,0.00070762860481716,-44.7192630215489,0,-0.0330315562802623,-0.0302577031205183,-353.710708335582,-353.71458480272,-353.710708335582,"Asia"
2,"link","Other","date_num","mean(dY/dX)",-0.050576486051095,0.000268374925803625,-188.454587922654,0,-0.0511024912400237,-0.0500504808621662,-3.27686183449832,-3.28305745403958,-3.27686183449832,"Europe"
3,"link","Other","date_num","mean(dY/dX)",-0.027293062421264,0.00116252952521232,-23.4773068806827,6.95722298080142e-122,-0.0295715784216446,-0.0250145464208834,-890.636938336376,-890.640281736522,-890.636938336376,"Oceania"
4,"link","Other","date_num","mean(dY/dX)",-0.0365171840378619,0.000246739260958849,-147.999081686284,0,-0.0370007841029133,-0.0360335839728105,-543.303094400557,-543.307567755602,-543.303094400557,"North America"
5,"link","Other","date_num","mean(dY/dX)",-0.0792889777381342,0.00250069504727632,-31.7067760119305,1.25305417520282e-220,-0.0841902499671135,-0.074387705509155,-412.726088010957,-412.73580091073,-412.726088010957,"Africa"
6,"link","Other","date_num","mean(dY/dX)",-0.0737268799653344,0.0019809264268754,-37.2183837648261,3.44155481460702e-303,-0.0776094244180338,-0.069844335512635,-377.486260548154,-377.49529209095,-377.486260548154,"South America"
1,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-0.295641114383457,0.00210363397161216,-140.538286780417,0,-0.299764161204472,-0.291518067562442,-480.930567753953,-480.966783790465,-480.930567753953,"Asia"
2,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-0.572457472182986,0.00243769833880269,-234.835239073985,0,-0.577235273132212,-0.567679671233759,-235.710968518939,-235.781094559281,-235.710968518939,"Europe"
3,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-1.36595414863093,0.00494489065297394,-276.235460901328,0,-1.37564595621825,-1.35626234104361,-1467.70723586752,-1467.87456525072,-1467.70723586752,"Oceania"
4,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-0.493978738210658,0.00203086193582604,-243.236002160696,0,-0.49795915446245,-0.489998321958865,-747.617488623752,-747.678001019182,-747.617488623752,"North America"
5,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-1.11789597744509,0.0028514344426719,-392.046880235333,0,-1.12348468625701,-1.11230726863318,-881.501059946806,-881.638002204043,-881.501059946806,"Africa"
6,"link","B.1.177 (EU1)","date_num","mean(dY/dX)",-0.855775271992923,0.002391424109654,-357.851737187989,0,-0.860462377119605,-0.85108816686624,-704.189455418327,-704.294287889146,-704.189455418327,"South America"
1,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-0.732849801339138,0.00377782026108188,-193.987471793925,0,-0.740254192990925,-0.725445409687352,-670.485737682891,-670.575511783555,-670.485737682891,"Asia"
2,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-0.527796223564899,0.0042220436720239,-125.009655172963,0,-0.536071277103221,-0.519521170026577,-218.498366615158,-218.563021652545,-218.498366615158,"Europe"
3,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-1.2464751303608,0.00707052319441703,-176.291781539594,0,-1.26033310117371,-1.23261715954789,-1414.99736823289,-1415.15006143636,-1414.99736823289,"Oceania"
4,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-0.95698939944854,0.0024996335033323,-382.851885355499,0,-0.961888591089621,-0.952090207807459,-925.329957489492,-925.447188690925,-925.329957489492,"North America"
5,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-1.39151140100768,0.00347758347162334,-400.13745532271,0,-1.39832733936529,-1.38469546265007,-980.831171498807,-981.001631645431,-980.831171498807,"Africa"
6,"link","B.1.160 (EU2)","date_num","mean(dY/dX)",-0.5445703404645,0.00351393183392321,-154.97464555438,0,-0.551457520303118,-0.537683160625882,-585.939987598998,-586.006697465705,-585.939987598998,"South America"
1,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-0.670922511991583,0.00507563994486497,-132.184812019686,0,-0.680870583482011,-0.660974440501155,-651.666359502069,-651.748547509788,-651.666359502069,"Asia"
2,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-0.593586057693199,0.00645626277571189,-91.9395753106948,0,-0.606240100208321,-0.580932015178077,-246.422534594178,-246.495248886245,-246.422534594178,"Europe"
3,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-1.89759442208349,0.00683230274967092,-277.73863243617,0,-1.91098548940432,-1.88420335476266,-1710.73820466433,-1710.97065998104,-1710.73820466433,"Oceania"
4,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-0.278461592454603,0.00527270651031093,-52.811889284955,0,-0.288795907315862,-0.268127277593343,-661.164679573002,-661.198791118077,-661.164679573002,"North America"
5,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-2.01318003709442,0.00484977913766296,-415.107570870649,0,-2.02268542953722,-2.00367464465163,-1235.40084932014,-1235.64746387469,-1235.40084932014,"Africa"
6,"link","B.1.221 (20A/S:98F)","date_num","mean(dY/dX)",-0.113488005968529,0.00791178051157565,-14.3441802768019,1.15861144791143e-46,-0.128994810824804,-0.0979812011122553,-414.69324511242,-414.707147393151,-414.69324511242,"South America"
1,"link","Beta","date_num","mean(dY/dX)",-0.50299849331632,0.0041754915039236,-120.46449929156,0,-0.511182306281763,-0.494814680350876,-500.014309913557,-500.075927228989,-500.014309913557,"Asia"
2,"link","Beta","date_num","mean(dY/dX)",-0.192826857401505,0.00184182740432481,-104.693228555904,0,-0.19643677277972,-0.189216942023289,-58.5708228637286,-58.5944441537603,-58.5708228637286,"Europe"
3,"link","Beta","date_num","mean(dY/dX)",-0.159561890060494,0.0124665366276796,-12.7992155981973,1.65615630401325e-37,-0.183995852862695,-0.135127927258292,-935.858108395356,-935.877654726889,-935.858108395356,"Oceania"
4,"link","Beta","date_num","mean(dY/dX)",-0.502478478354681,0.0135985759626972,-36.9508160069886,7.0669632419875e-299,-0.5291311974826,-0.475825759226763,-699.912566648122,-699.97412026172,-699.912566648122,"North America"
5,"link","Beta","date_num","mean(dY/dX)",-0.416523296627595,0.00672664718913527,-61.9213829588616,0,-0.429707282855008,-0.403339310400182,-551.966994877571,-552.018018981408,-551.966994877571,"Africa"
6,"link","Beta","date_num","mean(dY/dX)",-0.477621069194356,0.0043784356945496,-109.084865580854,0,-0.486202645464298,-0.469039492924414,-536.279797842382,-536.338306423358,-536.279797842382,"South America"
1,"link","Alpha","date_num","mean(dY/dX)",-0.479778415744792,0.00282221648452272,-170.000571669799,0,-0.485309858411032,-0.474246973078552,-497.375557032406,-497.434329888335,-497.375557032406,"Asia"
2,"link","Alpha","date_num","mean(dY/dX)",-0.334644665125854,0.00130481058230477,-256.469919591508,0,-0.337202046873818,-0.332087283377889,-113.589815898194,-113.630809869672,-113.589815898194,"Europe"
3,"link","Alpha","date_num","mean(dY/dX)",-0.168496473677768,0.00698412270715153,-24.1256462325946,1.34542680453592e-128,-0.182185102647394,-0.154807844708143,-944.745620036363,-944.766260854388,-944.745620036363,"Oceania"
4,"link","Alpha","date_num","mean(dY/dX)",-0.496206784949821,0.00213656585977569,-232.245021925941,0,-0.500394377085579,-0.492019192814063,-694.231551122029,-694.292336453185,-694.231551122029,"North America"
5,"link","Alpha","date_num","mean(dY/dX)",-0.214732696655323,0.0101901638920418,-21.0725459305931,1.42083007717495e-98,-0.234705050880286,-0.194760342430361,-472.524286197427,-472.550590952767,-472.524286197427,"Africa"
6,"link","Alpha","date_num","mean(dY/dX)",-0.293800635055346,0.0116421208433822,-25.2360063091386,1.61329481315841e-140,-0.316618772612039,-0.270982497498654,-475.096206014746,-475.13219659254,-475.096206014746,"South America"
1,"link","Delta","date_num","mean(dY/dX)",-0.295109586922341,0.00128449738063741,-229.747130177796,0,-0.297627155526626,-0.292592018318055,-499.215125859981,-499.251276784379,-499.215125859981,"Asia"
2,"link","Delta","date_num","mean(dY/dX)",-0.541132541257514,0.00107130997678799,-505.112948616367,0,-0.543232270228296,-0.539032812286731,-162.729613187339,-162.795901923643,-162.729613187339,"Europe"
3,"link","Delta","date_num","mean(dY/dX)",-0.822266967752141,0.00683864837389197,-120.238228783823,0,-0.835670472267902,-0.808863463236379,-1067.48265104347,-1067.58337874702,-1067.48265104347,"Oceania"
4,"link","Delta","date_num","mean(dY/dX)",-0.463635478635464,0.00112348503510306,-412.676149792182,0,-0.465837468841436,-0.461433488429492,-681.634188160791,-681.690983506924,-681.634188160791,"North America"
5,"link","Delta","date_num","mean(dY/dX)",-0.360582765339429,0.00613749108880915,-58.7508413652771,0,-0.37261202682893,-0.348553503849927,-567.960331788576,-568.00450317733,-567.960331788576,"Africa"
6,"link","Delta","date_num","mean(dY/dX)",-0.505641087929875,0.00463859089474406,-109.007476495246,0,-0.514732559022588,-0.496549616837161,-480.87431399079,-480.936255024061,-480.87431399079,"South America"
1,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.38282722349016,0.00117710620932117,-325.227426768,0,-0.385134309266408,-0.380520137713912,-508.338347159724,-508.385243494601,-508.338347159724,"Asia"
2,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.511091365922079,0.00130739799425881,-390.922556227285,0,-0.513653818904287,-0.508528912939872,-130.315505600286,-130.378114292611,-130.315505600286,"Europe"
3,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.456588251329647,0.00396153767815312,-115.255309534885,0,-0.464352722502225,-0.448823780157068,-1097.38426034761,-1097.44019240839,-1097.38426034761,"Oceania"
4,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.705612676507854,0.00172678375437226,-408.628280594616,0,-0.708997110475512,-0.702228242540195,-573.87617202892,-573.962609581792,-573.87617202892,"North America"
5,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.256374504775819,0.0046430032458545,-55.2173865061848,0,-0.265474623917796,-0.247274385633841,-639.144919360766,-639.176325237601,-639.144919360766,"Africa"
6,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.476603459195275,0.00324659012700899,-146.801240855851,0,-0.482966658916776,-0.470240259473774,-449.080218646439,-449.13860257019,-449.080218646439,"South America"
1,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.169938022236238,0.000858839314510088,-197.869402768522,0,-0.171621316361185,-0.168254728111291,-534.08973520693,-534.110552614654,-534.08973520693,"Asia"
2,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.357892953982451,0.000664322080182666,-538.734093986524,0,-0.359195001333744,-0.356590906631159,-76.8005435287486,-76.8443854156115,-76.8005435287486,"Europe"
3,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.121113646387779,0.00181303847845149,-66.8014759903068,0,-0.12466713650813,-0.117560156267429,-1138.93257919434,-1138.94741561602,-1138.93257919434,"Oceania"
