"contrast","DATE_NUM","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Omicron (BA.5)",19190,-0.133934010050227,0.0427214337847455,NA,-0.217666481636241,-0.0502015384642131,0.0824431970340541
"Alpha - Omicron (BA.5)",19190,0.0290122134226317,0.00853294559607385,NA,0.0122879473722873,0.0457364794729761,0.0385411042402625
"Alpha - Beta",19190,0.162946223472859,0.0439528337528077,NA,0.0768002522988791,0.249092194646838,0.0144077130404302
"Other - Omicron (BA.5)",19190,-0.0607670970378499,0.00249447335068141,NA,-0.0656561749655804,-0.0558780191101194,3.40838468559923e-14
"Other - Beta",19190,0.073166913012377,0.0432065560380486,NA,-0.0115163807182099,0.157850206742964,0.868987142633764
"Other - Alpha",19190,-0.0897793104604816,0.0081842729386762,NA,-0.105820190659933,-0.0737384302610304,1.0413891970984e-13
"Delta - Omicron (BA.5)",19190,-0.27494781946284,0.00449325548308324,NA,-0.28375443838302,-0.266141200542659,3.40838468559923e-14
"Delta - Beta",19190,-0.141013809412613,0.0434176351910071,NA,-0.226110810680886,-0.05591680814434,0.0602783761188584
"Delta - Alpha",19190,-0.303960032885471,0.00885473291982935,NA,-0.321314990501058,-0.286605075269885,3.40838468559923e-14
"Delta - Other",19190,-0.21418072242499,0.00351214510854224,NA,-0.221064400346211,-0.207297044503768,3.40838468559923e-14
"Omicron (BA.1) - Omicron (BA.5)",19190,-0.186837052317541,0.00678145054761556,NA,-0.200128451153807,-0.173545653481275,3.40838468559923e-14
"Omicron (BA.1) - Beta",19190,-0.052903042267314,0.0437267147057911,NA,-0.138605828252923,0.0327997437182946,0.987588559998194
"Omicron (BA.1) - Alpha",19190,-0.215849265740172,0.0102760109029104,NA,-0.235989877014618,-0.195708654465727,3.40838468559923e-14
"Omicron (BA.1) - Other",19190,-0.126069955279691,0.00616384297684552,NA,-0.138150865520668,-0.113989045038714,3.40838468559923e-14
"Omicron (BA.1) - Delta",19190,0.0881107671452988,0.00774742401551908,NA,0.0729260951019207,0.103295439188677,7.4495964952348e-14
"Omicron (BA.2) - Omicron (BA.5)",19190,-0.0902055898718462,0.00231647716671962,NA,-0.0947458016896261,-0.0856653780540664,3.40838468559923e-14
"Omicron (BA.2) - Beta",19190,0.0437284201783806,0.0431591982729267,NA,-0.0408620540381791,0.12831889439494,0.997235709933523
"Omicron (BA.2) - Alpha",19190,-0.119217803294478,0.0082625526476163,NA,-0.135412108904172,-0.103023497684784,3.40838468559923e-14
"Omicron (BA.2) - Other",19190,-0.0294384928339963,0.00127034547746187,NA,-0.0319283242177449,-0.0269486614502477,3.40838468559923e-14
"Omicron (BA.2) - Delta",19190,0.184742229590993,0.00401949364663715,NA,0.176864166807497,0.19262029237449,3.40838468559923e-14
"Omicron (BA.2) - Omicron (BA.1)",19190,0.0966314624456946,0.00649701491782396,NA,0.0838975471997402,0.109365377691649,3.40838468559923e-14
"Omicron (BA.3) - Omicron (BA.5)",19190,-0.0264262650486441,0.00439117758393771,NA,-0.0350328149628816,-0.0178197151344066,6.51221010117276e-07
"Omicron (BA.3) - Beta",19190,0.107507745001583,0.0428859409264826,NA,0.0234528453425646,0.191562644660601,0.342764411682523
"Omicron (BA.3) - Alpha",19190,-0.0554384784712758,0.00906641939817323,NA,-0.0732083339604306,-0.0376686229821209,3.96644908140509e-07
"Omicron (BA.3) - Other",19190,0.0343408319892058,0.00393067614826382,NA,0.0266368483037181,0.0420448156746935,2.69562150378988e-13
"Omicron (BA.3) - Delta",19190,0.248521554414196,0.00534626297739628,NA,0.238043071526619,0.259000037301772,3.40838468559923e-14
"Omicron (BA.3) - Omicron (BA.1)",19190,0.160410787268897,0.0073381019209281,NA,0.146028371788993,0.1747932027488,3.40838468559923e-14
"Omicron (BA.3) - Omicron (BA.2)",19190,0.0637793248232021,0.00392687048410836,NA,0.0560828001023964,0.0714758495440079,3.40838468559923e-14
"Omicron (BA.4) - Omicron (BA.5)",19190,-0.056881840242213,0.00760626862360306,NA,-0.0717898528012121,-0.041973827683214,2.25767515793507e-10
"Omicron (BA.4) - Beta",19190,0.0770521698080139,0.0437060065962336,NA,-0.00861002902867392,0.162714368644702,0.835503367353379
"Omicron (BA.4) - Alpha",19190,-0.0858940536648447,0.0110700106700727,NA,-0.107590875886661,-0.0641972314430282,4.41209291324185e-11
"Omicron (BA.4) - Other",19190,0.00388525679563691,0.00748159140110357,NA,-0.0107783928975706,0.0185489064888445,0.999995989014804
"Omicron (BA.4) - Delta",19190,0.218065979220627,0.00838589858365653,NA,0.201629920018654,0.234502038422599,3.40838468559923e-14
"Omicron (BA.4) - Omicron (BA.1)",19190,0.129955212075328,0.00981765189248469,NA,0.110712967953306,0.149197456197349,3.43058914609173e-14
"Omicron (BA.4) - Omicron (BA.2)",19190,0.0333237496296332,0.00739633813304617,NA,0.0188271932713825,0.0478203059878839,0.000721951250301944
"Omicron (BA.4) - Omicron (BA.3)",19190,-0.0304555751935689,0.00833114818634315,NA,-0.0467843255886677,-0.0141268247984701,0.0171229948736051
"Omicron (BA.2.74) - Omicron (BA.5)",19190,-0.0341897370481342,0.00432686557112476,NA,-0.042670237733485,-0.0257092363627833,1.91237026214708e-11
"Omicron (BA.2.74) - Beta",19190,0.0997442730020927,0.0432674599822992,NA,0.0149416097342583,0.184546936269927,0.476867585141178
"Omicron (BA.2.74) - Alpha",19190,-0.0632019504707658,0.00910292547148044,NA,-0.0810433565488198,-0.0453605443927119,4.67753757948941e-09
"Omicron (BA.2.74) - Other",19190,0.0265773599897157,0.0040351152014051,NA,0.0186686795214917,0.0344860404579398,3.29200181559131e-08
"Omicron (BA.2.74) - Delta",19190,0.240758082414706,0.00553576703547416,NA,0.229908178398372,0.251607986431039,3.40838468559923e-14
"Omicron (BA.2.74) - Omicron (BA.1)",19190,0.152647315269407,0.00753010233012264,NA,0.137888585902465,0.167406044636348,3.40838468559923e-14
"Omicron (BA.2.74) - Omicron (BA.2)",19190,0.0560158528237121,0.00387155754345839,NA,0.0484277394744593,0.0636039661729649,3.40838468559923e-14
"Omicron (BA.2.74) - Omicron (BA.3)",19190,-0.00776347199949005,0.00542314907699235,NA,-0.0183926488731867,0.00286570487420658,0.955684838602291
"Omicron (BA.2.74) - Omicron (BA.4)",19190,0.0226921031940788,0.0082360013240924,NA,0.00654983722223356,0.0388343691659241,0.208946568655458
"Omicron (BA.2.76) - Omicron (BA.5)",19190,-0.0232050478784178,0.00327547174145628,NA,-0.0296248545240508,-0.0167852412327848,2.12345951933202e-09
"Omicron (BA.2.76) - Beta",19190,0.110728962171809,0.0431670495251393,NA,0.0261230997836793,0.195334824559939,0.307790243403495
"Omicron (BA.2.76) - Alpha",19190,-0.0522172613010495,0.00867026356148777,NA,-0.0692106656180355,-0.0352238569840635,6.36326624503525e-07
