"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Omicron (BA.5)","Asia",-0.209574034470202,0.00603128334524634,NA,-0.221395132607441,-0.197752936332963,4.8739901004069e-12
"Alpha - Omicron (BA.5)","Asia",-0.539935616133441,0.00767348350870399,NA,-0.554975367446462,-0.524895864820419,4.8739901004069e-12
"Alpha - Beta","Asia",-0.330361581663238,0.00942941272003331,NA,-0.348842890989868,-0.311880272336609,4.8739901004069e-12
"Other - Omicron (BA.5)","Asia",-0.124938494133543,0.000998023249466969,NA,-0.126894583758232,-0.122982404508854,4.8739901004069e-12
"Other - Beta","Asia",0.0846355403366591,0.00599237655909108,NA,0.0728906980990386,0.0963803825742797,4.8739901004069e-12
"Other - Alpha","Asia",0.414997121999897,0.00764150418000454,NA,0.400020049019376,0.429974194980419,4.8739901004069e-12
"Delta - Omicron (BA.5)","Asia",-0.321756109663,0.0017227765994939,NA,-0.325132689751417,-0.318379529574584,4.8739901004069e-12
"Delta - Beta","Asia",-0.112182075192798,0.00612307197724784,NA,-0.12418307574295,-0.100181074642646,4.8739901004069e-12
"Delta - Alpha","Asia",0.21817950647044,0.00795916946301931,NA,0.202579820976072,0.233779191964809,4.8739901004069e-12
"Delta - Other","Asia",-0.196817615529457,0.00122576831040848,NA,-0.199220077271248,-0.194415153787666,4.8739901004069e-12
"Omicron (BA.1) - Omicron (BA.5)","Asia",-0.187377337796226,0.000987386345188968,NA,-0.189312579471623,-0.185442096120829,4.8739901004069e-12
"Omicron (BA.1) - Beta","Asia",0.022196696673976,0.00602570001896726,NA,0.0103865416551579,0.0340068516927941,0.0135368619959124
"Omicron (BA.1) - Alpha","Asia",0.352558278337214,0.00765265867020146,NA,0.337559342957641,0.367557213716787,4.8739901004069e-12
"Omicron (BA.1) - Other","Asia",-0.0624388436626831,0.000900314323178112,NA,-0.0642034273108778,-0.0606742600144885,4.8739901004069e-12
"Omicron (BA.1) - Delta","Asia",0.134378771866774,0.00171972847319471,NA,0.131008165996124,0.137749377737424,4.8739901004069e-12
"Omicron (BA.2) - Omicron (BA.5)","Asia",-0.103138716378533,0.000594470513275301,NA,-0.104303857174424,-0.101973575582643,4.8739901004069e-12
"Omicron (BA.2) - Beta","Asia",0.106435318091669,0.00600683867733939,NA,0.0946621306231416,0.118208505560196,4.8739901004069e-12
"Omicron (BA.2) - Alpha","Asia",0.436796899754907,0.00765257445215501,NA,0.421798129439672,0.451795670070143,4.8739901004069e-12
"Omicron (BA.2) - Other","Asia",0.0217997777550099,0.000862055251379785,NA,0.0201101805096219,0.0234893750003979,4.8739901004069e-12
"Omicron (BA.2) - Delta","Asia",0.218617393284467,0.00166243154497716,NA,0.215359087329548,0.221875699239385,4.8739901004069e-12
