"variant","count","total","collection_date","collection_date_num","prop"
"Alpha",0,266,2020-06-01,18414,0
"Alpha",0,368,2020-06-08,18421,0
"Alpha",0,428,2020-06-15,18428,0
"Alpha",0,120,2020-06-22,18435,0
"Alpha",0,147,2020-06-29,18442,0
"Alpha",0,138,2020-07-06,18449,0
"Alpha",0,190,2020-07-13,18456,0
"Alpha",0,114,2020-07-20,18463,0
"Alpha",0,283,2020-07-27,18470,0
"Alpha",0,189,2020-08-03,18477,0
"Alpha",0,242,2020-08-10,18484,0
"Alpha",0,65,2020-08-17,18491,0
"Alpha",0,255,2020-08-24,18498,0
"Alpha",2,202,2020-08-31,18505,0.0099009900990099
"Alpha",0,279,2020-09-07,18512,0
"Alpha",0,240,2020-09-14,18519,0
"Alpha",0,169,2020-09-21,18526,0
"Alpha",0,246,2020-09-28,18533,0
"Alpha",0,184,2020-10-05,18540,0
"Alpha",0,114,2020-10-12,18547,0
"Alpha",0,189,2020-10-19,18554,0
"Alpha",1,141,2020-10-26,18561,0.00709219858156028
"Alpha",0,214,2020-11-02,18568,0
"Alpha",0,143,2020-11-09,18575,0
"Alpha",0,143,2020-11-16,18582,0
"Alpha",6,468,2020-11-23,18589,0.0128205128205128
"Alpha",1,641,2020-11-30,18596,0.0015600624024961
"Alpha",3,642,2020-12-07,18603,0.00467289719626168
"Alpha",6,879,2020-12-14,18610,0.0068259385665529
"Alpha",62,796,2020-12-21,18617,0.0778894472361809
"Alpha",19,502,2020-12-28,18624,0.0378486055776892
"Alpha",7,638,2021-01-04,18631,0.0109717868338558
"Alpha",16,540,2021-01-11,18638,0.0296296296296296
"Alpha",30,624,2021-01-18,18645,0.0480769230769231
"Alpha",15,440,2021-01-25,18652,0.0340909090909091
"Alpha",46,891,2021-02-01,18659,0.0516273849607183
"Alpha",95,731,2021-02-08,18666,0.129958960328317
"Alpha",104,994,2021-02-15,18673,0.104627766599598
"Alpha",166,1088,2021-02-22,18680,0.152573529411765
"Alpha",251,1345,2021-03-01,18687,0.186617100371747
"Alpha",636,1780,2021-03-08,18694,0.357303370786517
"Alpha",509,1840,2021-03-15,18701,0.276630434782609
"Alpha",561,2129,2021-03-22,18708,0.263503992484735
"Alpha",519,2517,2021-03-29,18715,0.206197854588796
"Alpha",472,3699,2021-04-05,18722,0.127602054609354
"Alpha",416,3724,2021-04-12,18729,0.111707841031149
"Alpha",246,3345,2021-04-19,18736,0.073542600896861
"Alpha",260,4632,2021-04-26,18743,0.0561312607944732
"Alpha",62,3250,2021-05-03,18750,0.0190769230769231
"Alpha",27,3183,2021-05-10,18757,0.00848256361922714
"Alpha",16,3268,2021-05-17,18764,0.00489596083231334
"Alpha",6,2176,2021-05-24,18771,0.00275735294117647
"Alpha",15,2390,2021-05-31,18778,0.00627615062761506
"Alpha",7,1923,2021-06-07,18785,0.00364014560582423
"Alpha",3,1981,2021-06-14,18792,0.00151438667339727
"Alpha",4,1944,2021-06-21,18799,0.00205761316872428
"Alpha",3,2024,2021-06-28,18806,0.00148221343873518
"Alpha",2,2011,2021-07-05,18813,0.000994530084535057
"Alpha",1,2028,2021-07-12,18820,0.000493096646942801
"Alpha",1,1984,2021-07-19,18827,0.000504032258064516
"Alpha",0,1477,2021-07-26,18834,0
"Alpha",2,2169,2021-08-02,18841,0.000922083909635777
"Alpha",2,1594,2021-08-09,18848,0.00125470514429109
"Alpha",3,1694,2021-08-16,18855,0.00177095631641086
"Alpha",0,2665,2021-08-23,18862,0
"Alpha",1,2897,2021-08-30,18869,0.000345184673800483
"Alpha",2,2567,2021-09-06,18876,0.000779119594857811
"Alpha",0,2214,2021-09-13,18883,0
"Alpha",0,2005,2021-09-20,18890,0
"Alpha",0,2155,2021-09-27,18897,0
"Alpha",2,2622,2021-10-04,18904,0.0007627765064836
"Alpha",0,2281,2021-10-11,18911,0
"Alpha",0,2052,2021-10-18,18918,0
"Alpha",0,2043,2021-10-25,18925,0
"Alpha",0,2203,2021-11-01,18932,0
"Alpha",0,1882,2021-11-08,18939,0
"Alpha",0,1709,2021-11-15,18946,0
"Alpha",2,2319,2021-11-22,18953,0.00086244070720138
"Alpha",0,2668,2021-11-29,18960,0
"Alpha",0,2588,2021-12-06,18967,0
"Alpha",1,2596,2021-12-13,18974,0.000385208012326656
"Alpha",0,5353,2021-12-20,18981,0
"Alpha",0,8949,2021-12-27,18988,0
"Alpha",0,7818,2022-01-03,18995,0
"Alpha",0,5377,2022-01-10,19002,0
"Alpha",0,7374,2022-01-17,19009,0
"Alpha",0,3593,2022-01-24,19016,0
"Alpha",0,7245,2022-01-31,19023,0
"Alpha",0,5292,2022-02-07,19030,0
"Alpha",0,3470,2022-02-14,19037,0
"Alpha",0,1967,2022-02-21,19044,0
"Alpha",0,1294,2022-02-28,19051,0
"Alpha",0,691,2022-03-07,19058,0
"Alpha",0,516,2022-03-14,19065,0
