"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date"
"Delta",18327,1.02391204500256e-56,5.76970172458202e-56,NA,-1.02844955367168e-55,1.2332319626722e-55,2020-03-06
"Beta",18327,3.88159729710389e-07,1.309607807527e-07,NA,1.31481316047851e-07,6.44838143372928e-07,2020-03-06
"Alpha",18327,6.76647099776705e-25,4.07274220537581e-24,NA,-7.30578094107611e-24,8.65907514062952e-24,2020-03-06
"C.1.2",18327,1.28535177902839e-69,2.17458077143399e-68,NA,-4.1335648155811e-68,4.39063517138678e-68,2020-03-06
"Other",18327,0.99999961184027,1.30960780757608e-07,NA,0.999999355161857,0.999999868518684,2020-03-06
"Omicron",18327,2.77051879768183e-53,1.59259558981263e-52,NA,-2.8443781182019e-52,3.39848187773827e-52,2020-03-06
"Delta",18330,3.69816722761079e-56,2.06301047338503e-55,NA,-3.6736095048025e-55,4.41324295032466e-55,2020-03-09
"Beta",18330,4.83577697484295e-07,1.60853150590306e-07,NA,1.68311315527498e-07,7.98844079441092e-07,2020-03-09
"Alpha",18330,1.2478952407692e-24,7.42874520917556e-24,NA,-1.33121778195394e-23,1.58079683010778e-23,2020-03-09
"C.1.2",18330,5.92158648048869e-69,9.92016326889195e-68,NA,-1.88510040797365e-67,2.00353213758342e-67,2020-03-09
"Other",18330,0.999999516422302,1.60853150527716e-07,NA,0.999999201155921,0.999999831688684,2020-03-09
"Omicron",18330,5.20810264095617e-53,2.96701230558327e-52,NA,-5.29442699653474e-52,6.33604752472598e-52,2020-03-09
"Delta",18333,1.33555232725321e-55,7.37489585224387e-55,NA,-1.31189779328786e-54,1.5790082587385e-54,2020-03-12
"Beta",18333,6.02433321106846e-07,1.9752342810634e-07,NA,2.15294515915533e-07,9.89572126298159e-07,2020-03-12
"Alpha",18333,2.30125558928518e-24,1.3547593927577e-23,NA,-2.42515405859392e-23,2.88540517645096e-23,2020-03-12
"C.1.2",18333,2.72769449295918e-68,4.52440667746765e-67,NA,-8.5949046899532e-67,9.14044358854503e-67,2020-03-12
"Other",18333,0.999999397566679,1.97523428036276e-07,NA,0.999999010427874,0.999999784705484,2020-03-12
"Omicron",18333,9.79029546846166e-53,5.52723417324421e-52,NA,-9.8541503668315e-52,1.18122094605238e-51,2020-03-12
"Delta",18336,4.82210005162051e-55,2.63552252407899e-54,NA,-4.68331922247688e-54,5.64773923280098e-54,2020-03-15
"Beta",18336,7.50456608139732e-07,2.42489997627229e-07,NA,2.75184946179159e-07,1.2257282701003e-06,2020-03-15
"Alpha",18336,4.24319744009019e-24,2.47000158046927e-23,NA,-4.41679439546775e-23,5.26543388348579e-23,2020-03-15
"C.1.2",18336,1.25613564640537e-67,2.06274303316026e-66,NA,-3.91728848971449e-66,4.16851561899556e-66,2020-03-15
"Other",18336,0.999999249543392,2.42489997616006e-07,NA,0.99999877427173,0.999999724815054,2020-03-15
"Omicron",18336,1.84038096230963e-52,1.02960167022753e-51,NA,-1.83394409583729e-51,2.20202028829921e-51,2020-03-15
"Delta",18339,1.74045559666845e-54,9.41421119897525e-54,NA,-1.67110592961767e-53,2.01919704895136e-53,2020-03-18
"Beta",18339,9.34766218557097e-07,2.97605267315091e-07,NA,3.51470613010103e-07,1.51806182410409e-06,2020-03-18
"Alpha",18339,7.82229358643379e-24,4.50184787870711e-23,NA,-8.0412303475006e-23,9.60568906478736e-23,2020-03-18
"C.1.2",18339,5.78231970842491e-67,9.39962297842877e-66,NA,-1.7844690535133e-65,1.9001154476818e-65,2020-03-18
"Other",18339,0.999999065233781,2.97605267299492e-07,NA,0.999998481938176,0.999999648529387,2020-03-18
"Omicron",18339,3.45949870225598e-52,1.91779271702127e-51,NA,-3.4128547849493e-51,4.1047545254005e-51,2020-03-18
"Delta",18342,6.27901580206195e-54,3.36091460019591e-53,NA,-5.95936999129262e-53,7.215173151705e-53,2020-03-21
"Beta",18342,1.16420161096917e-06,3.65127306417864e-07,NA,4.48565240618035e-07,1.8798379813203e-06,2020-03-21
"Alpha",18342,1.44164490469383e-23,8.20187373283567e-23,NA,-1.46337322174092e-22,1.75170220267968e-22,2020-03-21
"C.1.2",18342,2.66032068714093e-66,4.28054110433821e-65,NA,-8.12367433013212e-65,8.6557384675603e-65,2020-03-21
