"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"Delta",18327,5.23317003590432e-58,3.37594282500803e-57,NA,-6.09340934729171e-57,7.14004335447257e-57,2020-03-06,0,NA,NA,NA
"Beta",18327,2.68857152444399e-07,9.35301667629256e-08,NA,8.55413941210393e-08,4.52172910767758e-07,2020-03-06,0,NA,NA,NA
"Alpha",18327,3.10912501733655e-25,1.92491268635524e-24,NA,-3.46184703690686e-24,4.08367204037417e-24,2020-03-06,0,NA,NA,NA
"C.1.2",18327,1.97341838874523e-69,3.70843173370241e-68,NA,-7.07105079830764e-68,7.46573447605669e-68,2020-03-06,0,NA,NA,NA
"Other",18327,0.999999731142847,9.353016669409e-08,NA,0.999999547827089,0.999999914458606,2020-03-06,0,NA,NA,NA
"Omicron",18327,1.72531669973435e-44,1.1489047343678e-43,NA,-2.07928023105501e-43,2.42434357100188e-43,2020-03-06,0,NA,NA,NA
"Delta",18330,1.96930185962206e-57,1.25748626417936e-56,NA,-2.26769760288315e-56,2.66155797480756e-56,2020-03-09,4,NA,NA,NA
"Beta",18330,3.3696899607739e-07,1.15566383240938e-07,NA,1.10463047101598e-07,5.63474945053182e-07,2020-03-09,4,NA,NA,NA
"Alpha",18330,5.80784172954785e-25,3.55600976561274e-24,NA,-6.3888668963189e-24,7.55043524222847e-24,2020-03-09,4,NA,NA,NA
"C.1.2",18330,9.20108309142929e-69,1.71189132971627e-67,NA,-3.26323452077597e-67,3.44725618260455e-67,2020-03-09,4,NA,NA,NA
"Other",18330,0.999999663031004,1.15566383283187e-07,NA,0.999999436525055,0.999999889536953,2020-03-09,4,3.99999865212402,NA,NA
"Omicron",18330,2.48172103373977e-44,1.63870880158258e-43,NA,-2.96363812887667e-43,3.45998233562462e-43,2020-03-09,4,NA,NA,NA
"Delta",18333,7.40981335697739e-57,4.6828859086186e-56,NA,-8.43730638890485e-56,9.91926906030033e-56,2020-03-12,3,NA,NA,NA
"Beta",18333,4.22322950796432e-07,1.42761419334279e-07,NA,1.42515710519425e-07,7.02130191073439e-07,2020-03-12,3,NA,NA,NA
"Alpha",18333,1.08482834702482e-24,6.56796805126126e-24,NA,-1.1788152485057e-23,1.39578091791066e-23,2020-03-12,3,NA,NA,NA
"C.1.2",18333,4.28941603827895e-68,7.90056739406816e-67,NA,-1.50558859459772e-66,1.59137691536329e-66,2020-03-12,3,NA,NA,NA
"Other",18333,0.999999577677049,1.42761419276047e-07,NA,0.999999297869809,0.999999857484289,2020-03-12,3,2.99999873303115,NA,NA
"Omicron",18333,3.56983596764316e-44,2.33733164997152e-43,NA,-4.22410225710544e-43,4.93806945063407e-43,2020-03-12,3,NA,NA,NA
"Delta",18336,2.78738730658681e-56,1.74330389322442e-55,NA,-3.13807411416964e-55,3.695551575487e-55,2020-03-15,13,NA,16.5116834665369,NA
"Beta",18336,5.2926382156394e-07,1.76309046278869e-07,NA,1.83704440708752e-07,8.74823202419129e-07,2020-03-15,13,NA,16.5116834665369,NA
"Alpha",18336,2.02603345294575e-24,1.21278636786395e-23,NA,-2.17441425665991e-23,2.57962094724906e-23,2020-03-15,13,NA,16.5116834665369,NA
"C.1.2",18336,1.99910805435658e-67,3.64481541265032e-66,NA,-6.94379613365547e-66,7.34361774452678e-66,2020-03-15,13,NA,16.5116834665369,NA
"Other",18336,0.999999470736178,1.76309046212447e-07,NA,0.999999125176798,0.999999816295559,2020-03-15,13,12.9999931195703,16.5116834665369,16.5116747275002
"Omicron",18336,5.13530087106593e-44,3.33389298451674e-43,NA,-6.02078009085697e-43,7.04784026507016e-43,2020-03-15,13,NA,16.5116834665369,NA
"Delta",18339,1.04816577877003e-55,6.48677513616886e-55,NA,-1.16656798639308e-54,1.37620114214709e-54,2020-03-18,31,NA,35.3327196946371,NA
"Beta",18339,6.63221984346381e-07,2.17674508067973e-07,NA,2.36587788180679e-07,1.08985618051208e-06,2020-03-18,31,NA,35.3327196946371,NA
"Alpha",18339,3.78304235364348e-24,2.23867869457703e-23,NA,-4.00942537896378e-23,4.76603384969247e-23,2020-03-18,31,NA,35.3327196946371,NA
"C.1.2",18339,9.31306614278917e-67,1.68060996166097e-65,NA,-3.20080433548686e-65,3.38706565834264e-65,2020-03-18,31,NA,35.3327196946371,NA
"Other",18339,0.999999336778016,2.1767450808153e-07,NA,0.999998910143819,0.999999763412212,2020-03-18,31,30.9999794401185,35.3327196946371,35.3326962612007
"Omicron",18339,7.3878322906924e-44,4.7556264646787e-43,NA,-8.58207336562656e-43,1.0059639823765e-42,2020-03-18,31,NA,35.3327196946371,NA
"Delta",18342,3.93960592234858e-55,2.41228057412624e-54,NA,-4.33402245365818e-54,5.1219436381279e-54,2020-03-21,38,NA,61.215963831987,NA
"Beta",18342,8.30981191520957e-07,2.68654775317769e-07,NA,3.0442750762343e-07,1.35753487541848e-06,2020-03-21,38,NA,61.215963831987,NA
"Alpha",18342,7.06178463847188e-24,4.13068795881376e-23,NA,-7.38982116680106e-23,8.80217809449543e-23,2020-03-21,38,NA,61.215963831987,NA
"C.1.2",18342,4.33617566618287e-66,7.74410844403241e-65,NA,-1.47445560760577e-64,1.56117912092943e-64,2020-03-21,38,NA,61.215963831987,NA
"Other",18342,0.999999169018809,2.68654775402324e-07,NA,0.999998642465124,0.999999695572493,2020-03-21,38,37.9999684227147,61.215963831987,61.2159129626724
"Omicron",18342,1.06294999216958e-43,6.78423074915728e-43,NA,-1.22338979389879e-42,1.4359797923327e-42,2020-03-21,38,NA,61.215963831987,NA
"Delta",18345,1.47983491650974e-54,8.96431334247102e-54,NA,-1.60898963808653e-53,1.90495662138848e-53,2020-03-24,152,NA,84.2358087367673,NA
"Beta",18345,1.04101129857104e-06,3.31451739220612e-07,NA,3.91377827085479e-07,1.6906447700566e-06,2020-03-24,152,NA,84.2358087367673,NA
"Alpha",18345,1.31775925890119e-23,7.61807309943705e-23,NA,-1.36133896475888e-22,1.62489081653912e-22,2020-03-24,152,NA,84.2358087367673,NA
"C.1.2",18345,2.01752186937203e-65,3.56556177816638e-64,NA,-6.7866204829215e-64,7.1901248567959e-64,2020-03-24,152,NA,84.2358087367673,NA
