"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Beta - Other",-0.105131043697551,0.00233910556981968,NA,-0.109715606370434,-0.100546481024667,0
"Alpha - Other",-0.163993322284567,0.0128530296510699,NA,-0.18918479749289,-0.138801847076245,2.77323208557641e-37
"Alpha - Beta",-0.0588622785870166,0.0128722567891081,NA,-0.0840914382934198,-0.0336331188806135,4.81245398643976e-06
"Delta - Other",-0.0889513242197563,0.00253495786642036,NA,-0.0939197503402667,-0.0839828980992459,9.62360188655723e-270
"Delta - Beta",0.0161797194777943,0.00392910885447616,NA,0.00847880763168359,0.023880631323905,3.82322743512437e-05
"Delta - Alpha",0.0750419980648109,0.0133484556341113,NA,0.0488795057727219,0.1012044903569,1.8900665042926e-08
"Omicron (BA.1) - Other",-0.105558855317363,0.00346326697059191,NA,-0.11234673384857,-0.0987709767861557,4.86288665623837e-204
"Omicron (BA.1) - Beta",-0.000427811619812393,0.00407689460998112,NA,-0.00841837822414086,0.00756275498451607,0.916426863905701
"Omicron (BA.1) - Alpha",0.0584344669672043,0.0132598389316171,NA,0.0324456602204326,0.0844232737139759,1.0487214715126e-05
"Omicron (BA.1) - Delta",-0.0166075310976067,0.00473752191605029,NA,-0.0258929034290344,-0.00732215876617892,0.000455697011994808
"Omicron (BA.2) - Other",-0.101555033086568,0.00324745982530213,NA,-0.1079199373854,-0.0951901287877346,1.1164548797275e-214
"Omicron (BA.2) - Beta",0.00357601061098304,0.00392824526208507,NA,-0.0041232086251438,0.0112752298471099,0.362647011848211
"Omicron (BA.2) - Alpha",0.0624382891979997,0.013220055450024,NA,0.0365274566423303,0.0883491217536691,2.32393676478812e-06
"Omicron (BA.2) - Delta",-0.0126037088668112,0.00442265010907507,NA,-0.0212719437968205,-0.00393547393680197,0.0043745465892485
"Omicron (BA.2) - Omicron (BA.1)",0.00400382223079543,0.00435452904069386,NA,-0.00453089785859829,0.0125385423201891,0.357854182982301
"Omicron (BA.3) - Other",-0.0468879668280116,0.00754875081605133,NA,-0.0616832465557395,-0.0320926871002836,5.25298398758344e-10
"Omicron (BA.3) - Beta",0.058243076869539,0.00786223865784876,NA,0.0428333722622969,0.0736527814767811,1.28265902979791e-13
"Omicron (BA.3) - Alpha",0.117105355456556,0.0148722199765628,NA,0.0879563399323355,0.146254370980776,3.43202860473548e-15
"Omicron (BA.3) - Delta",0.0420633573917448,0.00816094654340576,NA,0.0260681960869128,0.0580585186965767,2.54681554689862e-07
"Omicron (BA.3) - Omicron (BA.1)",0.0586708884893514,0.00779647392033942,NA,0.0433900803990804,0.0739516965796225,5.25951101971369e-14
"Omicron (BA.3) - Omicron (BA.2)",0.054667066258556,0.00776657675859946,NA,0.0394448555285352,0.0698892769885768,1.93958751385877e-12
"Omicron (BA.4) - Other",-0.0119432811769324,0.00281648362575169,NA,-0.0174634876464525,-0.00642307470741234,2.23028657774725e-05
"Omicron (BA.4) - Beta",0.0931877625206181,0.00361790821696036,NA,0.0860967927160043,0.100278732325232,2.66612581218727e-146
"Omicron (BA.4) - Alpha",0.152050041107635,0.0131383268517495,NA,0.12629939366109,0.177800688554179,5.64636346112252e-31
"Omicron (BA.4) - Delta",0.0770080430428239,0.00401798965026741,NA,0.069132928038045,0.0848831580476027,7.14303166238236e-82
"Omicron (BA.4) - Omicron (BA.1)",0.0936155741404305,0.00421061734942891,NA,0.0853629157828704,0.101868232497991,1.63949528232722e-109
"Omicron (BA.4) - Omicron (BA.2)",0.0896117519096351,0.00306318570028957,NA,0.0836080182591094,0.0956154855601608,3.94390050334223e-188
"Omicron (BA.4) - Omicron (BA.3)",0.0349446856510791,0.00776427789086483,NA,0.0197269806190234,0.0501623906831348,6.77300361484886e-06
"Omicron (BA.5) - Other",0.0165133773790369,0.00283345962847253,NA,0.0109598985555825,0.0220668562024913,5.60985836348863e-09
"Omicron (BA.5) - Beta",0.121644421076587,0.00362959285384488,NA,0.114530549804508,0.128758292348667,2.95185313899829e-246
"Omicron (BA.5) - Alpha",0.180506699663604,0.0131413322424009,NA,0.154750161759623,0.206263237567585,6.19685479949047e-43
"Omicron (BA.5) - Delta",0.105464701598793,0.00403630744176594,NA,0.097553684382401,0.113375718815185,1.70742837939587e-150
"Omicron (BA.5) - Omicron (BA.1)",0.1220722326964,0.00418613079255676,NA,0.113867567108415,0.130276898284385,6.03973042425211e-187
"Omicron (BA.5) - Omicron (BA.2)",0.118068410465604,0.00298723066093913,NA,0.11221354595665,0.123923274974559,0
"Omicron (BA.5) - Omicron (BA.3)",0.0634013442070485,0.00775364877872353,NA,0.0482044718519774,0.0785982165621195,2.91073322490939e-16
"Omicron (BA.5) - Omicron (BA.4)",0.0284566585559693,0.0029079130257139,NA,0.0227572537553952,0.0341560633565435,1.29389039377293e-22
