"type","age","date","count"
"hospitalisations","0-5",2020-10-12,8
"hospitalisations","6-17",2020-10-12,8
"hospitalisations","18-54",2020-10-12,120
"hospitalisations","55-64",2020-10-12,89
"hospitalisations","65-74",2020-10-12,117
"hospitalisations","75-84",2020-10-12,156
"hospitalisations","85+",2020-10-12,139
"hospitalisations","0-5",2020-10-13,6
"hospitalisations","6-17",2020-10-13,5
"hospitalisations","18-54",2020-10-13,162
"hospitalisations","55-64",2020-10-13,124
"hospitalisations","65-74",2020-10-13,145
"hospitalisations","75-84",2020-10-13,168
"hospitalisations","85+",2020-10-13,120
"hospitalisations","0-5",2020-10-14,4
"hospitalisations","6-17",2020-10-14,8
"hospitalisations","18-54",2020-10-14,144
"hospitalisations","55-64",2020-10-14,86
"hospitalisations","65-74",2020-10-14,139
"hospitalisations","75-84",2020-10-14,167
"hospitalisations","85+",2020-10-14,116
"hospitalisations","0-5",2020-10-15,2
"hospitalisations","6-17",2020-10-15,3
"hospitalisations","18-54",2020-10-15,151
"hospitalisations","55-64",2020-10-15,106
"hospitalisations","65-74",2020-10-15,131
"hospitalisations","75-84",2020-10-15,210
"hospitalisations","85+",2020-10-15,163
"hospitalisations","0-5",2020-10-16,7
"hospitalisations","6-17",2020-10-16,5
"hospitalisations","18-54",2020-10-16,124
"hospitalisations","55-64",2020-10-16,91
"hospitalisations","65-74",2020-10-16,113
"hospitalisations","75-84",2020-10-16,144
"hospitalisations","85+",2020-10-16,110
"hospitalisations","0-5",2020-10-17,5
"hospitalisations","6-17",2020-10-17,4
"hospitalisations","18-54",2020-10-17,148
"hospitalisations","55-64",2020-10-17,86
"hospitalisations","65-74",2020-10-17,127
"hospitalisations","75-84",2020-10-17,189
"hospitalisations","85+",2020-10-17,153
"hospitalisations","0-5",2020-10-18,13
"hospitalisations","6-17",2020-10-18,7
"hospitalisations","18-54",2020-10-18,162
"hospitalisations","55-64",2020-10-18,118
"hospitalisations","65-74",2020-10-18,166
"hospitalisations","75-84",2020-10-18,192
"hospitalisations","85+",2020-10-18,163
"hospitalisations","0-5",2020-10-19,9
"hospitalisations","6-17",2020-10-19,13
"hospitalisations","18-54",2020-10-19,175
"hospitalisations","55-64",2020-10-19,109
"hospitalisations","65-74",2020-10-19,146
"hospitalisations","75-84",2020-10-19,214
"hospitalisations","85+",2020-10-19,157
"hospitalisations","0-5",2020-10-20,4
"hospitalisations","6-17",2020-10-20,9
"hospitalisations","18-54",2020-10-20,177
"hospitalisations","55-64",2020-10-20,102
"hospitalisations","65-74",2020-10-20,177
"hospitalisations","75-84",2020-10-20,227
"hospitalisations","85+",2020-10-20,196
"hospitalisations","0-5",2020-10-21,7
"hospitalisations","6-17",2020-10-21,11
"hospitalisations","18-54",2020-10-21,175
"hospitalisations","55-64",2020-10-21,130
"hospitalisations","65-74",2020-10-21,171
"hospitalisations","75-84",2020-10-21,260
"hospitalisations","85+",2020-10-21,165
"hospitalisations","0-5",2020-10-22,5
"hospitalisations","6-17",2020-10-22,3
"hospitalisations","18-54",2020-10-22,175
"hospitalisations","55-64",2020-10-22,119
"hospitalisations","65-74",2020-10-22,171
"hospitalisations","75-84",2020-10-22,241
"hospitalisations","85+",2020-10-22,227
"hospitalisations","0-5",2020-10-23,8
"hospitalisations","6-17",2020-10-23,6
"hospitalisations","18-54",2020-10-23,158
"hospitalisations","55-64",2020-10-23,144
"hospitalisations","65-74",2020-10-23,169
"hospitalisations","75-84",2020-10-23,264
"hospitalisations","85+",2020-10-23,203
"hospitalisations","0-5",2020-10-24,8
"hospitalisations","6-17",2020-10-24,2
"hospitalisations","18-54",2020-10-24,162
"hospitalisations","55-64",2020-10-24,123
"hospitalisations","65-74",2020-10-24,187
"hospitalisations","75-84",2020-10-24,273
"hospitalisations","85+",2020-10-24,174
"hospitalisations","0-5",2020-10-25,7
"hospitalisations","6-17",2020-10-25,8
"hospitalisations","18-54",2020-10-25,230
"hospitalisations","55-64",2020-10-25,136
"hospitalisations","65-74",2020-10-25,220
"hospitalisations","75-84",2020-10-25,281
"hospitalisations","85+",2020-10-25,220
"hospitalisations","0-5",2020-10-26,12
"hospitalisations","6-17",2020-10-26,4
"hospitalisations","18-54",2020-10-26,246
"hospitalisations","55-64",2020-10-26,195
"hospitalisations","65-74",2020-10-26,234
"hospitalisations","75-84",2020-10-26,298
"hospitalisations","85+",2020-10-26,221
"hospitalisations","0-5",2020-10-27,6
"hospitalisations","6-17",2020-10-27,8
"hospitalisations","18-54",2020-10-27,234
"hospitalisations","55-64",2020-10-27,165
"hospitalisations","65-74",2020-10-27,192
"hospitalisations","75-84",2020-10-27,291
"hospitalisations","85+",2020-10-27,227
"hospitalisations","0-5",2020-10-28,6
"hospitalisations","6-17",2020-10-28,7
"hospitalisations","18-54",2020-10-28,223
"hospitalisations","55-64",2020-10-28,176
"hospitalisations","65-74",2020-10-28,213
"hospitalisations","75-84",2020-10-28,314
"hospitalisations","85+",2020-10-28,240
"hospitalisations","0-5",2020-10-29,11
"hospitalisations","6-17",2020-10-29,4
"hospitalisations","18-54",2020-10-29,225
"hospitalisations","55-64",2020-10-29,181
"hospitalisations","65-74",2020-10-29,251
"hospitalisations","75-84",2020-10-29,330
"hospitalisations","85+",2020-10-29,240
"hospitalisations","0-5",2020-10-30,5
"hospitalisations","6-17",2020-10-30,8
"hospitalisations","18-54",2020-10-30,206
"hospitalisations","55-64",2020-10-30,136
"hospitalisations","65-74",2020-10-30,217
"hospitalisations","75-84",2020-10-30,234
"hospitalisations","85+",2020-10-30,186
"hospitalisations","0-5",2020-10-31,11
"hospitalisations","6-17",2020-10-31,6
"hospitalisations","18-54",2020-10-31,206
"hospitalisations","55-64",2020-10-31,143
"hospitalisations","65-74",2020-10-31,234
"hospitalisations","75-84",2020-10-31,298
"hospitalisations","85+",2020-10-31,244
