"collection_date","REGION","total","Week","LINEAGE2","count","collection_date_num","prop"
2021-01-01,"London",3217,1,"B.1.1.7 (S dropout)",2962,18628,0.920733602735468
2021-01-01,"South West",503,1,"B.1.1.7 (S dropout)",379,18628,0.753479125248509
2021-01-01,"East of England",2436,1,"B.1.1.7 (S dropout)",2189,18628,0.898604269293924
2021-01-01,"South East",2145,1,"B.1.1.7 (S dropout)",1972,18628,0.919347319347319
2021-01-01,"North West",2048,1,"B.1.1.7 (S dropout)",1267,18628,0.61865234375
2021-01-01,"West Midlands",1818,1,"B.1.1.7 (S dropout)",1311,18628,0.721122112211221
2021-01-01,"Yorkshire and The Humber",947,1,"B.1.1.7 (S dropout)",480,18628,0.506863780359028
2021-01-01,"North East",686,1,"B.1.1.7 (S dropout)",433,18628,0.631195335276968
2021-01-01,"East Midlands",966,1,"B.1.1.7 (S dropout)",642,18628,0.664596273291925
2021-01-02,"South East",4339,1,"B.1.1.7 (S dropout)",4010,18629,0.924176077437198
2021-01-02,"North West",3866,1,"B.1.1.7 (S dropout)",2457,18629,0.635540610450078
2021-01-02,"East Midlands",700,1,"B.1.1.7 (S dropout)",506,18629,0.722857142857143
2021-01-02,"South West",909,1,"B.1.1.7 (S dropout)",631,18629,0.694169416941694
2021-01-02,"East of England",2648,1,"B.1.1.7 (S dropout)",2407,18629,0.908987915407855
2021-01-02,"London",7174,1,"B.1.1.7 (S dropout)",6651,18629,0.927097853359353
2021-01-02,"West Midlands",4079,1,"B.1.1.7 (S dropout)",3017,18629,0.739642069134592
2021-01-02,"North East",1422,1,"B.1.1.7 (S dropout)",861,18629,0.605485232067511
2021-01-02,"Yorkshire and The Humber",1723,1,"B.1.1.7 (S dropout)",911,18629,0.528728961114335
2021-01-03,"South East",2202,1,"B.1.1.7 (S dropout)",2036,18630,0.924613987284287
2021-01-03,"South West",718,1,"B.1.1.7 (S dropout)",530,18630,0.738161559888579
2021-01-03,"North West",4227,1,"B.1.1.7 (S dropout)",2675,18630,0.632836527087769
2021-01-03,"Yorkshire and The Humber",1518,1,"B.1.1.7 (S dropout)",828,18630,0.545454545454545
2021-01-03,"East of England",1509,1,"B.1.1.7 (S dropout)",1393,18630,0.92312789927104
2021-01-03,"London",3312,1,"B.1.1.7 (S dropout)",3082,18630,0.930555555555556
2021-01-03,"North East",1292,1,"B.1.1.7 (S dropout)",847,18630,0.655572755417957
2021-01-03,"West Midlands",3042,1,"B.1.1.7 (S dropout)",2331,18630,0.766272189349112
2021-01-03,"East Midlands",396,1,"B.1.1.7 (S dropout)",281,18630,0.70959595959596
2021-01-04,"London",4144,1,"B.1.1.7 (S dropout)",3928,18631,0.947876447876448
2021-01-04,"West Midlands",4410,1,"B.1.1.7 (S dropout)",3465,18631,0.785714285714286
2021-01-04,"North West",5249,1,"B.1.1.7 (S dropout)",3491,18631,0.665079062678606
2021-01-04,"South East",2931,1,"B.1.1.7 (S dropout)",2711,18631,0.924940293415217
2021-01-04,"South West",1104,1,"B.1.1.7 (S dropout)",831,18631,0.752717391304348
2021-01-04,"East Midlands",629,1,"B.1.1.7 (S dropout)",461,18631,0.732909379968203
2021-01-04,"North East",1841,1,"B.1.1.7 (S dropout)",1256,18631,0.682237914177078
2021-01-04,"Yorkshire and The Humber",2110,1,"B.1.1.7 (S dropout)",1263,18631,0.598578199052133
2021-01-04,"East of England",1831,1,"B.1.1.7 (S dropout)",1657,18631,0.904969961769525
2021-01-05,"South East",3624,1,"B.1.1.7 (S dropout)",3344,18632,0.922737306843267
2021-01-05,"London",4255,1,"B.1.1.7 (S dropout)",4016,18632,0.943830787309048
2021-01-05,"East of England",1854,1,"B.1.1.7 (S dropout)",1700,18632,0.916936353829558
2021-01-05,"East Midlands",709,1,"B.1.1.7 (S dropout)",554,18632,0.781382228490832
2021-01-05,"North West",5098,1,"B.1.1.7 (S dropout)",3514,18632,0.689289917614751
2021-01-05,"South West",1038,1,"B.1.1.7 (S dropout)",787,18632,0.758188824662813
2021-01-05,"West Midlands",3525,1,"B.1.1.7 (S dropout)",2779,18632,0.788368794326241
2021-01-05,"Yorkshire and The Humber",1611,1,"B.1.1.7 (S dropout)",951,18632,0.590316573556797
2021-01-05,"North East",1260,1,"B.1.1.7 (S dropout)",861,18632,0.683333333333333
2021-01-06,"South West",463,1,"B.1.1.7 (S dropout)",372,18633,0.803455723542117
2021-01-06,"East of England",1488,1,"B.1.1.7 (S dropout)",1365,18633,0.917338709677419
2021-01-06,"South East",2520,1,"B.1.1.7 (S dropout)",2343,18633,0.929761904761905
2021-01-06,"Yorkshire and The Humber",1491,1,"B.1.1.7 (S dropout)",925,18633,0.620389000670691
2021-01-06,"West Midlands",4155,1,"B.1.1.7 (S dropout)",3370,18633,0.811070998796631
2021-01-06,"North West",4563,1,"B.1.1.7 (S dropout)",3135,18633,0.687047994740302
2021-01-06,"East Midlands",925,1,"B.1.1.7 (S dropout)",730,18633,0.789189189189189
2021-01-06,"London",3958,1,"B.1.1.7 (S dropout)",3727,18633,0.941637190500253
2021-01-06,"North East",1124,1,"B.1.1.7 (S dropout)",782,18633,0.695729537366548
2021-01-07,"South West",671,1,"B.1.1.7 (S dropout)",503,18634,0.749627421758569
2021-01-07,"East of England",1866,1,"B.1.1.7 (S dropout)",1706,18634,0.914255091103966
2021-01-07,"Yorkshire and The Humber",1445,1,"B.1.1.7 (S dropout)",900,18634,0.622837370242215
2021-01-07,"South East",2583,1,"B.1.1.7 (S dropout)",2399,18634,0.928765001935734
2021-01-07,"London",3147,1,"B.1.1.7 (S dropout)",2978,18634,0.946298061646012
2021-01-07,"West Midlands",3606,1,"B.1.1.7 (S dropout)",2933,18634,0.81336661120355
2021-01-07,"East Midlands",971,1,"B.1.1.7 (S dropout)",708,18634,0.729145211122554
2021-01-07,"North West",4669,1,"B.1.1.7 (S dropout)",3203,18634,0.686014135789248
2021-01-07,"North East",1127,1,"B.1.1.7 (S dropout)",813,18634,0.721384205856256
2021-01-08,"East Midlands",921,2,"B.1.1.7 (S dropout)",709,18635,0.769815418023887
2021-01-08,"West Midlands",3372,2,"B.1.1.7 (S dropout)",2799,18635,0.830071174377224
2021-01-08,"South West",536,2,"B.1.1.7 (S dropout)",428,18635,0.798507462686567
2021-01-08,"East of England",1757,2,"B.1.1.7 (S dropout)",1636,18635,0.931132612407513
2021-01-08,"South East",2867,2,"B.1.1.7 (S dropout)",2667,18635,0.930240669689571
2021-01-08,"London",3190,2,"B.1.1.7 (S dropout)",3013,18635,0.944514106583072
2021-01-08,"North West",4260,2,"B.1.1.7 (S dropout)",3061,18635,0.718544600938967
2021-01-08,"North East",829,2,"B.1.1.7 (S dropout)",589,18635,0.710494571773221
2021-01-08,"Yorkshire and The Humber",1130,2,"B.1.1.7 (S dropout)",697,18635,0.616814159292035
2021-01-09,"East Midlands",710,2,"B.1.1.7 (S dropout)",555,18636,0.78169014084507
2021-01-09,"North West",3885,2,"B.1.1.7 (S dropout)",2858,18636,0.735649935649936
2021-01-09,"South East",2002,2,"B.1.1.7 (S dropout)",1863,18636,0.930569430569431
2021-01-09,"South West",456,2,"B.1.1.7 (S dropout)",374,18636,0.820175438596491
2021-01-09,"West Midlands",3017,2,"B.1.1.7 (S dropout)",2530,18636,0.838581372224064
2021-01-09,"East of England",1542,2,"B.1.1.7 (S dropout)",1423,18636,0.922827496757458
2021-01-09,"London",2339,2,"B.1.1.7 (S dropout)",2226,18636,0.951688755878581
2021-01-09,"Yorkshire and The Humber",1146,2,"B.1.1.7 (S dropout)",700,18636,0.610820244328098
2021-01-09,"North East",751,2,"B.1.1.7 (S dropout)",561,18636,0.747003994673768
2021-01-10,"London",2230,2,"B.1.1.7 (S dropout)",2108,18637,0.945291479820628
2021-01-10,"North West",4080,2,"B.1.1.7 (S dropout)",3068,18637,0.751960784313725
2021-01-10,"South West",287,2,"B.1.1.7 (S dropout)",244,18637,0.850174216027875
2021-01-10,"South East",1750,2,"B.1.1.7 (S dropout)",1600,18637,0.914285714285714
2021-01-10,"East of England",1401,2,"B.1.1.7 (S dropout)",1318,18637,0.940756602426838
2021-01-10,"West Midlands",3007,2,"B.1.1.7 (S dropout)",2481,18637,0.825074825407383
2021-01-10,"East Midlands",633,2,"B.1.1.7 (S dropout)",499,18637,0.788309636650869
2021-01-10,"Yorkshire and The Humber",1036,2,"B.1.1.7 (S dropout)",679,18637,0.655405405405405
2021-01-10,"North East",758,2,"B.1.1.7 (S dropout)",600,18637,0.79155672823219
2021-01-11,"West Midlands",4537,2,"B.1.1.7 (S dropout)",3826,18638,0.843288516640952
2021-01-11,"East of England",1918,2,"B.1.1.7 (S dropout)",1792,18638,0.934306569343066
2021-01-11,"London",2431,2,"B.1.1.7 (S dropout)",2323,18638,0.955573837926779
2021-01-11,"North West",5642,2,"B.1.1.7 (S dropout)",4269,18638,0.756646579227224
2021-01-11,"East Midlands",1274,2,"B.1.1.7 (S dropout)",1016,18638,0.797488226059655
2021-01-11,"South West",811,2,"B.1.1.7 (S dropout)",672,18638,0.828606658446362
2021-01-11,"Yorkshire and The Humber",1692,2,"B.1.1.7 (S dropout)",1135,18638,0.67080378250591
2021-01-11,"South East",2538,2,"B.1.1.7 (S dropout)",2345,18638,0.923955870764381
