"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"B.1.1.7",18506,"London",0.001,2.80984798758371e-06,NA,0.001,0.001,2020-09-01
"other",18506,"London",0.838941158846013,0.00434896545415609,NA,0.830417343185859,0.847464974506168,2020-09-01
"B.1.177+",18506,"London",0.161028916848023,0.00434878681949098,NA,0.152505451305379,0.169552382390668,2020-09-01
"B.1.525",18506,"London",0.001,4.42846712367191e-10,NA,0.001,0.001,2020-09-01
"B.1.351",18506,"London",0.001,2.27203748269792e-10,NA,0.001,0.001,2020-09-01
"P.1",18506,"London",0.001,1.53047393470292e-19,NA,0.001,0.001,2020-09-01
"B.1.617.1",18506,"London",0.001,1.1600375939115e-120,NA,0.001,0.001,2020-09-01
"B.1.617.2",18506,"London",0.001,2.50876773873864e-57,NA,0.001,0.001,2020-09-01
"B.1.1.7",18510,"London",0.001,4.50299550262386e-06,NA,0.001,0.001,2020-09-05
"other",18510,"London",0.819100522232916,0.00458457893467256,NA,0.810114912636677,0.828086131829155,2020-09-05
"B.1.177+",18510,"London",0.180849301541302,0.00458428200190495,NA,0.171864273922593,0.18983432916001,2020-09-05
"B.1.525",18510,"London",0.001,8.43599156359186e-10,NA,0.001,0.001,2020-09-05
"B.1.351",18510,"London",0.001,4.5331962986393e-10,NA,0.001,0.001,2020-09-05
"P.1",18510,"London",0.001,5.66796901257716e-19,NA,0.001,0.001,2020-09-05
"B.1.617.1",18510,"London",0.001,4.47753328296304e-117,NA,0.001,0.001,2020-09-05
"B.1.617.2",18510,"London",0.001,9.3003073363786e-56,NA,0.001,0.001,2020-09-05
"B.1.1.7",18514,"London",0.001,7.17847534552168e-06,NA,0.001,0.001,2020-09-09
"other",18514,"London",0.797447643587909,0.00480585664439129,NA,0.78802833765004,0.806866949525779,2020-09-09
"B.1.177+",18514,"London",0.202468500149285,0.00480536344616708,NA,0.193050160862172,0.211886839436398,2020-09-09
"B.1.525",18514,"London",0.001,1.5995855389094e-09,NA,0.001,0.001,2020-09-09
"B.1.351",18514,"London",0.001,9.00304636231268e-10,NA,0.001,0.001,2020-09-09
"P.1",18514,"London",0.001,2.08903541824311e-18,NA,0.001,0.001,2020-09-09
"B.1.617.1",18514,"London",0.001,1.71661582576976e-113,NA,0.001,0.001,2020-09-09
"B.1.617.2",18514,"London",0.001,3.42681532638827e-54,NA,0.001,0.001,2020-09-09
"B.1.1.7",18518,"London",0.001,1.13744864700836e-05,NA,0.001,0.001,2020-09-13
"other",18518,"London",0.774020183271969,0.0050083349590221,NA,0.764204027129773,0.783836339414165,2020-09-13
"B.1.177+",18518,"London",0.225840231718826,0.00500751737441093,NA,0.216025678013022,0.23565478542463,2020-09-13
"B.1.525",18518,"London",0.001,3.01648117342833e-09,NA,0.001,0.001,2020-09-13
"B.1.351",18518,"London",0.001,1.77825734266446e-09,NA,0.001,0.001,2020-09-13
"P.1",18518,"London",0.001,7.65259530567509e-18,NA,0.001,0.001,2020-09-13
"B.1.617.1",18518,"London",0.001,6.48477487986441e-110,NA,0.001,0.001,2020-09-13
"B.1.617.2",18518,"London",0.001,1.25136367980544e-52,NA,0.001,0.001,2020-09-13
"B.1.1.7",18522,"London",0.001,1.79005670457642e-05,NA,0.001,0.001,2020-09-17
"other",18522,"London",0.748905279999283,0.00518815420732884,NA,0.738736684606678,0.759073875391887,2020-09-17
"B.1.177+",18522,"London",0.250863447803324,0.00518680353896199,NA,0.240697499672073,0.261029395934574,2020-09-17
"B.1.525",18522,"London",0.001,5.65276200973589e-09,NA,0.001,0.001,2020-09-17
"B.1.351",18522,"London",0.001,3.49024618559286e-09,NA,0.001,0.001,2020-09-17
"P.1",18522,"London",0.001,2.78263668171262e-17,NA,0.001,0.001,2020-09-17
"B.1.617.1",18522,"London",0.001,2.39482315656332e-106,NA,0.001,0.001,2020-09-17
"B.1.617.2",18522,"London",0.001,4.51576300844055e-51,NA,0.001,0.001,2020-09-17
"B.1.1.7",18526,"London",0.001,2.79586665212455e-05,NA,0.001,0.001,2020-09-21
"other",18526,"London",0.722241121873165,0.00534233821452619,NA,0.711770331379461,0.732711912366868,2020-09-21
"B.1.177+",18526,"London",0.277377705324225,0.0053401185672533,NA,0.266911265259235,0.287844145389215,2020-09-21
"B.1.525",18526,"London",0.001,1.05183604888967e-08,NA,0.001,0.001,2020-09-21
"B.1.351",18526,"London",0.001,6.80182136232994e-09,NA,0.001,0.001,2020-09-21
"P.1",18526,"London",0.001,1.0031020096997e-16,NA,0.001,0.001,2020-09-21
"B.1.617.1",18526,"London",0.001,8.57898542302259e-103,NA,0.001,0.001,2020-09-21
"B.1.617.2",18526,"London",0.001,1.60584960454879e-49,NA,0.001,0.001,2020-09-21
"B.1.1.7",18530,"London",0.001,4.33086662464981e-05,NA,0.001,0.001,2020-09-25
"other",18530,"London",0.694214516906353,0.00546898645542337,NA,0.683495500421786,0.70493353339092,2020-09-25
"B.1.177+",18530,"London",0.305160906184589,0.00546536576325309,NA,0.294448986126275,0.315872826242904,2020-09-25
"B.1.525",18530,"London",0.001,1.9419610074354e-08,NA,0.001,0.001,2020-09-25
