"collection_date","REGION","total","Week","LINEAGE2","count","collection_date_num","prop"
2021-01-01,"East Midlands",1014,1,"B.1.1.7 (S dropout)",677,18628,0.667652859960552
2021-01-02,"East Midlands",785,1,"B.1.1.7 (S dropout)",567,18629,0.722292993630573
2021-01-03,"East Midlands",429,1,"B.1.1.7 (S dropout)",304,18630,0.708624708624709
2021-01-04,"East Midlands",676,1,"B.1.1.7 (S dropout)",491,18631,0.726331360946746
2021-01-05,"East Midlands",773,1,"B.1.1.7 (S dropout)",609,18632,0.78783958602846
2021-01-06,"East Midlands",992,1,"B.1.1.7 (S dropout)",780,18633,0.786290322580645
2021-01-07,"East Midlands",1047,1,"B.1.1.7 (S dropout)",761,18634,0.72683858643744
2021-01-08,"East Midlands",962,2,"B.1.1.7 (S dropout)",740,18635,0.769230769230769
2021-01-09,"East Midlands",779,2,"B.1.1.7 (S dropout)",615,18636,0.789473684210526
2021-01-10,"East Midlands",677,2,"B.1.1.7 (S dropout)",531,18637,0.784342688330872
2021-01-11,"East Midlands",1325,2,"B.1.1.7 (S dropout)",1062,18638,0.801509433962264
2021-01-12,"East Midlands",958,2,"B.1.1.7 (S dropout)",761,18639,0.794363256784969
2021-01-13,"East Midlands",785,2,"B.1.1.7 (S dropout)",641,18640,0.81656050955414
2021-01-14,"East Midlands",868,2,"B.1.1.7 (S dropout)",703,18641,0.809907834101382
2021-01-15,"East Midlands",916,3,"B.1.1.7 (S dropout)",789,18642,0.861353711790393
2021-01-16,"East Midlands",642,3,"B.1.1.7 (S dropout)",535,18643,0.833333333333333
2021-01-17,"East Midlands",575,3,"B.1.1.7 (S dropout)",475,18644,0.826086956521739
2021-01-18,"East Midlands",1137,3,"B.1.1.7 (S dropout)",977,18645,0.859278803869833
2021-01-19,"East Midlands",931,3,"B.1.1.7 (S dropout)",801,18646,0.860365198711063
2021-01-20,"East Midlands",776,3,"B.1.1.7 (S dropout)",663,18647,0.854381443298969
2021-01-21,"East Midlands",885,3,"B.1.1.7 (S dropout)",771,18648,0.871186440677966
2021-01-22,"East Midlands",734,4,"B.1.1.7 (S dropout)",650,18649,0.885558583106267
2021-01-23,"East Midlands",538,4,"B.1.1.7 (S dropout)",460,18650,0.855018587360595
2021-01-24,"East Midlands",411,4,"B.1.1.7 (S dropout)",361,18651,0.878345498783455
2021-01-25,"East Midlands",777,4,"B.1.1.7 (S dropout)",692,18652,0.890604890604891
2021-01-26,"East Midlands",830,4,"B.1.1.7 (S dropout)",759,18653,0.914457831325301
2021-01-27,"East Midlands",669,4,"B.1.1.7 (S dropout)",622,18654,0.929745889387145
2021-01-28,"East Midlands",704,4,"B.1.1.7 (S dropout)",637,18655,0.904829545454545
2021-01-29,"East Midlands",651,5,"B.1.1.7 (S dropout)",607,18656,0.932411674347158
2021-01-30,"East Midlands",488,5,"B.1.1.7 (S dropout)",455,18657,0.932377049180328
2021-01-31,"East Midlands",358,5,"B.1.1.7 (S dropout)",343,18658,0.958100558659218
2021-02-01,"East Midlands",700,5,"B.1.1.7 (S dropout)",672,18659,0.96
2021-02-02,"East Midlands",529,5,"B.1.1.7 (S dropout)",494,18660,0.933837429111531
2021-02-03,"East Midlands",425,5,"B.1.1.7 (S dropout)",397,18661,0.934117647058823
2021-02-04,"East Midlands",488,5,"B.1.1.7 (S dropout)",465,18662,0.952868852459016
2021-02-05,"East Midlands",409,6,"B.1.1.7 (S dropout)",389,18663,0.951100244498778
