"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date","WEEKDAY","totcases_rollingmean","totcases","totcases_smoothed","cases","cases_rollingmean","cases_smoothed"
"B.1.1.7",18628,"London",0.904776429780684,0.00388284249472549,NA,0.89716619833338,0.912386661227988,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,6095.47880743247,11881.7825834313,13061.2436852925
"other",18628,"London",0.0436031686743015,0.00257244384467842,NA,0.0385612713864801,0.048645065962123,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,293.754547358769,572.60926907912,629.450097019009
"B.1.177+",18628,"London",0.0487675454540916,0.00304051579805374,NA,0.0428082439954812,0.054726846912702,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,328.546953724215,640.429340487546,704.002418878072
"B.1.351",18628,"London",0.00181934520523844,0.000404973959914726,NA,0.00102561082912901,0.00261307958134787,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,12.2569286476914,23.892161048107,26.2638484946473
"B.1.525",18628,"London",0.00103251295817524,0.000285780307061246,NA,0.001,0.00159263206750608,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,6.95603979922662,13.5592551704596,14.9052328410213
"B.1.617.1",18628,"London",0.001,4.06011934959042e-28,NA,0.001,0.001,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,NA,6.96141030817873e-25,NA
"B.1.617.2",18628,"London",0.001,7.14797575562178e-22,NA,0.001,0.001,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,NA,2.64843639251808e-18,NA
"P.1",18628,"London",0.001,2.17642205778046e-06,NA,0.001,0.001,2021-01-01,"Friday",13132.2857142857,6737,14435.8796884867,NA,0.0131050691729069,NA
"B.1.1.7",18629,"London",0.910158721110915,0.00365886232941518,NA,0.90298748272087,0.917329959500959,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,12399.092257694,12182.9945727674,12588.359018833
"other",18629,"London",0.0412672522672682,0.00242146903167782,NA,0.0365212601755006,0.0460132443590358,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,562.183777636995,552.385752884395,570.765268970945
"B.1.177+",18629,"London",0.0456381128505863,0.00284732345910899,NA,0.0400574614183966,0.0512187642827759,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,621.728011363537,610.892219426726,631.218419578474
"B.1.351",18629,"London",0.00188364716037227,0.000411074040734399,NA,0.00107795684555349,0.00268933747519104,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,25.6609252657514,25.2136936113887,26.0526281510869
"B.1.525",18629,"London",0.00105112638858359,0.00028604974206633,NA,0.001,0.00161177358082057,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,14.3194947916742,14.0699273548419,14.5380756638897
"B.1.617.1",18629,"London",0.001,1.05129142606141e-27,NA,0.001,0.001,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,NA,1.86675453170838e-24,NA
"B.1.617.2",18629,"London",0.001,1.32119932399805e-21,NA,0.001,0.001,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,NA,5.06449232449318e-18,NA
"P.1",18629,"London",0.001,2.44466730276628e-06,NA,0.001,0.001,2021-01-02,"Saturday",13385.5714285714,13623,13830.9491815538,NA,0.0152625267083749,NA
"B.1.1.7",18630,"London",0.915240209515649,0.00344819265030095,NA,0.908481876109303,0.921998542921995,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,11998.7991467502,12249.8364613602,12127.2298522181
"other",18630,"London",0.0390457332493821,0.00227997940092733,NA,0.0345770557380713,0.0435144107606929,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,511.889562899399,522.599249733516,517.368639337031
"B.1.177+",18630,"London",0.0426935736201988,0.00266644013354773,NA,0.0374674469915131,0.0479197002488845,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,559.712750160806,571.422987496632,565.703708296147
"B.1.351",18630,"London",0.00194949199557883,0.000417012177537199,NA,0.0011321631464913,0.00276682084466636,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,25.5578400620384,26.0925578665401,25.8314017234396
"B.1.525",18630,"London",0.00106968938601504,0.000286214254859958,NA,0.001,0.00163065901740253,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,14.0236278506572,14.3170283679642,14.1737315732091
"B.1.617.1",18630,"London",0.001,2.71849965685243e-27,NA,0.001,0.001,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,NA,4.90531364762981e-24,NA
"B.1.617.2",18630,"London",0.001,2.43977853190004e-21,NA,0.001,0.001,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,NA,9.49366148564971e-18,NA
"P.1",18630,"London",0.001,2.7440088068834e-06,NA,0.001,0.001,2021-01-03,"Sunday",13384.2857142857,13110,13250.3245881602,NA,0.0174294608961995,NA
"B.1.1.7",18631,"London",0.920033307578602,0.00325030138661749,NA,0.913662833921931,0.926403781235273,2021-01-04,"Monday",14320.2857142857,17219,12692.0755423607,15842.0535231959,13175.1398311849,11677.1322412756
"other",18631,"London",0.0369352906993808,0.0021475097782574,NA,0.0327262488775487,0.0411443325212129,2021-01-04,"Monday",14320.2857142857,17219,12692.0755423607,635.988770552637,528.923915755332,468.785499735594
"B.1.177+",18631,"London",0.0399247892886473,0.00249715165632562,NA,0.0350304619783145,0.0448191165989801,2021-01-04,"Monday",14320.2857142857,17219,12692.0755423607,687.464946761218,571.734389696083,506.728441664345
