"Week","REGION","LINEAGE2","count","total","collection_date","collection_date_num","prop"
1,"London","other",38,2001,2020-12-28,18624.5,0.0189905047476262
2,"London","other",31,1547,2021-01-04,18631.5,0.0200387847446671
3,"London","other",22,1479,2021-01-11,18638.5,0.0148749154834348
4,"London","other",25,1639,2021-01-18,18645.5,0.0152532031726663
5,"London","other",23,1500,2021-01-25,18652.5,0.0153333333333333
6,"London","other",0,509,2021-02-01,18659.5,0
7,"London","other",6,672,2021-02-08,18666.5,0.00892857142857143
8,"London","other",4,902,2021-02-15,18673.5,0.00443458980044346
9,"London","other",1,584,2021-02-22,18680.5,0.00171232876712329
10,"London","other",2,646,2021-03-01,18687.5,0.00309597523219814
11,"London","other",7,585,2021-03-08,18694.5,0.011965811965812
12,"London","other",5,515,2021-03-15,18701.5,0.00970873786407767
13,"London","other",6,647,2021-03-22,18708.5,0.00927357032457496
14,"London","other",7,438,2021-03-29,18715.5,0.0159817351598174
15,"London","other",15,351,2021-04-05,18722.5,0.0427350427350427
16,"London","other",6,323,2021-04-12,18729.5,0.0185758513931889
17,"London","other",16,360,2021-04-19,18736.5,0.0444444444444444
18,"London","other",7,298,2021-04-26,18743.5,0.023489932885906
19,"London","other",20,389,2021-05-03,18750.5,0.051413881748072
20,"London","other",14,473,2021-05-10,18757.5,0.0295983086680761
21,"London","other",24,653,2021-05-17,18764.5,0.0367534456355283
22,"London","other",28,840,2021-05-24,18771.5,0.0333333333333333
1,"North West","other",30,773,2020-12-28,18624.5,0.0388098318240621
2,"North West","other",51,1559,2021-01-04,18631.5,0.0327132777421424
3,"North West","other",97,3522,2021-01-11,18638.5,0.0275411697898921
4,"North West","other",54,3310,2021-01-18,18645.5,0.0163141993957704
5,"North West","other",67,4832,2021-01-25,18652.5,0.0138658940397351
6,"North West","other",11,1063,2021-02-01,18659.5,0.0103480714957667
7,"North West","other",15,1929,2021-02-08,18666.5,0.00777604976671851
8,"North West","other",9,2496,2021-02-15,18673.5,0.00360576923076923
9,"North West","other",1,1883,2021-02-22,18680.5,0.000531067445565587
10,"North West","other",5,1710,2021-03-01,18687.5,0.00292397660818713
11,"North West","other",6,1406,2021-03-08,18694.5,0.0042674253200569
12,"North West","other",5,2025,2021-03-15,18701.5,0.00246913580246914
13,"North West","other",14,2704,2021-03-22,18708.5,0.00517751479289941
14,"North West","other",11,1777,2021-03-29,18715.5,0.00619020821609454
15,"North West","other",6,891,2021-04-05,18722.5,0.00673400673400673
16,"North West","other",8,768,2021-04-12,18729.5,0.0104166666666667
17,"North West","other",10,871,2021-04-19,18736.5,0.0114810562571757
18,"North West","other",1,1119,2021-04-26,18743.5,0.000893655049151028
19,"North West","other",19,1588,2021-05-03,18750.5,0.0119647355163728
20,"North West","other",37,1944,2021-05-10,18757.5,0.0190329218106996
21,"North West","other",41,2912,2021-05-17,18764.5,0.0140796703296703
22,"North West","other",90,3895,2021-05-24,18771.5,0.0231065468549422
1,"South West","other",4,127,2020-12-28,18624.5,0.031496062992126
2,"South West","other",6,259,2021-01-04,18631.5,0.0231660231660232
3,"South West","other",9,468,2021-01-11,18638.5,0.0192307692307692
4,"South West","other",4,258,2021-01-18,18645.5,0.0155038759689922
5,"South West","other",1,279,2021-01-25,18652.5,0.003584229390681
6,"South West","other",0,92,2021-02-01,18659.5,0
7,"South West","other",0,197,2021-02-08,18666.5,0
8,"South West","other",1,272,2021-02-15,18673.5,0.00367647058823529
9,"South West","other",1,190,2021-02-22,18680.5,0.00526315789473684
10,"South West","other",1,209,2021-03-01,18687.5,0.00478468899521531
11,"South West","other",1,140,2021-03-08,18694.5,0.00714285714285714
12,"South West","other",1,103,2021-03-15,18701.5,0.00970873786407767
13,"South West","other",0,150,2021-03-22,18708.5,0
14,"South West","other",0,100,2021-03-29,18715.5,0
15,"South West","other",0,93,2021-04-05,18722.5,0
16,"South West","other",0,47,2021-04-12,18729.5,0
17,"South West","other",0,32,2021-04-19,18736.5,0
18,"South West","other",0,30,2021-04-26,18743.5,0
19,"South West","other",0,20,2021-05-03,18750.5,0
20,"South West","other",1,57,2021-05-10,18757.5,0.0175438596491228
21,"South West","other",3,135,2021-05-17,18764.5,0.0222222222222222
22,"South West","other",2,162,2021-05-24,18771.5,0.0123456790123457
1,"South East","other",21,863,2020-12-28,18624.5,0.0243337195828505
2,"South East","other",25,951,2021-01-04,18631.5,0.0262881177707676
3,"South East","other",23,852,2021-01-11,18638.5,0.0269953051643192
4,"South East","other",9,851,2021-01-18,18645.5,0.0105757931844888
5,"South East","other",10,1069,2021-01-25,18652.5,0.00935453695042095
6,"South East","other",4,273,2021-02-01,18659.5,0.0146520146520147
7,"South East","other",4,597,2021-02-08,18666.5,0.0067001675041876
8,"South East","other",7,828,2021-02-15,18673.5,0.00845410628019324
9,"South East","other",1,526,2021-02-22,18680.5,0.00190114068441065
10,"South East","other",5,704,2021-03-01,18687.5,0.00710227272727273
11,"South East","other",5,699,2021-03-08,18694.5,0.00715307582260372
12,"South East","other",1,484,2021-03-15,18701.5,0.00206611570247934
13,"South East","other",0,554,2021-03-22,18708.5,0
14,"South East","other",1,326,2021-03-29,18715.5,0.00306748466257669
15,"South East","other",1,387,2021-04-05,18722.5,0.00258397932816537
